episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph_initial;env_delta_ph_final;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
0;-1;0,000000;;;0,000000;0;;;0,000000;0;0,115055;0;;;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;surplus;0,000000;0,000000;0,000000;;;;;;;
0;0;0,050000;156249,000000;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,115055;0;196000,000000;0,000000;0,000000;0;1,000000;0;156249,000000;0;0,000000;0;0,000000;0;196000,000000;1;0,000000;0;-196000,000000;0;;1,000000;-1,000000;1,000000;-39751,000000;-39751,000000;-0,132503;-1,000000;-196000,000000;-0,653333;-1,000000
0;1;0,050000;174999,000000;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,115055;0;199390,000000;0,000000;0,000000;0;1,000000;0;174999,000000;0;0,000000;0;0,000000;0;199390,000000;1;0,000000;0;-199390,000000;0;;1,000000;-1,000000;1,000000;-24391,000000;-24391,000000;-0,081303;-1,000000;-199390,000000;-0,664633;-1,000000
0;2;0,050000;193749,000000;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,115055;0;200000,000000;0,000000;0,000000;0;1,000000;0;193749,000000;0;0,000000;0;0,000000;0;200000,000000;1;0,000000;0;-200000,000000;0;;1,000000;-1,000000;1,000000;-6251,000000;-6251,000000;-0,020837;-1,000000;-200000,000000;-0,666667;-1,000000
0;3;0,050000;81249,000000;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,115055;0;221560,000000;0,000000;0,000000;0;1,000000;0;81249,000000;0;0,000000;0;0,000000;0;221560,000000;1;0,000000;0;-221560,000000;0;;1,000000;-1,000000;1,000000;-140311,000000;-140311,000000;-0,467703;-1,000000;-221560,000000;-0,738533;-1,000000
0;4;0,050000;184014,000000;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,115055;0;220000,000000;0,000000;0,000000;0;1,000000;0;184014,000000;0;0,000000;0;0,000000;0;220000,000000;1;0,000000;0;-220000,000000;0;;1,000000;-1,000000;1,000000;-35986,000000;-35986,000000;-0,119953;-1,000000;-220000,000000;-0,733333;-1,000000
0;5;0,050000;286185,000000;1,000000;286185,000000;1;45865,000000;1,000000;-45865,000000;0;0,116966;0;0,000000;0,000000;0,000000;0;1,000000;0;85500,000000;0;286185,000000;1;286185,000000;1;286185,000000;1;0,000000;0;0,000000;0;;1,000000;0,883034;1,000000;131365,000000;-154820,000000;-0,516067;-1,000000;45865,000000;0,152883;1,000000
0;6;0,050000;287499,000000;1,000000;287499,000000;1;54619,000000;1,000000;-54619,000000;0;0,119241;0;0,000000;0,000000;0,000000;0;1,000000;0;171000,000000;0;287499,000000;1;287499,000000;1;287499,000000;1;0,000000;0;0,000000;0;;1,000000;0,880759;1,000000;225619,000000;-61880,000000;-0,206267;-1,000000;54619,000000;0,182063;1,000000
0;7;0,050000;314211,000000;1,000000;314211,000000;1;82481,000000;1,000000;-82481,000000;0;0,122678;0;0,000000;0,000000;0,000000;0;1,000000;0;207000,000000;0;314211,000000;1;314211,000000;1;314211,000000;1;0,000000;0;0,000000;0;;1,000000;0,877322;1,000000;289481,000000;-24730,000000;-0,082433;-1,000000;82481,000000;0,274937;1,000000
0;8;0,050000;313224,000000;1,000000;313224,000000;1;76634,000000;1,000000;-76634,000000;0;0,125871;0;0,000000;0,000000;0,000000;0;1,000000;0;306000,000000;1;313224,000000;1;313224,000000;1;313224,000000;1;0,000000;0;0,000000;0;;1,000000;0,874129;1,000000;382634,000000;69410,000000;0,231367;1,000000;76634,000000;0,255447;1,000000
