2025-11-26 15:52:50 | INFO | Episode 83/3000 completed | epsilon=0.973
2025-11-26 15:52:50 | INFO | Episode 84/3000 completed | epsilon=0.972
2025-11-26 15:52:50 | INFO | Episode 85/3000 completed | epsilon=0.972
2025-11-26 15:52:50 | INFO | Episode 86/3000 completed | epsilon=0.972
2025-11-26 15:52:50 | INFO | Episode 87/3000 completed | epsilon=0.971
2025-11-26 15:52:50 | INFO | Episode 88/3000 completed | epsilon=0.971
2025-11-26 15:52:50 | INFO | Episode 89/3000 completed | epsilon=0.971
2025-11-26 15:52:50 | INFO | Episode 90/3000 completed | epsilon=0.970
2025-11-26 15:52:50 | INFO | Episode 91/3000 completed | epsilon=0.970
2025-11-26 15:52:50 | INFO | Episode 92/3000 completed | epsilon=0.970
2025-11-26 15:52:50 | INFO | Episode 93/3000 completed | epsilon=0.969
2025-11-26 15:52:50 | INFO | Episode 94/3000 completed | epsilon=0.969
2025-11-26 15:52:50 | INFO | Episode 95/3000 completed | epsilon=0.969
2025-11-26 15:52:50 | INFO | Episode 96/3000 completed | epsilon=0.968
2025-11-26 15:52:50 | INFO | Episode 97/3000 completed | epsilon=0.968
2025-11-26 15:52:50 | INFO | Episode 98/3000 completed | epsilon=0.968
2025-11-26 15:52:50 | INFO | Episode 99/3000 completed | epsilon=0.967
2025-11-26 15:52:50 | INFO | Episode 100/3000 completed | epsilon=0.967
2025-11-26 15:52:50 | INFO | Episode 101/3000 completed | epsilon=0.967
2025-11-26 15:52:50 | INFO | Episode 102/3000 completed | epsilon=0.966
2025-11-26 15:52:50 | INFO | Episode 103/3000 completed | epsilon=0.966
2025-11-26 15:52:50 | INFO | Episode 104/3000 completed | epsilon=0.966
2025-11-26 15:52:50 | INFO | Episode 105/3000 completed | epsilon=0.965
2025-11-26 15:52:50 | INFO | Episode 106/3000 completed | epsilon=0.965
2025-11-26 15:52:50 | INFO | Episode 107/3000 completed | epsilon=0.965
2025-11-26 15:52:50 | INFO | Episode 108/3000 completed | epsilon=0.964
2025-11-26 15:52:50 | INFO | Episode 109/3000 completed | epsilon=0.964
2025-11-26 15:52:50 | INFO | Episode 110/3000 completed | epsilon=0.964
2025-11-26 15:52:50 | INFO | Episode 111/3000 completed | epsilon=0.963
2025-11-26 15:52:50 | INFO | Episode 112/3000 completed | epsilon=0.963
2025-11-26 15:52:50 | INFO | Episode 113/3000 completed | epsilon=0.963
2025-11-26 15:52:50 | INFO | Episode 114/3000 completed | epsilon=0.962
2025-11-26 15:52:50 | INFO | Episode 115/3000 completed | epsilon=0.962
2025-11-26 15:52:50 | INFO | Episode 116/3000 completed | epsilon=0.962
2025-11-26 15:52:50 | INFO | Episode 117/3000 completed | epsilon=0.961
2025-11-26 15:52:50 | INFO | Episode 118/3000 completed | epsilon=0.961
2025-11-26 15:52:50 | INFO | Episode 119/3000 completed | epsilon=0.961
2025-11-26 15:52:50 | INFO | Episode 120/3000 completed | epsilon=0.960
2025-11-26 15:52:50 | INFO | Episode 121/3000 completed | epsilon=0.960
2025-11-26 15:52:50 | INFO | Episode 122/3000 completed | epsilon=0.960
2025-11-26 15:52:50 | INFO | Episode 123/3000 completed | epsilon=0.959
2025-11-26 15:52:50 | INFO | Episode 124/3000 completed | epsilon=0.959
2025-11-26 15:52:50 | INFO | Episode 125/3000 completed | epsilon=0.959
2025-11-26 15:52:50 | INFO | Episode 126/3000 completed | epsilon=0.958
2025-11-26 15:52:50 | INFO | Episode 127/3000 completed | epsilon=0.958
2025-11-26 15:52:50 | INFO | Episode 128/3000 completed | epsilon=0.958
2025-11-26 15:52:50 | INFO | Episode 129/3000 completed | epsilon=0.957
2025-11-26 15:52:50 | INFO | Episode 130/3000 completed | epsilon=0.957
2025-11-26 15:52:50 | INFO | Episode 131/3000 completed | epsilon=0.957
2025-11-26 15:52:50 | INFO | Episode 132/3000 completed | epsilon=0.956
2025-11-26 15:52:50 | INFO | Episode 133/3000 completed | epsilon=0.956
2025-11-26 15:52:50 | INFO | Episode 134/3000 completed | epsilon=0.956
