episode;wind#0;battery#0;grid#0
76;21,000000;-81,414658;13,250000
77;7,000000;-95,000000;-11,000000
78;33,000000;-63,298260;-5,250000
79;21,000000;-58,627323;-12,750000
80;9,000000;-55,861567;2,750000
81;-3,000000;-58,798458;11,750000
82;13,000000;-78,036361;3,000000
83;17,000000;-63,085184;-11,500000
84;11,000000;-86,394477;14,500000
85;13,000000;-82,462814;3,000000
86;11,000000;-80,509710;-4,250000
87;21,000000;-86,654133;-2,250000
88;23,000000;-79,474798;17,000000
89;7,000000;-58,300294;18,500000
90;1,000000;-85,249969;-10,250000
91;23,000000;-39,237575;-1,500000
92;9,000000;-62,292881;-5,250000
93;19,000000;-75,784419;5,000000
94;31,000000;-49,671176;-10,000000
95;9,000000;-82,798122;-11,000000
96;13,000000;-80,049130;14,500000
97;3,000000;-70,626858;4,500000
98;9,000000;-67,261800;3,750000
99;21,000000;-86,377617;-15,500000
100;15,000000;-55,953391;-3,500000
101;15,000000;-89,824576;23,750000
102;9,000000;-44,800649;-0,750000
103;3,000000;-93,000000;-0,250000
104;23,000000;-53,413059;0,000000
105;5,000000;-65,389939;3,750000
106;25,000000;-59,352336;5,250000
107;19,000000;-75,576256;16,500000
108;-3,000000;-61,730010;15,250000
109;11,000000;-65,966998;4,500000
110;25,000000;-62,227135;-2,250000
111;21,000000;-51,819536;-0,750000
112;15,000000;-67,851902;16,750000
113;13,000000;-68,473915;-19,000000
114;11,000000;-82,350275;9,750000
115;3,000000;-55,604672;5,250000
116;11,000000;-60,500331;8,000000
117;19,000000;-61,013734;-12,250000
118;9,000000;-86,426911;14,500000
119;13,000000;-60,116407;15,250000
120;7,000000;-83,268031;10,500000
121;17,000000;-80,680361;13,750000
122;7,000000;-55,411035;-2,750000
123;3,000000;-89,954581;-6,250000
124;1,000000;-57,048319;-9,500000
125;-5,000000;-91,430305;13,750000
126;23,000000;-79,688479;9,250000
127;11,000000;-79,836231;8,500000
128;-5,000000;-89,834331;3,750000
129;9,000000;-56,865543;9,250000
130;1,000000;-58,732096;10,500000
131;21,000000;-82,707312;-8,750000
132;-3,000000;-70,785769;-3,500000
133;11,000000;-80,219239;-11,500000
134;7,000000;-72,771781;9,750000
135;11,000000;-61,400088;11,250000
136;7,000000;-47,460573;10,500000
137;1,000000;-93,000000;-4,250000
138;25,000000;-76,692471;-11,500000
139;17,000000;-89,424443;6,500000
140;11,000000;-91,450967;-16,250000
141;15,000000;-86,760507;3,750000
142;17,000000;-42,255283;14,500000
143;3,000000;-62,477300;3,000000
144;17,000000;-84,263173;3,250000
145;45,000000;-78,085847;-2,750000
146;15,000000;-55,753023;17,000000
147;3,000000;-91,941142;19,000000
148;13,000000;-86,984236;-5,000000
149;15,000000;-84,164163;-4,750000
150;21,000000;-44,120509;13,250000
151;7,000000;-77,543182;-4,250000
152;19,000000;-87,487825;17,250000
153;13,000000;-55,805212;-18,250000
154;29,000000;-59,241186;9,750000
155;3,000000;-75,054873;29,000000
156;9,000000;-83,301226;-5,500000
157;17,000000;-91,801020;3,000000
158;23,000000;-82,437929;9,000000
159;9,000000;-61,157581;-1,000000
160;21,000000;-57,259610;0,750000
161;3,000000;-91,424167;-8,250000
162;7,000000;-65,663089;5,250000
163;17,000000;-82,864523;7,250000
164;23,000000;-79,967070;-1,500000
165;27,000000;-93,000000;-2,250000
166;7,000000;-90,372247;5,000000
167;-3,000000;-87,453239;3,250000
168;17,000000;-35,954256;7,500000
169;17,000000;-66,222624;6,500000
170;15,000000;-89,000000;15,250000
171;1,000000;-81,560248;4,500000
172;17,000000;-84,098844;5,000000
173;25,000000;-68,106058;5,750000
174;19,000000;-76,810354;-1,500000
175;-1,000000;-77,003116;8,500000
176;25,000000;-91,441824;1,750000
177;15,000000;-36,837162;8,000000
178;7,000000;-60,751763;5,750000
179;13,000000;-66,296302;10,500000
180;31,000000;-62,620492;-2,000000
181;13,000000;-68,874320;23,250000
182;37,000000;-82,026545;11,750000
183;19,000000;-73,383046;7,250000
184;33,000000;-69,617229;-1,500000
185;15,000000;-91,000000;12,500000
186;9,000000;-83,588902;-4,250000
187;21,000000;-61,915638;0,750000
188;25,000000;-89,387876;-9,500000
189;17,000000;-81,246925;-10,750000
190;-1,000000;-63,039539;24,500000
191;17,000000;-35,818356;10,750000
192;15,000000;-72,851865;-8,250000
193;21,000000;-81,523708;6,500000
194;31,000000;-48,614949;2,500000
195;13,000000;-73,744421;0,500000
196;25,000000;-41,228807;2,000000
197;3,000000;-85,351297;-8,250000
198;5,000000;-65,028027;4,500000
199;3,000000;-82,303134;24,000000
200;27,000000;-70,494992;3,250000
201;39,000000;-66,525814;5,750000
202;29,000000;-77,530987;-4,250000
203;17,000000;-80,104731;-5,500000
204;-1,000000;-67,239160;22,500000
205;19,000000;-51,026937;4,500000
206;19,000000;-82,130602;4,000000
207;15,000000;-86,691783;5,750000
208;27,000000;-73,621866;1,250000
209;27,000000;-66,647276;13,000000
210;17,000000;-91,000000;6,500000
211;29,000000;-84,737916;-13,500000
212;35,000000;-83,827968;1,750000
213;11,000000;-86,394199;-7,500000
214;15,000000;-80,583262;1,750000
215;21,000000;-56,613814;12,500000
216;21,000000;-77,717711;8,000000
217;11,000000;-62,511395;-4,750000
218;3,000000;-44,689997;14,000000
219;23,000000;-85,193181;-4,250000
220;9,000000;-64,569181;10,500000
221;31,000000;-71,723044;11,250000
222;17,000000;-84,771127;6,500000
223;17,000000;-50,367737;2,000000
224;9,000000;-91,411927;-4,250000
225;25,000000;-85,136788;-22,250000
226;19,000000;-53,900935;13,000000
227;21,000000;-45,204791;-6,000000
228;21,000000;-82,754931;-2,750000
229;15,000000;-84,756433;14,500000
230;25,000000;-44,300459;8,000000
231;31,000000;-53,482519;-1,500000
232;23,000000;-69,054749;3,250000
233;25,000000;-93,453308;-11,000000
234;17,000000;-58,166223;33,250000
235;9,000000;-85,815348;13,250000
236;33,000000;-71,729073;19,000000
237;23,000000;-63,646728;2,000000
238;11,000000;-83,233497;4,500000
239;19,000000;-86,331929;8,500000
240;9,000000;-48,191585;23,250000
241;23,000000;-40,029096;7,500000
242;21,000000;-75,759339;22,500000
243;17,000000;-57,827443;10,000000
244;-1,000000;-72,157937;10,500000
245;15,000000;-91,389728;-6,250000
246;21,000000;-88,323809;7,750000
247;5,000000;-80,260737;12,500000
248;41,000000;-46,890149;0,750000
249;15,000000;-48,072102;8,750000
250;19,000000;-91,388301;1,750000
251;29,000000;-76,889909;18,500000
252;19,000000;-77,441212;7,750000
253;41,000000;-81,546217;6,500000
254;7,000000;-87,000000;2,000000
255;17,000000;-70,081394;17,000000
256;21,000000;-62,798522;11,250000
257;9,000000;-60,357480;22,500000
258;5,000000;-71,830935;21,000000
259;31,000000;-55,697125;9,250000
260;17,000000;-91,411134;-8,250000
261;31,000000;-57,892692;-10,000000
262;35,000000;-74,005360;1,750000
263;31,000000;-43,138774;2,750000
264;7,000000;-43,300247;14,750000
265;37,000000;-59,530038;18,000000
266;29,000000;-44,003800;10,500000
267;23,000000;-51,056765;21,250000
268;27,000000;-93,000000;1,750000
269;15,000000;-55,268494;18,500000
270;7,000000;-89,421384;12,500000
271;25,000000;-85,875938;5,000000
272;21,000000;-78,647214;16,500000
273;9,000000;-68,268257;10,000000
274;33,000000;-84,318821;-0,750000
275;23,000000;-33,855346;0,750000
276;7,000000;-63,512415;2,500000
277;15,000000;-85,271146;3,750000
278;31,000000;-39,779912;9,750000
279;23,000000;-80,235522;-3,250000
280;25,000000;-85,163517;13,750000
281;19,000000;-71,536881;18,000000
282;15,000000;-77,074285;4,500000
283;27,000000;-43,852380;3,250000
284;27,000000;-36,780505;24,500000
285;21,000000;-60,542292;2,500000
286;19,000000;-49,958376;4,000000
287;23,000000;-85,584187;5,000000
288;19,000000;-80,132871;4,500000
289;33,000000;-89,000000;1,250000
290;25,000000;-52,161712;9,500000
291;23,000000;-46,925236;16,000000
292;13,000000;-89,431144;-3,500000
293;31,000000;-81,096103;9,250000
294;7,000000;-89,439241;16,500000
295;17,000000;-88,385528;11,750000
296;27,000000;-71,753853;11,000000
297;23,000000;-65,701862;-2,750000
298;17,000000;-77,050852;-2,250000
299;25,000000;-60,373024;-4,000000
300;23,000000;-81,256132;-0,750000
301;29,000000;-50,213454;8,000000
302;7,000000;-57,065606;18,500000
303;7,000000;-83,871726;-8,000000
304;27,000000;-62,970960;15,000000
305;23,000000;-79,631788;11,250000
306;25,000000;-80,728925;7,000000
307;41,000000;-75,844095;-12,000000
308;15,000000;-41,174747;9,500000
309;5,000000;-42,013778;11,250000
310;19,000000;-79,866887;13,500000
311;23,000000;-70,832785;8,500000
312;27,000000;-85,466470;10,000000
313;19,000000;-81,204688;-4,750000
314;21,000000;-65,581726;-2,250000
315;29,000000;-80,034650;10,500000
316;15,000000;-37,422404;21,750000
317;39,000000;-51,754106;20,000000
318;29,000000;-51,048157;8,750000
319;25,000000;-58,401103;32,500000
320;19,000000;-50,254945;14,000000
321;21,000000;-40,840182;24,500000
322;21,000000;-87,428099;13,250000
323;25,000000;-62,382838;17,750000
324;29,000000;-91,399959;-16,250000
325;33,000000;-44,898123;-2,750000
326;23,000000;-81,175450;19,250000
327;39,000000;-79,533532;9,000000
328;23,000000;-49,675946;23,250000
329;11,000000;-62,822580;7,000000
330;25,000000;-44,342696;34,000000
331;7,000000;-78,869717;4,750000
332;21,000000;-72,879049;-14,250000
333;19,000000;-57,748557;6,500000
334;-1,000000;-76,600341;-15,000000
335;23,000000;-45,588117;10,000000
336;27,000000;-83,864215;-0,250000
337;27,000000;-40,596256;15,250000
338;27,000000;-83,923758;2,000000
339;37,000000;-66,096203;15,250000
340;23,000000;-78,989566;-8,000000
341;27,000000;-45,471799;26,500000
342;23,000000;-87,826182;8,500000
343;23,000000;-52,330066;4,750000
344;11,000000;-58,166206;7,500000
345;25,000000;-48,502907;14,000000
346;37,000000;-54,958890;11,750000
347;21,000000;-83,390847;8,500000
348;9,000000;-40,528261;18,000000
349;31,000000;-91,423091;19,750000
350;39,000000;-48,762194;3,250000
351;9,000000;-51,763775;2,500000
352;33,000000;-40,787890;0,000000
353;25,000000;-90,405550;3,000000
354;25,000000;-65,578342;13,250000
355;27,000000;-49,653742;2,750000
356;35,000000;-71,325528;8,750000
357;17,000000;-68,658749;21,250000
358;37,000000;-63,398542;13,750000
359;29,000000;-51,183593;3,750000
360;19,000000;-85,863565;17,250000
361;31,000000;-47,260963;17,750000
362;37,000000;-84,265473;9,250000
363;37,000000;-52,448794;7,250000
364;31,000000;-46,793392;-8,000000
365;11,000000;-61,684460;20,500000
366;19,000000;-60,329072;19,750000
367;31,000000;-30,326757;18,000000
368;37,000000;-64,086761;5,250000
369;35,000000;-85,420613;8,000000
370;15,000000;-88,249319;13,750000
371;25,000000;-49,201276;27,250000
372;23,000000;-84,728528;14,500000
373;23,000000;-41,981067;18,500000
374;17,000000;-68,772198;7,000000
375;39,000000;-86,384224;-9,500000
376;19,000000;-64,821027;7,250000
377;39,000000;-72,863659;38,000000
378;31,000000;-55,382352;10,500000
379;23,000000;-51,770827;5,250000
380;7,000000;-77,262303;9,750000
381;31,000000;-81,682913;6,500000
382;21,000000;-47,585789;12,000000
383;21,000000;-62,189130;12,500000
384;27,000000;-80,765763;13,750000
385;31,000000;-87,454707;21,250000
386;19,000000;-67,702682;-0,750000
387;9,000000;-84,742052;18,500000
388;13,000000;-70,668212;-4,500000
389;13,000000;-71,999521;21,250000
390;29,000000;-85,948046;19,250000
391;35,000000;-70,373481;9,250000
392;37,000000;-59,674086;22,000000
393;27,000000;-42,982519;26,000000
394;19,000000;-77,297932;8,750000
395;37,000000;-83,780794;5,750000
396;33,000000;-76,264782;17,750000
397;39,000000;-53,220723;16,000000
398;25,000000;-69,048479;23,250000
399;31,000000;-66,749030;13,750000
400;29,000000;-39,193486;8,500000
401;31,000000;-44,913025;16,500000
402;39,000000;-36,504631;40,000000
403;29,000000;-71,269171;-2,250000
404;31,000000;-67,774038;29,000000
405;23,000000;-76,962533;-9,500000
406;39,000000;-66,874783;-0,250000
407;33,000000;-84,732046;4,500000
408;15,000000;-80,780484;2,000000
409;35,000000;-43,721654;13,250000
410;25,000000;-73,601194;12,500000
411;11,000000;-79,653370;13,000000
412;35,000000;-18,800549;11,500000
413;31,000000;-52,598766;-8,750000
414;15,000000;-48,859355;18,750000
415;37,000000;-87,461269;27,250000
416;31,000000;-55,789611;8,000000
417;41,000000;-82,378738;0,000000
418;29,000000;-49,347478;16,750000
419;33,000000;-36,190913;8,500000
420;27,000000;-81,169406;1,250000
421;27,000000;-51,288138;32,000000
422;29,000000;-81,447287;11,500000
423;33,000000;-62,266075;8,250000
424;33,000000;-57,651042;24,500000
425;43,000000;-84,324636;9,250000
426;49,000000;-89,000000;-14,750000
427;21,000000;-50,936356;17,250000
428;29,000000;-24,388733;8,000000
429;21,000000;-49,140994;26,000000
430;31,000000;-48,505836;13,250000
431;19,000000;-80,477943;17,750000
432;25,000000;-33,921932;24,500000
433;37,000000;-36,232228;7,250000
434;31,000000;-44,705264;9,750000
435;43,000000;-43,719112;35,500000
436;33,000000;-70,075834;1,750000
437;17,000000;-38,216481;25,250000
438;33,000000;-85,981931;27,250000
439;39,000000;-44,403190;22,000000
440;35,000000;-28,253058;12,000000
441;39,000000;-90,327808;13,000000
442;43,000000;-70,494690;19,500000
443;53,000000;-37,311342;22,000000
444;41,000000;-54,356104;28,250000
445;35,000000;-63,368086;8,500000
446;33,000000;-43,671917;38,500000
447;31,000000;-57,502464;24,750000
448;23,000000;-77,771000;18,000000
449;39,000000;-78,132172;23,250000
450;45,000000;-89,851694;9,750000
451;33,000000;-79,899747;11,500000
452;25,000000;-65,520710;16,000000
453;25,000000;-44,642921;20,500000
454;35,000000;-40,740702;17,500000
455;47,000000;-81,751505;12,500000
456;19,000000;-86,850294;1,750000
457;25,000000;-83,299032;-1,500000
458;39,000000;-76,681430;13,250000
459;43,000000;-68,485989;5,750000
460;41,000000;-38,870357;13,250000
461;39,000000;-54,747496;22,500000
462;35,000000;-43,002013;32,000000
463;23,000000;-80,614669;7,750000
464;39,000000;-74,793185;0,000000
465;25,000000;-76,130272;15,000000
466;37,000000;-81,229994;11,250000
467;33,000000;-31,744917;17,250000
468;35,000000;-85,477804;4,000000
469;23,000000;-50,996429;-1,000000
470;35,000000;-36,184542;6,250000
471;19,000000;-44,817638;14,750000
472;49,000000;-25,231406;16,750000
473;29,000000;-49,529977;5,250000
474;29,000000;-48,510604;15,750000
475;35,000000;-74,518484;22,000000
476;29,000000;-51,905415;21,250000
477;29,000000;-89,895303;17,750000
478;39,000000;-88,855308;7,000000
479;27,000000;-31,811728;25,250000
480;25,000000;-37,634276;14,500000
481;31,000000;-84,365587;9,250000
482;41,000000;-38,808798;15,250000
483;27,000000;-88,372919;3,750000
484;43,000000;-77,672495;4,000000
485;47,000000;-86,224325;20,500000
486;45,000000;-55,374855;8,000000
487;43,000000;-48,071626;20,000000
488;41,000000;-81,076027;13,000000
489;33,000000;-77,852031;14,250000
490;29,000000;-87,888781;-11,500000
491;45,000000;-77,799951;12,000000
492;19,000000;-49,524526;15,250000
493;31,000000;-55,705487;12,500000
494;41,000000;-48,972812;25,500000
495;35,000000;-63,127394;14,500000
496;29,000000;-44,503108;33,250000
497;43,000000;-63,497044;2,750000
498;37,000000;-42,952232;11,250000
499;33,000000;-76,172803;16,000000
500;45,000000;-46,048259;36,000000
501;25,000000;-32,542643;40,500000
502;37,000000;-74,753597;18,000000
503;37,000000;-21,359740;33,500000
504;43,000000;-45,563822;15,000000
505;45,000000;-77,781949;23,000000
506;37,000000;-82,696194;15,250000
507;37,000000;-39,395408;27,750000
508;21,000000;-28,057669;33,500000
509;43,000000;-44,820029;5,500000
510;25,000000;-81,155485;7,250000
511;39,000000;-85,482381;18,000000
512;43,000000;-87,857781;-3,500000
513;31,000000;-52,320303;25,250000
514;47,000000;-76,619756;25,250000
515;25,000000;-86,803635;-8,250000
516;41,000000;-79,260790;18,000000
517;25,000000;-70,587298;14,500000
518;43,000000;-75,113893;21,250000
519;39,000000;-69,286547;12,500000
520;23,000000;-27,171149;17,000000
521;43,000000;-81,568864;0,500000
522;35,000000;-85,419373;0,000000
523;47,000000;-85,916589;17,250000
524;41,000000;-62,510217;6,000000
525;45,000000;-71,796827;-1,750000
526;29,000000;-40,738013;24,750000
527;35,000000;-59,914651;35,250000
528;37,000000;-57,867885;23,750000
529;37,000000;-49,131122;19,750000
530;33,000000;-83,119284;-1,500000
531;33,000000;-58,648363;17,000000
532;23,000000;-77,750068;10,000000
533;33,000000;-81,027965;13,000000
534;31,000000;-34,808015;39,250000
535;37,000000;-79,037946;12,000000
536;49,000000;-71,849988;5,250000
537;31,000000;-62,837671;7,500000
538;21,000000;-78,750329;7,250000
539;23,000000;-72,926569;24,000000
540;25,000000;-63,891836;9,000000
541;31,000000;-44,026592;20,750000
542;43,000000;-58,260652;9,500000
543;27,000000;-40,617219;34,000000
544;49,000000;-63,414756;30,000000
545;53,000000;-60,171295;14,750000
546;29,000000;-70,370470;37,250000
547;23,000000;-29,935752;16,000000
548;29,000000;-60,456734;26,500000
549;41,000000;-61,931992;19,750000
550;47,000000;-80,737509;-4,000000
551;35,000000;-56,109134;9,250000
552;31,000000;-39,457589;26,000000
553;37,000000;-75,136749;20,500000
554;33,000000;-76,827554;7,500000
555;45,000000;-83,247877;14,500000
556;29,000000;-91,461502;11,750000
557;21,000000;-70,538839;3,250000
558;51,000000;-42,759776;8,500000
559;41,000000;-38,483852;17,000000
560;21,000000;-56,548875;14,000000
561;37,000000;-74,413400;27,750000
562;35,000000;-34,555228;21,750000
563;31,000000;-82,918932;18,500000
564;23,000000;-69,234611;20,500000
565;29,000000;-41,318711;29,500000
566;49,000000;-79,113061;17,750000
567;57,000000;-40,647852;36,500000
568;23,000000;-84,334628;17,250000
569;23,000000;-79,227983;10,000000
570;45,000000;-71,068351;20,750000
571;39,000000;-35,630273;24,000000
572;35,000000;-32,572343;34,500000
573;21,000000;-66,383323;19,750000
574;51,000000;-79,899239;-3,500000
575;39,000000;-40,723681;18,500000
576;27,000000;-87,000000;-8,000000
577;39,000000;-66,419433;12,500000
578;49,000000;-49,373755;-1,250000
579;39,000000;-75,978152;17,750000
580;59,000000;-30,461039;36,000000
581;27,000000;-45,118375;35,750000
582;35,000000;-73,392664;21,250000
583;47,000000;-91,446033;-4,250000
584;35,000000;-81,688183;26,500000
585;43,000000;-69,726713;13,750000
586;33,000000;-75,913176;16,000000
587;37,000000;-31,498755;40,000000
588;39,000000;-62,494155;13,750000
589;31,000000;-31,052390;9,750000
590;41,000000;-60,159056;22,500000
591;69,000000;-78,229812;9,250000
592;39,000000;-54,168435;0,500000
593;53,000000;-85,850301;1,250000
594;41,000000;-48,851047;27,250000
595;49,000000;-78,538494;22,750000
596;47,000000;-37,357028;26,000000
597;59,000000;-72,305700;13,500000
598;51,000000;-83,918871;8,000000
599;41,000000;-76,991408;0,500000
600;47,000000;-77,816203;18,000000
601;45,000000;-47,438360;23,250000
602;41,000000;-38,957633;-0,750000
603;43,000000;-51,220901;26,750000
604;49,000000;-58,372115;11,250000
605;41,000000;-88,362821;9,750000
606;39,000000;-69,150818;-3,500000
607;43,000000;-85,971935;9,250000
608;39,000000;-75,759464;7,750000
609;35,000000;-89,451518;-9,500000
610;39,000000;-27,355236;10,750000
611;61,000000;-43,994571;24,500000
612;33,000000;-71,100039;9,750000
613;55,000000;-44,855365;17,000000
614;41,000000;-83,165827;16,500000
615;39,000000;-69,130605;22,500000
616;47,000000;-63,876132;37,000000
617;53,000000;-78,994043;20,000000
618;51,000000;-31,694121;25,250000
619;33,000000;-84,178890;15,250000
620;33,000000;-72,823990;29,750000
621;45,000000;-29,030635;28,000000
622;23,000000;-71,174967;23,750000
623;31,000000;-80,169790;11,750000
624;33,000000;-56,495891;17,000000
625;49,000000;-79,693311;-4,750000
626;41,000000;-41,675352;47,250000
627;51,000000;-78,734813;34,750000
628;49,000000;-77,179943;10,500000
629;41,000000;-45,523774;26,750000
630;45,000000;-56,687427;18,000000
631;59,000000;-48,410242;16,000000
632;35,000000;-81,795507;32,750000
633;43,000000;-35,980782;41,500000
634;31,000000;-64,798431;56,750000
635;29,000000;-28,262768;24,250000
636;51,000000;-71,573854;18,000000
637;39,000000;-77,194002;-7,250000
638;43,000000;-26,332104;39,250000
639;33,000000;-69,401457;16,750000
640;43,000000;-77,160580;-1,250000
641;35,000000;-61,219103;13,250000
642;49,000000;-23,385771;27,500000
643;39,000000;-60,907428;20,500000
644;43,000000;-91,000000;30,500000
645;41,000000;-78,035564;-6,750000
646;51,000000;-83,822292;28,000000
647;41,000000;-80,902653;2,000000
648;41,000000;-69,996477;16,000000
649;53,000000;-24,972909;29,250000
650;45,000000;-71,776682;20,500000
651;49,000000;-72,654179;16,750000
652;33,000000;-84,745400;14,500000
653;37,000000;-81,169088;7,250000
654;37,000000;-87,368466;11,250000
655;37,000000;-82,698100;29,250000
656;29,000000;-56,156557;23,250000
657;53,000000;-43,973292;24,500000
658;57,000000;-22,551536;34,500000
659;49,000000;-81,769491;18,500000
660;51,000000;-86,395738;22,500000
661;41,000000;-62,843835;27,250000
662;41,000000;-84,801004;2,500000
663;29,000000;-51,412366;29,500000
664;41,000000;-88,326221;23,750000
665;41,000000;-41,258790;19,750000
666;47,000000;-27,395355;38,500000
667;37,000000;-26,558736;43,750000
668;41,000000;-75,260303;26,750000
669;69,000000;-24,567001;31,000000
670;63,000000;-39,691329;24,500000
671;51,000000;-78,054241;19,250000
672;55,000000;-72,696547;9,750000
673;35,000000;-37,132837;39,500000
674;51,000000;-47,243920;33,250000
675;47,000000;-67,169642;14,500000
676;61,000000;-85,913522;-2,750000
677;57,000000;-48,495157;21,250000
678;49,000000;-85,420231;8,000000
679;47,000000;-56,612866;38,000000
680;45,000000;-17,622762;40,500000
681;41,000000;-75,475695;12,500000
682;45,000000;-43,933229;12,000000
683;47,000000;-65,988762;20,500000
684;53,000000;-17,139425;32,500000
685;19,000000;-70,483248;19,250000
686;47,000000;-55,303789;52,500000
687;61,000000;-75,362338;14,500000
688;53,000000;-64,180415;15,250000
689;43,000000;-74,504438;20,000000
690;47,000000;-42,103210;40,500000
691;45,000000;-71,834766;37,250000
692;39,000000;-52,738883;26,000000
693;39,000000;-34,263458;28,750000
694;41,000000;-28,634544;24,000000
695;39,000000;-56,716443;13,250000
696;43,000000;-81,869143;20,750000
697;63,000000;-88,381913;15,750000
698;51,000000;-19,464318;40,750000
699;49,000000;-66,195212;6,750000
700;51,000000;-85,779489;17,250000
701;43,000000;-21,797018;42,500000
702;45,000000;-54,575656;32,750000
703;45,000000;-33,382794;21,250000
704;35,000000;-81,707635;26,500000
705;51,000000;-15,611019;42,750000
706;59,000000;-44,245946;43,750000
707;47,000000;-46,150492;18,000000
708;47,000000;-77,145635;33,750000
709;47,000000;-20,937848;34,000000
710;47,000000;-17,705109;36,750000
711;47,000000;-79,494440;23,250000
712;41,000000;-70,683253;12,500000
713;41,000000;-77,216967;-5,250000
714;39,000000;-57,780420;23,750000
715;45,000000;-72,299957;21,500000
716;59,000000;-36,921439;38,000000
717;37,000000;-75,161111;5,250000
718;51,000000;-71,689921;12,000000
719;41,000000;-42,954937;31,750000
720;51,000000;-62,135638;32,000000
721;47,000000;-78,666062;8,750000
722;53,000000;-39,122860;37,500000
723;59,000000;-83,836646;28,000000
724;49,000000;-80,091387;-5,500000
725;43,000000;-77,657694;0,000000
726;55,000000;-36,015036;45,750000
727;61,000000;-80,690870;-14,000000
728;51,000000;-84,349476;3,250000
729;47,000000;-55,083979;22,000000
730;51,000000;-49,857777;23,250000
731;49,000000;-64,020427;9,250000
732;53,000000;-29,847006;7,500000
733;59,000000;-65,010398;7,750000
734;59,000000;-46,844039;33,250000
735;73,000000;-21,923966;22,750000
736;55,000000;-45,176959;15,750000
737;51,000000;-9,735059;50,000000
738;51,000000;-17,160923;29,250000
739;49,000000;-22,129646;28,250000
740;61,000000;-85,919114;35,250000
741;51,000000;-78,371777;19,500000
742;39,000000;-18,412902;44,500000
743;39,000000;-87,672662;22,500000
744;47,000000;-41,519140;27,500000
745;59,000000;-31,994807;27,250000
746;61,000000;-53,720956;8,000000
747;55,000000;-81,424222;21,500000
748;49,000000;-39,351352;46,000000
749;53,000000;-18,608048;36,000000
750;37,000000;-19,225700;49,750000
751;61,000000;-40,863580;21,250000
752;29,000000;-83,791781;6,000000
753;49,000000;-83,413563;30,750000
754;43,000000;-82,324775;-2,000000
755;57,000000;-85,414388;20,000000
756;57,000000;-33,866263;42,500000
757;59,000000;-57,787278;26,000000
758;53,000000;-48,766434;27,250000
759;37,000000;-26,713161;39,500000
760;45,000000;-83,407039;4,750000
761;45,000000;-86,291830;16,500000
762;43,000000;-75,619230;18,500000
763;57,000000;-84,411771;5,250000
764;53,000000;-39,268427;38,250000
