Datetime;demand;price;solar_power;wind_power
2019-01-04 17:00:00;16.357;71.06;0;63.7825333369
2019-01-04 18:00:00;17.524;71.94;0;49.3563405005
2019-01-04 19:00:00;18.166;70.2;0;40.0092109089
2019-01-04 20:00:00;18.277;68.71;0;40.2718587907
2019-01-04 21:00:00;18.22;68.68;0;41.2768336555
2019-01-04 22:00:00;17.757;68.17;0;34.8164733916
2019-01-04 23:00:00;17.163;71.68;0;29.3594347712
2019-01-05 00:00:00;16.545;69.5;0;23.012595704
2019-01-05 01:00:00;16.111;68.07;0;17.8477486424
2019-01-05 02:00:00;16.035;66;0;17.7194096845
2019-01-05 03:00:00;15.858;63.93;0;17.5872132101
2019-01-05 04:00:00;15.947;62;0;13.9586679731
2019-01-05 05:00:00;16.263;60.84;0;15.3959295951
2019-01-05 06:00:00;17.034;62.92;0;14.5853306949
2019-01-05 07:00:00;18.375;60.79;2.0275192533;14.9448450993
2019-01-05 08:00:00;19.06;66.92;14.4243725933;17.5594146
2019-01-05 09:00:00;19.072;69.12;28.4800024067;21.4763857251
2019-01-05 10:00:00;19.051;68.25;49.6235915333;25.9977623148
2019-01-05 11:00:00;19.045;67.67;53.6884333133;31.2625068047
2019-01-05 12:00:00;18.952;64;57.63898386;35.6286030522
2019-01-05 13:00:00;18.789;61.57;52.32613962;39.4210927358
2019-01-05 14:00:00;18.724;59.4;35.76739932;42.3431920152
2019-01-05 15:00:00;18.596;58.31;11.0426045933;38.1532250676
2019-01-05 16:00:00;18.498;67.2;0;47.3388288142
2019-01-05 17:00:00;18.633;69;0;49.1557802636
2019-01-05 18:00:00;19.239;68.71;0;48.6066658672
2019-01-05 19:00:00;19.497;68.07;0;44.7703964341
2019-01-05 20:00:00;19.321;65.38;0;41.5664229215
2019-01-05 21:00:00;19.214;65.76;0;36.1720536348
2019-01-05 22:00:00;18.773;62.8;0;28.4477138344
2019-01-05 23:00:00;17.897;63.75;0;20.0268474041
2019-01-06 00:00:00;17.266;54.7;0;13.4543436281
2019-01-06 01:00:00;16.852;54.05;0;7.6581497177
2019-01-06 02:00:00;16.704;48.06;0;4.5416132431
2019-01-06 03:00:00;16.567;48.37;0;2.8774929193
2019-01-06 04:00:00;16.732;47.17;0;1.5345261423
2019-01-06 05:00:00;17.036;48.19;0;0.5944861367
2019-01-06 06:00:00;17.752;50.2;0;0.5086717047
2019-01-06 07:00:00;19.032;52.2;12.7544439933;0.3372265319
2019-01-06 08:00:00;19.851;54.7;45.0483532867;0.2344512738
2019-01-06 09:00:00;19.906;62;77.2507573333;0.4682902435
2019-01-06 10:00:00;19.9;64.01;85.0227538933;2.1629645464
2019-01-06 11:00:00;19.684;64.18;84.8131276333;8.1454520062
2019-01-06 12:00:00;19.464;64.86;81.82491168;14.3987922239
2019-01-06 13:00:00;19.144;64.01;73.4284201133;17.1346285691
2019-01-06 14:00:00;19.002;58.31;53.03674446;14.5435715493
2019-01-06 15:00:00;18.911;54.94;16.10986118;14.178515792
2019-01-06 16:00:00;18.874;63.43;0;15.3992666529
2019-01-06 17:00:00;19.06;67.37;0;11.1473039062
2019-01-06 18:00:00;19.662;67.2;0;7.936533817
2019-01-06 19:00:00;19.935;66.03;0;6.6416329189
2019-01-06 20:00:00;19.81;68;0;5.8746606922
2019-01-06 21:00:00;19.646;67.65;0;4.7982299286
2019-01-06 22:00:00;19.352;65.38;0;3.7963778152
2019-01-06 23:00:00;18.842;59.59;0;3.2313435099
2019-01-07 00:00:00;18.234;54.09;0;2.6769939127
2019-01-07 01:00:00;17.833;52.2;0;2.7814530073
2019-01-07 02:00:00;17.791;50.9;0;3.9305948933
2019-01-07 03:00:00;17.563;50.5;0;5.4952464017
2019-01-07 04:00:00;17.622;50.9;0;5.9656797099
2019-01-07 05:00:00;17.689;55.77;0;4.839805383
