episode,rolling_mean_reward
0,-31.110780393876098
1,-26.67460418768788
2,16.056556927807947
3,-2.036320422199618
4,5.8170223654999065
5,-20.206075404337565
6,-5.360370848118618
7,-33.52434627433978
8,2.5663825532115734
9,12.583446771727177
10,-18.74858025461494
11,-22.90663864978482
12,-14.572271628705163
13,-20.405654100674933
14,-28.49590609717596
15,-21.679131803825992
16,-11.83362162555187
17,-1.2973269185337322
18,-27.22007408643299
19,-30.26787518986181
20,-42.82996618396046
21,-35.107567958302994
22,50.79779025877081
23,-27.143646348324214
24,-18.341568609398887
25,-41.48161554113662
26,10.438658763416173
27,-22.321095794804794
28,-8.33803585171583
29,-34.835850121790635
30,-31.365320850862812
31,-40.023341196719215
32,-45.22111252113771
33,-11.933455825435535
34,-4.306654728866256
35,-42.26005782788146
36,-57.52964334134181
37,-10.536327780460294
38,-51.87475354656476
39,4.409968451029566
40,-15.786505890179585
41,-17.908166011471398
42,-59.268576035428254
43,-18.724498167918707
44,-26.358630317677697
45,49.694144124065815
46,-24.314914684969416
47,-11.08452298613385
48,-33.70214863516346
49,-28.5655906096258
50,-32.16962137545228
51,-38.2225385895162
52,-11.174081178380709
53,-10.098210288968541
54,-36.590978538737794
55,-22.071673642203372
56,-36.31311299048309
57,-36.41696953847377
58,-33.408425743884834
59,-61.207503640215755
60,-44.39060926467872
61,-29.376670100392975
62,-25.94979908116869
63,-37.0981059731063
64,-2.4689761620348656
65,-7.352711279675678
66,-48.07218775904966
67,-26.83631591198988
68,-24.861219985714914
69,-45.128144125423105
70,-59.552298153926195
71,-23.1482645832393
72,-15.176055799471218
73,-10.531525126351006
74,-32.261200494342845
75,-39.62560147474309
76,-36.449317339419494
77,-9.810767770473117
78,-43.260814815365414
79,-37.19916632121976
80,-34.117067059603336
81,-11.649027882061436
82,3.430258521791947
83,14.732960769900775
84,-23.03076497538923
85,-25.612070202229326
86,-20.69187307091526
87,-20.322323623341763
88,-3.0176112841714073
89,-6.6819704264063615
90,-8.307843895550725
91,-34.676339622065676
92,-26.88297661190955
93,-39.34756215085604
94,0.4587509216041981
95,-30.677130078226945
96,-9.585392168269117
97,-21.559863753494824
98,-43.57245015486736
99,23.16053176165733
100,-16.773028215323194
101,-42.027534769750496
102,-29.890567128705896
103,-33.8847769416515
104,9.391985030164228
105,-67.16639056782023
106,-33.03415731537457
107,-17.069921378153136
108,-12.759489295556904
109,-23.928013582082066
110,-19.834786460504883
111,14.23184840183625
112,9.912149036896283
113,-8.086433480951898
114,32.365807857789335
115,11.049392076765354
116,-56.7661211405546
117,-49.644679329119015
118,-15.624051342491413
119,-2.2034601915651124
120,1.7773386821102224
121,2.351302686537652
122,6.024534447170429
123,-66.36347310963826
124,-28.042122865507494
125,-25.497910107606465
126,-7.628166117674245
127,-31.683940461848703
128,10.362301876592362
129,-37.07286169934779
130,-1.0290817548710192
131,-4.357865022529194
132,-30.34392198181575
133,-62.47343204100194
134,-24.681709596470775
135,-9.955407263596893
136,-33.534685026316865
137,-7.033951860271511
138,-15.400308941038494
139,-0.9331764230607515
140,7.646251452389461
141,-7.295635050063658
142,-5.051910162925496
143,0.9247563779009206
144,-9.482606289136772
145,12.08012910812846
146,-1.603195619719541
147,1.2982985607675481
148,14.27742254175624
149,-1.880243742558791
150,-79.52730322068511
151,-21.60639090928985
152,24.863950608945537
153,-3.6748602458538056
154,-2.065248666789639
155,-3.1308221993887204
156,-52.08011205862443
157,6.1780978427212005
158,10.85606765684128
159,-11.931576289855109
160,-45.6637534080749
161,9.884409523378979
162,-13.022352475704476
163,-4.442639118628723
164,-7.59809309164496
165,-1.1678779009014617
166,-4.061759258073777
167,-57.45299277791763
168,-16.728585229885226
169,-92.47398246669576
170,-5.1403011757393315
171,2.3366489582433667
172,-14.05763034737913
173,-25.97201045834235
174,-23.40390120089042
175,-17.64690807691849
176,-35.479834717371574
177,-24.377331625846985
178,-22.944973410811706
179,17.815652031870883
180,7.842104915360263
181,-39.96512251923072
182,-25.684259041586635
183,-28.724213104348955
184,-26.470154614366763
185,-21.511989199826264
186,-25.745508281633587
187,-68.44639134400359
188,3.4360787896965626
189,5.208443709038648
