episode;num_events;num_recovered;recovered_ratio;mean_recovery_time_steps;median_recovery_time_steps;mean_recovery_time_hours;median_recovery_time_hours
75;23,000000;9,000000;0,391304;16,777778;17,000000;16,777778;17,000000
76;23,000000;0,000000;0,000000;;;;
77;21,000000;9,000000;0,428571;18,888889;21,000000;18,888889;21,000000
78;21,000000;13,000000;0,619048;24,769231;26,000000;24,769231;26,000000
79;22,000000;20,000000;0,909091;17,950000;17,500000;17,950000;17,500000
80;19,000000;18,000000;0,947368;13,722222;11,000000;13,722222;11,000000
81;25,000000;23,000000;0,920000;15,478261;14,000000;15,478261;14,000000
82;22,000000;19,000000;0,863636;18,263158;16,000000;18,263158;16,000000
83;20,000000;11,000000;0,550000;10,363636;11,000000;10,363636;11,000000
84;22,000000;16,000000;0,727273;19,437500;17,500000;19,437500;17,500000
85;19,000000;13,000000;0,684211;10,692308;8,000000;10,692308;8,000000
86;22,000000;8,000000;0,363636;15,625000;15,500000;15,625000;15,500000
87;19,000000;7,000000;0,368421;8,571429;10,000000;8,571429;10,000000
88;24,000000;2,000000;0,083333;2,000000;2,000000;2,000000;2,000000
89;23,000000;15,000000;0,652174;31,666667;30,000000;31,666667;30,000000
90;19,000000;18,000000;0,947368;13,166667;12,000000;13,166667;12,000000
91;20,000000;0,000000;0,000000;;;;
92;28,000000;0,000000;0,000000;;;;
93;20,000000;17,000000;0,850000;16,411765;16,000000;16,411765;16,000000
94;21,000000;12,000000;0,571429;13,916667;14,000000;13,916667;14,000000
95;22,000000;21,000000;0,954545;42,333333;43,000000;42,333333;43,000000
96;24,000000;7,000000;0,291667;14,571429;16,000000;14,571429;16,000000
97;23,000000;13,000000;0,565217;14,307692;12,000000;14,307692;12,000000
98;22,000000;0,000000;0,000000;;;;
99;18,000000;13,000000;0,722222;19,692308;19,000000;19,692308;19,000000
100;18,000000;17,000000;0,944444;11,941176;9,000000;11,941176;9,000000
101;20,000000;16,000000;0,800000;25,937500;27,000000;25,937500;27,000000
102;27,000000;5,000000;0,185185;7,000000;5,000000;7,000000;5,000000
103;21,000000;2,000000;0,095238;3,500000;3,500000;3,500000;3,500000
104;22,000000;21,000000;0,954545;44,619048;48,000000;44,619048;48,000000
105;22,000000;16,000000;0,727273;21,250000;15,500000;21,250000;15,500000
106;22,000000;3,000000;0,136364;6,000000;6,000000;6,000000;6,000000
107;22,000000;9,000000;0,409091;18,333333;19,000000;18,333333;19,000000
108;24,000000;0,000000;0,000000;;;;
109;19,000000;14,000000;0,736842;34,285714;38,000000;34,285714;38,000000
110;22,000000;20,000000;0,909091;40,000000;39,500000;40,000000;39,500000
111;21,000000;12,000000;0,571429;19,416667;19,500000;19,416667;19,500000
112;19,000000;15,000000;0,789474;19,266667;15,000000;19,266667;15,000000
113;22,000000;0,000000;0,000000;;;;
114;26,000000;18,000000;0,692308;14,444444;12,500000;14,444444;12,500000
115;27,000000;19,000000;0,703704;29,736842;28,000000;29,736842;28,000000
116;22,000000;14,000000;0,636364;24,928571;24,500000;24,928571;24,500000
117;25,000000;17,000000;0,680000;13,823529;12,000000;13,823529;12,000000
118;19,000000;9,000000;0,473684;11,666667;11,000000;11,666667;11,000000
119;19,000000;13,000000;0,684211;8,615385;5,000000;8,615385;5,000000
120;20,000000;17,000000;0,850000;25,352941;22,000000;25,352941;22,000000
121;25,000000;25,000000;1,000000;30,320000;28,000000;30,320000;28,000000
122;21,000000;14,000000;0,666667;9,642857;7,000000;9,642857;7,000000
123;23,000000;12,000000;0,521739;16,333333;17,500000;16,333333;17,500000
124;21,000000;19,000000;0,904762;18,631579;15,000000;18,631579;15,000000
125;9,000000;7,000000;0,777778;7,000000;3,000000;7,000000;3,000000
126;17,000000;10,000000;0,588235;10,000000;7,500000;10,000000;7,500000
127;23,000000;9,000000;0,391304;9,777778;10,000000;9,777778;10,000000
128;23,000000;20,000000;0,869565;38,650000;39,500000;38,650000;39,500000
129;22,000000;17,000000;0,772727;21,470588;22,000000;21,470588;22,000000
130;24,000000;9,000000;0,375000;12,777778;13,000000;12,777778;13,000000
131;27,000000;24,000000;0,888889;15,375000;11,000000;15,375000;11,000000
132;20,000000;4,000000;0,200000;7,750000;8,000000;7,750000;8,000000
133;18,000000;2,000000;0,111111;4,000000;4,000000;4,000000;4,000000
134;19,000000;19,000000;1,000000;18,684211;19,000000;18,684211;19,000000
135;23,000000;20,000000;0,869565;26,400000;24,000000;26,400000;24,000000
136;21,000000;13,000000;0,619048;9,076923;8,000000;9,076923;8,000000
137;27,000000;0,000000;0,000000;;;;
138;26,000000;20,000000;0,769231;36,150000;37,500000;36,150000;37,500000
139;21,000000;15,000000;0,714286;35,666667;36,000000;35,666667;36,000000
140;17,000000;14,000000;0,823529;8,785714;6,500000;8,785714;6,500000
141;25,000000;21,000000;0,840000;37,904762;36,000000;37,904762;36,000000
142;18,000000;6,000000;0,333333;3,000000;2,500000;3,000000;2,500000
143;23,000000;15,000000;0,652174;14,733333;13,000000;14,733333;13,000000
144;23,000000;20,000000;0,869565;12,200000;9,500000;12,200000;9,500000
145;20,000000;9,000000;0,450000;8,222222;7,000000;8,222222;7,000000
146;17,000000;8,000000;0,470588;9,000000;10,500000;9,000000;10,500000
147;20,000000;4,000000;0,200000;6,500000;5,500000;6,500000;5,500000
148;22,000000;22,000000;1,000000;26,090909;22,500000;26,090909;22,500000
149;21,000000;4,000000;0,190476;8,250000;8,500000;8,250000;8,500000
150;18,000000;12,000000;0,666667;6,583333;5,500000;6,583333;5,500000
151;27,000000;0,000000;0,000000;;;;
152;23,000000;8,000000;0,347826;7,375000;7,000000;7,375000;7,000000
153;21,000000;1,000000;0,047619;1,000000;1,000000;1,000000;1,000000
154;25,000000;19,000000;0,760000;37,894737;38,000000;37,894737;38,000000
155;23,000000;13,000000;0,565217;10,384615;10,000000;10,384615;10,000000
156;15,000000;13,000000;0,866667;3,923077;2,000000;3,923077;2,000000
157;23,000000;5,000000;0,217391;7,400000;6,000000;7,400000;6,000000
158;24,000000;11,000000;0,458333;20,090909;21,000000;20,090909;21,000000
159;25,000000;24,000000;0,960000;30,916667;29,500000;30,916667;29,500000
160;19,000000;17,000000;0,894737;11,764706;12,000000;11,764706;12,000000
161;21,000000;3,000000;0,142857;4,666667;5,000000;4,666667;5,000000
162;20,000000;2,000000;0,100000;4,000000;4,000000;4,000000;4,000000
163;23,000000;0,000000;0,000000;;;;
164;19,000000;16,000000;0,842105;20,250000;18,500000;20,250000;18,500000
165;20,000000;5,000000;0,250000;5,000000;5,000000;5,000000;5,000000
166;20,000000;19,000000;0,950000;20,578947;12,000000;20,578947;12,000000
