episode;max_abs_e;p95_abs_e;time_in_band_ratio;epsilon_band_w
126;120000,000000;94334,276697;0,673684;3000,000000
127;101315,098793;93175,330863;0,578947;3000,000000
128;101922,823412;69189,773438;0,673684;3000,000000
129;100798,755965;92781,864928;0,515789;3000,000000
130;113770,298351;78696,380910;0,642105;3000,000000
131;107536,543894;85096,452413;0,652632;3000,000000
132;103106,645990;56225,800233;0,631579;3000,000000
133;88136,164998;61143,405479;0,642105;3000,000000
134;101853,875501;72982,107540;0,557895;3000,000000
135;116190,724639;74318,742956;0,631579;3000,000000
136;96305,804661;89665,317328;0,663158;3000,000000
137;99512,173375;58027,345404;0,631579;3000,000000
138;102470,328706;80846,990117;0,578947;3000,000000
139;99512,173375;64239,809519;0,547368;3000,000000
140;96081,912797;62488,577043;0,684211;3000,000000
141;88100,991826;70741,109118;0,505263;3000,000000
142;84042,779585;74832,514880;0,705263;3000,000000
143;99910,469984;51470,051574;0,642105;3000,000000
144;117863,039798;57307,209816;0,705263;3000,000000
145;97285,647783;68462,777292;0,663158;3000,000000
146;120000,000000;89149,154811;0,610526;3000,000000
147;120000,000000;76580,315900;0,600000;3000,000000
148;85771,487601;54981,809268;0,684211;3000,000000
149;119020,396179;84671,649069;0,705263;3000,000000
150;93491,320722;83431,151146;0,578947;3000,000000
151;100500,289259;60163,226776;0,600000;3000,000000
152;103922,811693;67428,298669;0,621053;3000,000000
153;104948,892657;78292,999694;0,684211;3000,000000
154;94675,722880;57330,215188;0,726316;3000,000000
155;120000,000000;97980,331183;0,673684;3000,000000
156;120000,000000;95584,293771;0,652632;3000,000000
157;110438,666426;69089,617097;0,631579;3000,000000
158;103203,084518;72237,857198;0,600000;3000,000000
159;67023,687995;53341,800461;0,694737;3000,000000
160;105744,537087;60718,522619;0,610526;3000,000000
161;110184,412712;75227,099444;0,547368;3000,000000
162;99260,013369;75515,544204;0,578947;3000,000000
163;91838,211905;74644,950995;0,547368;3000,000000
164;103322,988985;59797,854073;0,621053;3000,000000
165;93287,639190;70890,647871;0,600000;3000,000000
166;108829,622436;85350,486907;0,673684;3000,000000
167;99260,013369;72499,961888;0,663158;3000,000000
168;115745,392470;87919,024783;0,600000;3000,000000
169;114548,407045;78857,633911;0,589474;3000,000000
170;116165,901066;68685,930859;0,578947;3000,000000
171;108878,453767;75904,977848;0,547368;3000,000000
172;95607,423581;64761,775241;0,757895;3000,000000
173;108039,037452;56776,942505;0,684211;3000,000000
174;95741,142873;85342,547321;0,526316;3000,000000
175;93551,797282;69365,229830;0,557895;3000,000000
176;120000,000000;70443,582707;0,673684;3000,000000
177;107331,767556;72155,800039;0,600000;3000,000000
178;120000,000000;106231,000569;0,652632;3000,000000
179;120000,000000;81435,876355;0,778947;3000,000000
180;120000,000000;95255,646776;0,642105;3000,000000
181;90617,288383;59158,747386;0,663158;3000,000000
182;95340,891174;74638,016310;0,642105;3000,000000
183;115135,232040;77825,198561;0,547368;3000,000000
184;96636,226788;76079,127222;0,673684;3000,000000
185;103322,988985;72219,005709;0,568421;3000,000000
186;80107,744978;57889,502524;0,663158;3000,000000
187;120000,000000;98763,608201;0,589474;3000,000000
188;110586,852111;73710,138097;0,578947;3000,000000
189;120000,000000;86819,569345;0,652632;3000,000000
190;94795,828265;63845,136654;0,610526;3000,000000
191;96090,608147;60534,966207;0,589474;3000,000000
192;118124,437570;84410,550101;0,768421;3000,000000
193;120000,000000;87358,022845;0,652632;3000,000000
194;90868,811903;67876,116988;0,578947;3000,000000
195;100022,504155;85766,190833;0,642105;3000,000000
196;120000,000000;88041,085029;0,610526;3000,000000
197;120000,000000;99295,439761;0,736842;3000,000000
198;120000,000000;62312,572166;0,600000;3000,000000
199;99368,431548;54654,709870;0,631579;3000,000000
200;102989,589102;82639,118528;0,705263;3000,000000
201;96684,452672;61003,499405;0,726316;3000,000000
202;109175,152416;51507,240560;0,684211;3000,000000
203;102989,589102;80859,184775;0,610526;3000,000000
204;98423,231071;56114,439638;0,642105;3000,000000
205;116850,247622;73505,906444;0,631579;3000,000000
206;91893,550662;80708,868501;0,589474;3000,000000
207;103625,985320;85794,126452;0,621053;3000,000000
208;107439,618266;86774,648276;0,610526;3000,000000
209;108583,694064;67024,638914;0,684211;3000,000000
210;97227,750894;72094,066080;0,610526;3000,000000
211;97568,286292;78966,088414;0,568421;3000,000000
212;116705,441112;82253,898041;0,600000;3000,000000
213;111334,032211;79246,916401;0,673684;3000,000000
214;120000,000000;90151,447712;0,726316;3000,000000
215;93630,463961;74549,888792;0,557895;3000,000000
216;109058,946632;87009,810589;0,557895;3000,000000
217;120000,000000;99933,900236;0,778947;3000,000000
218;120000,000000;80954,889293;0,726316;3000,000000
219;99154,719677;63796,764880;0,621053;3000,000000
220;118430,166013;84722,922577;0,757895;3000,000000
221;103023,450042;89706,826169;0,642105;3000,000000
222;105457,391461;79664,091011;0,757895;3000,000000
223;120000,000000;94413,655330;0,642105;3000,000000
224;94797,267636;59180,912426;0,663158;3000,000000
225;112608,976484;57832,122848;0,663158;3000,000000
226;109411,980610;71940,163253;0,673684;3000,000000
227;120000,000000;85825,671477;0,757895;3000,000000
228;95218,863474;84257,816149;0,642105;3000,000000
229;106530,470862;74710,086368;0,631579;3000,000000
230;86540,577237;57713,678021;0,694737;3000,000000
231;118958,618725;86628,260214;0,705263;3000,000000
232;103026,862515;67650,073448;0,673684;3000,000000
233;93630,463961;70239,773025;0,568421;3000,000000
234;113797,029242;61601,099388;0,673684;3000,000000
235;104145,424122;84885,731756;0,621053;3000,000000
236;93024,250807;74283,117131;0,642105;3000,000000
237;110184,412712;68907,463330;0,568421;3000,000000
238;100159,206921;85803,253495;0,589474;3000,000000
239;89221,917652;68241,322484;0,600000;3000,000000
240;92473,481773;68458,283135;0,568421;3000,000000
241;100988,012410;72208,701444;0,589474;3000,000000
242;82785,245903;70706,761896;0,631579;3000,000000
243;120000,000000;96214,152273;0,694737;3000,000000
244;95991,587728;67936,943448;0,600000;3000,000000
245;100706,327679;58653,052102;0,652632;3000,000000
246;100783,500802;87752,494678;0,694737;3000,000000
247;118600,298673;97015,711388;0,610526;3000,000000
248;107133,599758;80472,368223;0,715789;3000,000000
249;93843,936508;56091,940694;0,610526;3000,000000
250;98999,123329;78371,929743;0,600000;3000,000000
251;116323,070436;82170,292385;0,715789;3000,000000
252;80672,236548;60737,717966;0,536842;3000,000000
253;113012,463190;74979,572471;0,631579;3000,000000
254;120000,000000;83432,637409;0,747368;3000,000000
255;120000,000000;78693,777799;0,736842;3000,000000
256;100982,321438;74842,278348;0,673684;3000,000000
257;99424,494801;75623,282323;0,494737;3000,000000
258;102704,359211;92584,659195;0,757895;3000,000000
259;120000,000000;94401,456621;0,726316;3000,000000
260;103598,687642;82501,773170;0,600000;3000,000000
261;120000,000000;85571,446932;0,747368;3000,000000
262;87846,025666;60764,965749;0,610526;3000,000000
263;88462,076404;61883,965647;0,589474;3000,000000
264;105911,725249;63259,670533;0,789474;3000,000000
265;120000,000000;84118,916416;0,778947;3000,000000
266;111912,767948;64716,002731;0,600000;3000,000000
267;108277,701270;83867,340794;0,715789;3000,000000
268;95971,244570;78906,334027;0,757895;3000,000000
269;103670,369366;86412,740509;0,568421;3000,000000
270;120000,000000;91980,544059;0,652632;3000,000000
271;104145,424122;86584,748121;0,621053;3000,000000
272;95541,286334;68973,686019;0,705263;3000,000000
273;120000,000000;64865,227940;0,768421;3000,000000
274;102509,950229;71377,740926;0,568421;3000,000000
275;116524,942404;81361,566804;0,673684;3000,000000
276;104846,981721;82254,732903;0,663158;3000,000000
277;103598,687642;88383,863667;0,452632;3000,000000
278;110196,582349;96770,073496;0,610526;3000,000000
279;96257,185939;74001,248152;0,589474;3000,000000
280;86737,048094;64319,326276;0,663158;3000,000000
281;95803,600578;75261,741631;0,642105;3000,000000
282;120000,000000;101670,192438;0,578947;3000,000000
283;99996,909043;63366,196463;0,610526;3000,000000
284;115700,834351;82805,034261;0,757895;3000,000000
285;101427,279878;81558,903677;0,505263;3000,000000
286;115700,834351;88189,490155;0,631579;3000,000000
287;79697,242074;54305,782931;0,715789;3000,000000
288;119210,791421;76948,674563;0,694737;3000,000000
289;110945,115935;65169,059586;0,684211;3000,000000
290;120000,000000;102963,224675;0,663158;3000,000000
291;113507,949519;82918,802591;0,684211;3000,000000
292;119726,013104;97984,693381;0,663158;3000,000000
293;106143,082913;72311,573445;0,631579;3000,000000
294;110184,412712;79302,981156;0,610526;3000,000000
295;120000,000000;105611,813413;0,705263;3000,000000
296;119566,016170;94344,894412;0,684211;3000,000000
297;96096,460602;61077,703914;0,652632;3000,000000
298;119258,302787;60688,609533;0,673684;3000,000000
299;120000,000000;97623,274304;0,694737;3000,000000
300;75593,189809;55915,562150;0,526316;3000,000000
301;94237,927776;70223,527867;0,705263;3000,000000
302;94569,937600;75605,068398;0,557895;3000,000000
303;102519,410153;71107,502042;0,578947;3000,000000
304;96366,629487;79491,231324;0,621053;3000,000000
305;120000,000000;72497,601111;0,705263;3000,000000
306;92803,866627;69156,580093;0,673684;3000,000000
307;120000,000000;74525,314450;0,715789;3000,000000
308;97740,877416;74992,724747;0,610526;3000,000000
309;97016,596448;73922,803418;0,642105;3000,000000
310;120000,000000;78358,911743;0,663158;3000,000000
311;120000,000000;107913,585717;0,642105;3000,000000
312;94797,267636;70838,947298;0,547368;3000,000000
313;114660,244132;71993,532797;0,578947;3000,000000
314;106360,566677;72026,306729;0,715789;3000,000000
315;114509,707295;83411,750048;0,610526;3000,000000
316;100635,454286;72193,940524;0,726316;3000,000000
317;113964,302980;86340,671544;0,663158;3000,000000
318;99910,469984;74117,827702;0,568421;3000,000000
319;117156,148162;107822,435415;0,589474;3000,000000
320;100488,989454;90549,578848;0,705263;3000,000000
321;105351,456626;83860,950826;0,789474;3000,000000
322;119793,836280;95039,253862;0,715789;3000,000000
323;120000,000000;94744,567117;0,684211;3000,000000
324;120000,000000;88613,065294;0,684211;3000,000000
325;120000,000000;70799,574820;0,663158;3000,000000
326;109708,584180;77332,346061;0,663158;3000,000000
327;120000,000000;102836,678204;0,705263;3000,000000
328;120000,000000;78740,340735;0,736842;3000,000000
329;90676,813984;66569,126359;0,642105;3000,000000
330;105807,182677;64721,763125;0,673684;3000,000000
331;96366,629487;81198,487470;0,505263;3000,000000
332;88659,061370;71390,864265;0,631579;3000,000000
333;120000,000000;97684,931716;0,715789;3000,000000
334;102005,104302;81790,397102;0,757895;3000,000000
335;93819,309376;72743,152115;0,589474;3000,000000
336;111269,809339;84324,525688;0,652632;3000,000000
337;98352,014274;75293,646503;0,557895;3000,000000
338;120000,000000;99923,311927;0,694737;3000,000000
339;95340,891174;75666,245493;0,610526;3000,000000
340;108081,439854;64762,587354;0,663158;3000,000000
341;109067,809371;55022,713295;0,621053;3000,000000
342;94237,927776;67979,115704;0,673684;3000,000000
343;120000,000000;84572,609236;0,810526;3000,000000
344;91670,085474;54997,489411;0,715789;3000,000000
345;101668,988787;78763,240832;0,684211;3000,000000
346;120000,000000;79337,786613;0,715789;3000,000000
347;105394,658485;85797,482878;0,600000;3000,000000
348;74344,064864;58619,097106;0,600000;3000,000000
349;107816,722024;71147,600647;0,715789;3000,000000
350;120000,000000;71185,550074;0,736842;3000,000000
351;120000,000000;96503,972430;0,663158;3000,000000
352;113783,029235;75156,045263;0,726316;3000,000000
353;120000,000000;103215,718316;0,631579;3000,000000
354;117430,817688;90038,851430;0,694737;3000,000000
355;120000,000000;85222,948731;0,673684;3000,000000
356;114799,199161;78862,425567;0,663158;3000,000000
357;120000,000000;81193,316018;0,789474;3000,000000
358;108456,592096;67804,260692;0,726316;3000,000000
359;96096,460602;81982,325964;0,610526;3000,000000
360;114066,442674;66265,726534;0,684211;3000,000000
361;117592,305981;93047,425856;0,715789;3000,000000
362;104916,815293;83351,617908;0,694737;3000,000000
363;93158,689293;73913,383501;0,505263;3000,000000
364;93819,309376;63889,491804;0,610526;3000,000000
365;110296,415043;68428,852404;0,747368;3000,000000
366;118105,798959;81000,272667;0,757895;3000,000000
367;94375,923635;57637,688483;0,715789;3000,000000
