episode;mean_e;var_e;std_e;rms_e
112;-9520,896080;1054458103,778963;32472,420664;33839,408475
113;-13716,915337;769482305,129845;27739,544069;30945,695525
114;-8164,018233;998413194,529196;31597,677043;32635,324240
115;-14106,105715;801237713,573486;28306,142683;31626,253841
116;-9537,049518;674437653,052950;25969,937487;27665,736328
117;-18243,109398;947275686,672546;30777,844087;35778,299669
118;-1243,796331;627069692,559430;25041,359639;25072,230094
119;-21428,543869;968233052,920475;31116,443449;37781,153308
120;-10439,345580;1024998987,668838;32015,605377;33674,603543
121;-17882,180104;913533327,198753;30224,713848;35118,452307
122;-18777,106635;978270966,392841;31277,323517;36480,826470
123;-16578,614845;1109203636,538543;33304,708924;37202,877667
124;-18715,990774;1126093458,052274;33557,316014;38423,713624
125;-17022,902393;1031865484,656707;32122,663100;36354,431512
126;-27042,617335;1478158527,319622;38446,827272;47004,911229
127;-1147,459957;1226554950,999852;35022,206541;35040,999063
128;-12253,948316;706717348,949924;26584,155976;29272,454599
129;472,481484;1084512392,459150;32931,935753;32935,324975
130;-9702,101331;535848423,973137;23148,400031;25099,386331
131;-11162,334636;543055937,139273;23303,560611;25838,994788
132;-9124,851014;905528703,801334;30092,003984;31445,057001
133;-8755,241064;716275134,241310;26763,316951;28159,001764
134;-6573,048281;1162622584,705118;34097,251864;34725,027695
135;-12364,115542;950538597,812881;30830,805987;33217,615070
136;-7198,062956;887725989,162451;29794,730896;30651,885741
137;-7386,030886;1375571841,194946;37088,702339;37816,997414
138;-10303,763494;1182560673,868072;34388,379925;35898,860929
139;-2467,172782;1127451161,650951;33577,539541;33668,057609
140;-10634,384090;673764902,777794;25956,981773;28050,936308
141;1755,324473;1197619543,958484;34606,640171;34651,128524
142;-16779,435204;941265919,218557;30680,057354;34968,777002
143;-1505,809570;895276623,845845;29921,173504;29959,040143
144;-13486,779237;1170132653,329323;34207,201776;36769,904372
145;-5944,420139;692324136,103557;26312,053058;26975,178718
146;-14000,157470;998803600,584737;31603,854205;34565,994992
147;-15357,357407;1299913237,121442;36054,309550;39188,795129
148;-5894,205668;683656799,299862;26146,831535;26802,956176
149;-17835,114131;971626580,753527;31170,925247;35912,642298
150;-9012,518396;651530710,947496;25525,099627;27069,469865
151;2923,425348;628237418,303271;25064,664736;25234,576162
152;-8485,798183;1292035023,539558;35944,888698;36932,963520
153;-13144,905870;918177150,028534;30301,438085;33029,769911
154;-8225,468982;664017108,734830;25768,529425;27049,499971
155;-11829,091365;797482435,561071;28239,731507;30617,149412
156;-12973,068258;953365496,835314;30876,617315;33491,282401
157;-799,370004;712119906,743189;26685,574881;26697,544815
158;-7927,267296;1194767681,982379;34565,411642;35462,786816
159;-13817,364563;992206811,694054;31499,314464;34396,604123
160;-8362,368003;755278268,852399;27482,326482;28726,424551
