episode;delta_v
456;1,190786
457;0,621086
458;0,770602
459;0,794611
460;0,526211
461;0,902419
462;0,313146
463;0,590255
464;0,936959
465;0,519282
466;0,853991
467;1,182462
468;0,908144
469;0,611442
470;0,724098
471;0,446541
472;0,677488
473;0,693315
474;0,827475
475;0,540109
476;0,790330
477;0,614904
478;0,963857
479;0,848742
480;1,448612
481;0,878854
482;1,099981
483;0,604896
484;1,197693
485;0,896477
486;0,946564
487;0,867426
488;0,638608
489;0,660644
490;0,930006
491;0,748383
492;0,874731
493;0,782488
494;0,981481
495;0,702352
496;0,653437
497;0,847330
498;0,836440
499;0,666742
500;1,288905
501;0,411550
502;0,966257
503;1,242167
504;1,023573
505;0,766245
506;0,861204
507;1,203209
508;0,768644
509;0,794699
510;0,954151
511;1,150218
512;1,351063
513;0,811342
514;0,483554
515;1,296093
516;1,096990
517;0,789159
518;0,493385
519;0,678075
520;0,855145
521;0,764562
522;1,037998
523;1,118939
524;1,760403
525;1,059762
526;0,956510
527;1,055867
528;0,492526
529;0,864483
530;0,586993
531;0,727516
532;0,807205
533;0,906424
534;0,539426
535;0,864047
536;1,018067
537;0,995878
538;0,810878
539;0,661226
540;0,629702
541;0,913015
542;0,866823
543;0,465913
544;1,599312
545;0,836443
546;0,689128
547;0,476853
548;0,839671
549;0,566015
550;0,777190
551;1,577948
552;0,528749
553;0,812157
554;1,068822
555;1,193676
556;0,575948
557;0,757075
558;0,991832
559;0,978558
560;0,648191
561;0,816157
562;0,599968
563;1,152548
564;0,753001
565;1,098784
566;0,899321
567;1,511242
568;0,743862
569;0,905788
570;1,094831
571;1,036603
572;0,543847
573;0,856533
574;0,863302
575;1,135790
576;1,163756
577;0,605220
578;1,524203
579;0,933143
580;0,346442
581;1,029942
582;1,055020
583;1,322972
584;0,812786
585;0,825408
586;1,056306
587;0,605689
588;0,654120
589;0,594777
590;0,696525
591;1,183707
592;0,598829
593;1,427561
594;0,908517
595;1,067283
596;0,707115
597;1,019203
598;0,956862
599;0,677707
600;1,092298
601;0,553141
602;0,789375
603;1,494732
604;0,992728
605;0,870172
606;0,811682
607;0,817197
608;0,529466
609;0,740207
610;0,501186
611;0,790480
612;1,250570
613;1,059014
614;0,752124
615;0,880638
616;0,850478
617;0,742618
618;0,885161
619;1,205340
620;0,924122
621;0,863143
622;0,477967
623;0,964313
624;1,008910
625;1,100035
626;1,003968
627;1,150015
628;1,021373
629;1,132792
630;0,427366
631;0,578354
632;0,767984
633;0,862466
634;1,215338
635;0,912388
636;0,697643
637;0,640666
638;1,127025
639;0,724021
640;1,573107
641;0,688566
642;1,116304
643;0,998346
644;0,605645
645;0,838469
646;1,837763
647;1,044928
648;0,661262
649;0,924798
650;0,666062
651;1,263022
652;1,032197
653;0,689600
654;0,737580
655;0,604586
656;0,630063
657;0,467794
658;1,174821
659;0,788132
660;0,805070
661;0,620673
662;0,703691
663;0,814980
664;0,569720
665;1,201874
666;0,693446
667;1,195647
668;1,056114
669;0,910180
670;0,834078
671;0,616876
672;0,791389
673;0,977448
674;0,832919
675;1,585267
676;1,267167
677;1,003084
678;1,906955
679;0,682610
680;1,118780
681;1,355672
682;1,539306
683;1,082452
684;1,507780
685;0,655731
686;1,178465
687;0,340087
688;0,723203
689;0,885776
690;0,542442
691;0,456917
692;1,233133
