episode;consensus_deviation
455;12,489821
456;12,528796
457;12,348466
458;12,280620
459;12,383142
460;12,371486
461;12,339383
462;12,385329
463;12,396074
464;12,377375
465;12,361130
466;12,285582
467;12,312440
468;12,395344
469;12,363686
470;12,456143
471;12,401821
472;12,362599
473;12,373027
474;12,439491
475;12,157956
476;12,176959
477;12,153966
478;12,092067
479;12,261529
480;12,302931
481;12,460604
482;12,363377
483;12,229102
484;12,185735
485;12,245090
486;12,251047
487;12,341223
488;12,313375
489;12,289792
490;12,257867
491;12,419352
492;12,668909
493;12,549941
494;12,519927
495;12,489916
496;12,345108
497;12,368605
498;12,386469
499;12,403099
500;12,446910
501;12,573780
502;12,573961
503;12,431864
504;12,493991
505;12,489658
506;12,353648
507;12,370238
508;12,504456
509;12,439766
510;12,344024
511;12,207082
512;12,296135
513;12,549294
514;12,666597
515;12,689996
516;12,430097
517;12,634960
518;12,540229
519;12,589556
520;12,601039
521;12,531971
522;12,554979
523;12,707812
524;12,893580
525;12,986975
526;12,933031
527;12,936867
528;12,926530
529;12,789546
530;12,760466
531;12,628209
532;12,790956
533;12,750869
534;12,793351
535;12,684195
536;12,658716
537;12,797939
538;12,757533
539;12,610841
540;12,648960
541;12,632375
542;12,578038
543;12,600013
544;12,484590
545;12,496263
546;12,444729
547;12,441874
548;12,441691
549;12,465884
550;12,409005
551;12,554905
552;12,595943
553;12,548358
554;12,575338
555;12,437323
556;12,609953
557;12,659564
558;12,812337
559;12,708814
560;12,666439
561;12,568616
562;12,473684
563;12,396380
564;12,346069
565;12,325086
566;12,418016
567;12,459033
568;12,564730
569;12,580384
570;12,483002
571;12,546763
572;12,603754
573;12,540906
574;12,598830
575;12,499170
576;12,373228
577;12,445318
578;12,351176
579;12,531024
580;12,425511
581;12,420030
582;12,346710
583;12,365494
584;12,554286
585;12,486521
586;12,642015
587;12,653698
588;12,631939
589;12,628432
590;12,613358
591;12,543832
592;12,634794
593;12,558205
594;12,545683
595;12,528280
596;12,805689
597;12,720838
598;12,874573
599;12,822736
600;12,772319
601;12,847369
602;12,948370
603;13,054028
604;12,866811
605;12,769106
606;12,634779
607;12,614969
608;12,753822
609;12,761802
610;12,817554
611;12,912093
612;13,103605
613;13,123386
614;12,959927
615;12,926466
616;12,923805
617;13,014496
618;12,917850
619;12,744807
620;12,928584
621;12,804273
622;12,966029
623;12,990623
624;12,949800
625;12,883971
626;12,971287
627;12,883400
628;12,956431
629;12,851703
630;12,962145
631;12,904603
632;12,853549
633;12,789484
634;12,762554
635;12,903939
636;12,920465
637;12,879343
638;12,823497
639;12,697876
640;12,810024
641;12,825004
642;12,717680
643;12,869465
644;12,736999
645;12,610336
646;12,603478
647;12,783721
648;12,830900
649;13,041887
650;13,171103
651;13,165048
652;13,052187
653;13,037539
654;13,026835
655;13,143399
656;13,227582
657;13,203637
658;13,326185
659;13,305330
660;13,172997
661;13,158093
662;13,234841
663;13,412108
664;13,281270
665;13,344842
666;13,281800
667;13,326853
668;13,163037
669;13,226881
670;13,170499
671;13,061499
672;13,087032
673;13,056533
674;12,991561
675;12,875393
676;12,885498
677;12,839328
678;12,716828
679;12,946592
680;12,861329
681;13,069474
682;12,924082
683;12,942999
684;12,896088
685;12,681563
686;12,662001
687;12,603320
688;12,538314
689;12,499263
690;12,585987
691;12,569812
692;12,513032
693;12,591187
694;12,659036
695;12,617735
696;12,524157
697;12,486832
698;12,484320
699;12,625744
700;12,772359
701;12,781748
702;12,731194
703;12,985272
704;12,943990
705;12,812627
706;12,808481
707;12,823125
708;12,716837
709;12,693077
710;12,598157
711;12,597723
712;12,548437
713;12,562675
714;12,586234
715;12,528606
716;12,431366
717;12,369441
718;12,280492
719;12,336211
720;12,405631
721;12,376028
722;12,320493
723;12,416852
724;12,504721
725;12,534172
726;12,641457
727;12,588770
728;12,758541
729;12,786280
730;12,999082
731;13,158180
732;13,069406
733;13,041636
734;12,963121
735;12,791892
736;12,786458
737;12,726424
738;12,749804
739;12,751418
740;12,599964
741;12,617993
742;12,666447
743;12,722793
744;12,822369
745;12,856619
746;12,808160
747;13,018586
748;12,934521
749;12,930698
750;12,934958
751;13,170132
752;13,100729
753;13,073745
754;13,003819
755;12,800138
756;13,058816
757;13,330200
758;13,477109
759;13,711064
760;13,640007
761;13,507225
762;13,136570
763;13,051830
764;13,144681
765;13,378257
766;13,200547
767;13,372853
768;13,323485
769;13,263805
770;13,244198
771;13,215877
772;12,941448
773;13,020219
774;12,952085
775;12,854760
776;12,776584
777;12,829253
778;12,763074
779;12,759961
780;12,900312
781;12,880986
782;12,883365
783;12,725127
784;12,679025
785;12,746107
786;12,819032
787;12,567239
788;12,504216
789;12,453994
790;12,387860
791;12,606466
792;12,708200
793;12,667789
794;12,602600
795;12,587471
