episode,step,epsilon,action_solar#0,power_solar#0,potential_solar#0,idx_solar#0,action_wind#0,power_wind#0,potential_wind#0,idx_wind#0,action_battery#0,power_battery#0,potential_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,action_grid#0,power_grid#0,potential_grid#0,idx_grid#0,action_load#0,power_load#0,potential_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
1094,-1,0.0,,0.0,,0,,0.0,,1,,0.0,,2,0.627568844962268,2,,0.0,,2,,0.0,,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0
1094,0,0.006434858865031216,1.0,0.0,0.0,0,1.0,79764.495071,79764.495071,2,2.0,29375.019452599998,29375.019452599998,2,0.6206145316448911,2,1.0,0.0,0.0,0,0.0,-52569.7572618,56569.7572618,0,36.4128310659,79764.495071,2,79764.495071,2,109139.5145236,3,109139.5145236,3,0.0,0,surplus,0.0,0.0,-0.09888888888888889,-0.0,0.0
1094,1,0.006434858865031216,1.0,0.0,0.0,0,1.0,54009.4263358,54009.4263358,1,2.0,73460.51344279999,73460.51344279999,2,0.6032233116063495,2,1.0,0.0,0.0,0,1.0,-63734.969889299995,63734.969889299995,0,42.1689986505,54009.4263358,1,54009.4263358,1,127469.93977859999,4,127469.93977859999,4,0.0,0,surplus,-0.2777777777777778,-0.12345679012345678,0.05555555555555555,0.3055555555555556,-0.0
1094,2,0.006434858865031216,0.0,0.0,0.0,0,1.0,56323.1755479,56323.1755479,1,2.0,68164.0121667,68164.0121667,2,0.5870859981199148,2,1.0,0.0,0.0,0,1.0,-62243.5938573,62243.5938573,0,35.5890453432,56323.1755479,1,56323.1755479,1,124487.1877146,4,124487.1877146,4,0.0,0,surplus,0.2777777777777778,-0.12345679012345678,0.05555555555555555,0.3055555555555556,-0.0
1094,3,0.006434858865031216,0.0,0.0,0.0,0,1.0,49778.1490245,49778.1490245,1,2.0,66722.02230449999,66722.02230449999,2,0.5712900648091904,2,1.0,0.0,0.0,0,1.0,-58250.085664499995,58250.085664499995,0,44.3776215874,49778.1490245,1,49778.1490245,1,116500.17132899999,4,116500.17132899999,4,0.0,0,surplus,-0.0,0.0,0.05555555555555555,-0.2,-0.0
1094,4,0.006434858865031216,1.0,0.0,0.0,0,1.0,72154.79792150001,72154.79792150001,2,1.0,0.0,0.0,2,0.5712900648091904,2,0.0,0.0,20565.855976099992,0,0.0,-44360.3269488,48360.3269488,0,34.7674327055,72154.79792150001,2,72154.79792150001,2,72154.79792150001,2,92720.6538976,3,-20565.855976099992,0,deficit,1.0,0.24691358024691357,0.034999999999999996,0.375,0.0
1094,5,0.006434858865031216,1.0,0.0,0.0,0,1.0,84336.58684799999,84336.58684799999,2,1.0,-1647.8077644000005,1647.8077644000005,2,0.5716801708140199,2,0.0,0.0,0.0,0,0.0,-39344.389541799996,43344.389541799996,0,24.8788061738,84336.58684799999,2,84336.58684799999,2,84336.58684799999,2,84336.58684799999,2,0.0,0,surplus,1.0,0.24691358024691357,0.034999999999999996,0.375,0.0
1094,6,0.006434858865031216,1.0,12635.8904977,12635.8904977,0,1.0,62979.8261137,62979.8261137,2,1.0,0.0,0.0,2,0.5716801708140199,2,0.0,0.0,8051.6980174000055,0,0.0,-39833.7073144,43833.7073144,0,30.6407583197,75615.7166114,2,75615.7166114,2,75615.7166114,2,83667.4146288,2,-8051.6980174000055,0,deficit,1.0,0.24691358024691357,0.034999999999999996,0.375,-0.0
1094,7,0.006434858865031216,1.0,18614.680057499998,18614.680057499998,0,1.0,34664.7517571,34664.7517571,1,1.0,0.0,0.0,2,0.5716801708140199,2,0.0,0.0,18055.4331846,0,0.0,-33667.4324996,37667.4324996,0,12.9897942603,53279.4318146,1,53279.4318146,1,53279.4318146,1,71334.8649992,2,-18055.4331846,0,deficit,0.0,0.0,-0.0,0.375,-0.0
1094,8,0.006434858865031216,1.0,28806.1992454,28806.1992454,0,1.0,34274.2734183,34274.2734183,1,1.0,0.0,0.0,2,0.5716801708140199,2,0.0,0.0,4913.320588300005,0,0.0,-31996.896626,35996.896626,0,12.2526741118,63080.4726637,2,63080.4726637,2,63080.4726637,2,67993.793252,2,-4913.320588300005,0,deficit,1.0,0.12345679012345678,0.034999999999999996,0.375,0.0
1094,9,0.006434858865031216,1.0,41994.7922604,41994.7922604,1,1.0,13718.030711500001,13718.030711500001,0,1.0,0.0,0.0,2,0.5716801708140199,2,0.0,0.0,36158.559292299986,0,0.0,-43935.69113209999,47935.69113209999,0,30.2890758038,55712.8229719,1,55712.8229719,1,55712.8229719,1,91871.38226419999,3,-36158.559292299986,0,deficit,0.0,0.0,-0.0,0.375,0.0
