episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
1539;-1;0,000000;;;0,000000;1;;;0,000000;0;0,469588;0;;;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;surplus;0,000000;0,000000;0,000000;;;;;;
1539;0;0,384154;85122,042826;1,000000;85122,042826;1;4292,695262;1,000000;-4292,695262;0;0,469767;0;0,000000;0,000000;0,000000;0;66,573792;0;85122,042826;0;85122,042826;1;85122,042826;1;85122,042826;1;0,000000;0;0,000000;0;;1,000000;0,530233;0,200000;4292,695262;0,014309;1,000000;-80829,347564;-0,269431;-1,000000
1539;1;0,384154;102456,003501;1,000000;102456,003501;1;27943,116757;1,000000;-27943,116757;0;0,470931;0;0,000000;0,000000;0,000000;0;57,401427;0;102456,003501;0;102456,003501;1;102456,003501;1;102456,003501;1;0,000000;0;0,000000;0;;1,000000;0,529069;0,200000;27943,116757;0,093144;1,000000;10609,156082;0,035364;1,000000
1539;2;0,384154;98340,407876;1,000000;98340,407876;1;53727,354587;1,000000;-53727,354587;0;0,473170;0;0,000000;0,000000;0,000000;0;35,631558;0;98340,407876;0;98340,407876;1;98340,407876;1;98340,407876;1;0,000000;0;0,000000;0;;1,000000;0,526830;0,200000;53727,354587;0,179091;1,000000;57842,950212;0,192810;1,000000
1539;3;0,384154;64426,993164;1,000000;64426,993164;1;13508,718970;1,000000;-13508,718970;0;0,473733;0;0,000000;0,000000;0,000000;0;40,596645;0;64426,993164;0;64426,993164;1;64426,993164;1;64426,993164;1;0,000000;0;0,000000;0;;1,000000;0,526267;0,200000;13508,718970;0,045029;1,000000;47422,133682;0,158074;1,000000
1539;4;0,384154;61722,209362;1,000000;61722,209362;1;33669,334435;1,000000;-33669,334435;0;0,475135;0;0,000000;0,000000;0,000000;0;18,526355;0;61722,209362;0;61722,209362;1;61722,209362;1;61722,209362;1;0,000000;0;0,000000;0;;1,000000;0,524865;0,200000;33669,334435;0,112231;1,000000;36374,118236;0,121247;1,000000
1539;5;0,384154;83436,576925;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,475135;0;21000,000000;0,000000;0,000000;0;31,551676;0;83436,576925;0;0,000000;0;0,000000;0;21000,000000;1;0,000000;0;-21000,000000;0;;-1,000000;0,524865;0,200000;62436,576925;0,208122;1,000000;40722,209362;0,135741;1,000000
1539;6;0,384154;125021,785245;1,000000;125021,785245;1;95163,098821;1,000000;-95163,098821;0;0,479101;0;0,000000;0,000000;0,000000;0;19,542403;0;125021,785245;0;125021,785245;1;125021,785245;1;125021,785245;1;0,000000;0;0,000000;0;;1,000000;0,520899;0,200000;95163,098821;0,317210;1,000000;-29858,686424;-0,099529;-1,000000
1539;7;0,384154;104314,424192;1,000000;104314,424192;1;79229,937533;1,000000;-79229,937533;0;0,482402;0;0,000000;0,000000;0,000000;0;18,330369;0;104314,424192;0;104314,424192;1;104314,424192;1;104314,424192;1;0,000000;0;0,000000;0;;1,000000;0,517598;0,200000;79229,937533;0,264100;1,000000;99937,298586;0,333124;1,000000
1539;8;0,384154;105625,014979;1,000000;105625,014979;1;75031,835183;1,000000;-75031,835183;0;0,485528;0;0,000000;0,000000;0,000000;0;24,480184;0;105625,014979;0;105625,014979;1;105625,014979;1;105625,014979;1;0,000000;0;0,000000;0;;1,000000;0,514472;0,200000;75031,835183;0,250106;1,000000;73721,244395;0,245737;1,000000
1539;9;0,384154;109799,126751;1,000000;109799,126751;1;72818,964884;1,000000;-72818,964884;0;0,488562;0;0,000000;0,000000;0,000000;0;29,537850;0;109799,126751;0;109799,126751;1;109799,126751;1;109799,126751;1;0,000000;0;0,000000;0;;1,000000;0,511438;0,200000;72818,964884;0,242730;1,000000;68644,853113;0,228816;1,000000
1539;10;0,384154;99265,952546;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,488562;0;79106,284855;1,000000;79106,284855;1;58,620787;0;99265,952546;0;0,000000;0;79106,284855;1;79106,284855;1;79106,284855;1;0,000000;0;;-1,000000;0,511438;-1,000000;20159,667691;0,067199;1,000000;30692,841896;0,102309;1,000000
1539;11;0,384154;55515,638761;0,000000;0,000000;1;82558,678186;2,000000;82558,678186;0;0,485122;0;0,000000;0,000000;0,000000;0;51,172903;0;55515,638761;0;0,000000;0;82558,678186;1;82558,678186;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-27043,039425;-0,090143;-1,000000;-82558,678186;-0,275196;-1,000000
1539;12;0,384154;62813,767062;0,000000;0,000000;1;73116,922860;2,000000;73116,922860;0;0,482076;0;0,000000;0,000000;0,000000;0;52,392970;0;62813,767062;0;0,000000;0;73116,922860;1;73116,922860;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-10303,155798;-0,034344;-1,000000;-73116,922860;-0,243723;-1,000000
1539;13;0,384154;46532,397504;0,000000;0,000000;1;74999,478455;2,000000;74999,478455;0;0,478951;0;0,000000;0,000000;0,000000;0;46,883497;0;46532,397504;0;0,000000;0;74999,478455;1;74999,478455;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-28467,080951;-0,094890;-1,000000;-74999,478455;-0,249998;-1,000000
1539;14;0,384154;34834,111468;0,000000;0,000000;1;51095,332332;2,000000;51095,332332;0;0,476822;0;0,000000;0,000000;0,000000;0;29,260243;0;34834,111468;0;0,000000;0;51095,332332;1;51095,332332;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-16261,220864;-0,054204;-1,000000;-51095,332332;-0,170318;-1,000000
1539;15;0,384154;63631,424500;1,000000;63631,424500;1;10914,324785;1,000000;-10914,324785;0;0,477277;0;0,000000;0,000000;0,000000;0;25,277390;0;63631,424500;0;63631,424500;1;63631,424500;1;63631,424500;1;0,000000;0;0,000000;0;;1,000000;0,522723;0,200000;10914,324785;0,036381;1,000000;-52717,099715;-0,175724;-1,000000
1539;16;0,384154;70566,367380;1,000000;70566,367380;1;18942,053908;1,000000;-18942,053908;0;0,478066;0;0,000000;0,000000;0,000000;0;21,201786;0;70566,367380;0;70566,367380;1;70566,367380;1;70566,367380;1;0,000000;0;0,000000;0;;1,000000;0,521934;0,200000;18942,053908;0,063140;1,000000;12007,111028;0,040024;1,000000
1539;17;0,384154;45295,994090;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,478066;0;39990,825986;0,000000;0,000000;0;19,682687;0;45295,994090;0;0,000000;0;0,000000;0;39990,825986;1;0,000000;0;-39990,825986;0;;-1,000000;0,521934;0,200000;5305,168104;0,017684;1,000000;30575,541394;0,101918;1,000000
1539;18;0,384154;75791,570444;0,000000;0,000000;1;52017,434162;2,000000;52017,434162;0;0,475898;0;0,000000;1,000000;0,000000;0;32,384833;0;75791,570444;0;0,000000;0;52017,434162;1;52017,434162;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;23774,136282;0,079247;1,000000;-52017,434162;-0,173391;-1,000000
1539;19;0,384154;89290,992462;1,000000;89290,992462;1;52833,734442;1,000000;-52833,734442;0;0,478100;0;0,000000;0,000000;0,000000;0;21,621185;0;89290,992462;0;89290,992462;1;89290,992462;1;89290,992462;1;0,000000;0;0,000000;0;;1,000000;0,521900;0,200000;52833,734442;0,176112;1,000000;-36457,258020;-0,121524;-1,000000
1539;20;0,384154;62837,198764;1,000000;62837,198764;1;0,000000;2,000000;0,000000;0;0,478100;0;0,000000;0,000000;0,000000;0;22,664826;0;62837,198764;0;62837,198764;1;62837,198764;1;52036,704419;1;0,000000;0;10800,494345;1;;1,000000;-1,000000;0,200000;10800,494345;0,036002;1,000000;37254,288043;0,124181;1,000000
1539;21;0,384154;50015,043266;0,000000;0,000000;1;51478,344510;2,000000;51478,344510;0;0,475955;0;0,000000;0,000000;0,000000;0;21,919647;0;50015,043266;0;0,000000;0;51478,344510;1;51478,344510;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-1463,301244;-0,004878;0,000000;11358,854254;0,037863;1,000000
1539;22;0,384154;64806,127884;0,000000;0,000000;1;97741,225735;2,000000;97741,225735;0;0,471882;0;0,000000;0,000000;0,000000;0;62,771148;0;64806,127884;0;0,000000;0;97741,225735;1;97741,225735;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-32935,097851;-0,109784;-1,000000;-97741,225735;-0,325804;-1,000000
1539;23;0,384154;69710,326008;1,000000;69710,326008;1;0,000000;1,000000;0,000000;0;0,471882;0;20766,549981;0,000000;0,000000;0;61,399210;0;69710,326008;0;69710,326008;1;69710,326008;1;90476,875989;1;0,000000;0;-20766,549981;0;;-1,000000;-1,000000;-0,500000;-20766,549981;-0,069222;-1,000000;-90476,875989;-0,301590;-1,000000
1539;24;0,384154;68372,566894;0,000000;0,000000;1;88372,370694;2,000000;88372,370694;0;0,468200;0;0,000000;1,000000;0,000000;0;64,339238;0;68372,566894;0;0,000000;0;88372,370694;1;88372,370694;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-19999,803800;-0,066666;-1,000000;-18662,044686;-0,062207;-1,000000
1539;25;0,384154;89590,302886;1,000000;89590,302886;1;3434,039244;2,000000;3434,039244;0;0,468057;0;0,000000;0,000000;0,000000;0;77,886185;0;89590,302886;0;89590,302886;1;93024,342130;1;93024,342130;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;0,200000;-3434,039244;-0,011447;-1,000000;-93024,342130;-0,310081;-1,000000
1539;26;0,384154;48426,277563;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,468057;0;58608,337271;1,000000;58608,337271;1;47,911821;0;48426,277563;0;0,000000;0;58608,337271;1;58608,337271;1;58608,337271;1;0,000000;0;;1,000000;-1,000000;1,000000;-10182,059708;-0,033940;-1,000000;30981,965615;0,103273;1,000000
1539;27;0,384154;51655,690032;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,468057;0;55809,081586;1,000000;55809,081586;1;50,977666;0;51655,690032;0;0,000000;0;55809,081586;1;55809,081586;1;55809,081586;1;0,000000;0;;1,000000;-1,000000;1,000000;-4153,391554;-0,013845;-1,000000;-55809,081586;-0,186030;-1,000000
1539;28;0,384154;90304,873219;1,000000;90304,873219;1;65000,620946;1,000000;-65000,620946;0;0,470766;0;0,000000;0,000000;0,000000;0;11,500508;0;90304,873219;0;90304,873219;1;90304,873219;1;90304,873219;1;0,000000;0;0,000000;0;;1,000000;0,529234;0,200000;65000,620946;0,216669;1,000000;-25304,252272;-0,084348;-1,000000
1539;29;0,384154;89370,223203;1,000000;89370,223203;1;54203,301672;1,000000;-54203,301672;0;0,473024;0;0,000000;1,000000;0,000000;0;22,129452;0;89370,223203;0;89370,223203;1;89370,223203;1;89370,223203;1;0,000000;0;0,000000;0;;1,000000;0,526976;-1,000000;54203,301672;0,180678;1,000000;55137,951688;0,183793;1,000000
1539;30;0,384154;97590,385238;1,000000;97590,385238;1;60010,660261;1,000000;-60010,660261;0;0,475524;0;0,000000;0,000000;0,000000;0;29,647731;0;97590,385238;0;97590,385238;1;97590,385238;1;97590,385238;1;0,000000;0;0,000000;0;;1,000000;0,524476;0,200000;60010,660261;0,200036;1,000000;51790,498226;0,172635;1,000000
1539;31;0,384154;132003,753804;1,000000;132003,753804;1;103023,450042;1,000000;-103023,450042;0;0,479817;0;0,000000;0,000000;0,000000;0;24,163006;0;132003,753804;0;132003,753804;1;132003,753804;1;132003,753804;1;0,000000;0;0,000000;0;;1,000000;0,520183;0,200000;103023,450042;0,343412;1,000000;68610,081476;0,228700;1,000000
1539;32;0,384154;92219,655328;1,000000;92219,655328;1;0,000000;0,000000;0,000000;0;0,479817;0;0,000000;0,000000;0,000000;0;19,698545;0;92219,655328;0;92219,655328;1;92219,655328;1;30492,016066;1;0,000000;0;61727,639262;1;;1,000000;-1,000000;0,200000;61727,639262;0,205759;1,000000;101511,737737;0,338372;1,000000
1539;33;0,384154;103311,097761;1,000000;103311,097761;1;80100,916838;1,000000;-80100,916838;0;0,483155;0;0,000000;0,000000;0,000000;0;26,811855;0;103311,097761;0;103311,097761;1;103311,097761;1;103311,097761;1;0,000000;0;0,000000;0;;1,000000;0,516845;0,200000;80100,916838;0,267003;1,000000;69009,474404;0,230032;1,000000
1539;34;0,384154;67953,308912;0,000000;0,000000;1;73636,791116;2,000000;73636,791116;0;0,480086;0;0,000000;0,000000;0,000000;0;52,838550;0;67953,308912;0;0,000000;0;73636,791116;1;73636,791116;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-5683,482204;-0,018945;-1,000000;29674,306645;0,098914;1,000000
1539;35;0,384154;64275,219540;1,000000;64275,219540;1;0,000000;0,000000;0,000000;0;0,480086;0;13523,291700;0,000000;0,000000;0;45,404023;0;64275,219540;0;64275,219540;1;64275,219540;1;77798,511240;1;0,000000;0;-13523,291700;0;;-1,000000;-1,000000;-0,500000;-13523,291700;-0,045078;-1,000000;-77798,511240;-0,259328;-1,000000
1539;36;0,384154;46826,742608;0,000000;0,000000;1;77098,385770;2,000000;77098,385770;0;0,476874;0;0,000000;0,000000;0,000000;0;50,606933;0;46826,742608;0;0,000000;0;77098,385770;1;77098,385770;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-30271,643162;-0,100905;-1,000000;-12823,166230;-0,042744;-1,000000
1539;37;0,384154;54885,673078;0,000000;0,000000;1;73217,026018;2,000000;73217,026018;0;0,473823;0;0,000000;0,000000;0,000000;0;49,031090;0;54885,673078;0;0,000000;0;73217,026018;1;73217,026018;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-18331,352940;-0,061105;-1,000000;-73217,026018;-0,244057;-1,000000
1539;38;0,384154;52455,511489;1,000000;52455,511489;1;0,000000;1,000000;0,000000;0;0,473823;0;1999,041227;1,000000;1999,041227;1;30,191601;0;52455,511489;0;52455,511489;1;54454,552716;1;54454,552716;1;1999,041227;1;0,000000;0;;1,000000;-1,000000;-0,250000;-1999,041227;-0,006663;0,000000;-54454,552716;-0,181515;-1,000000
1539;39;0,384154;67848,102622;1,000000;67848,102622;1;14171,902432;1,000000;-14171,902432;0;0,474414;0;0,000000;0,000000;0,000000;0;39,692378;0;67848,102622;0;67848,102622;1;67848,102622;1;67848,102622;1;0,000000;0;0,000000;0;;1,000000;0,525586;0,200000;14171,902432;0,047240;1,000000;-1220,688701;-0,004069;0,000000
1539;40;0,384154;36263,445485;0,000000;0,000000;1;54435,557293;2,000000;54435,557293;0;0,472146;0;0,000000;0,000000;0,000000;0;25,622689;0;36263,445485;0;0,000000;0;54435,557293;1;54435,557293;1;0,000000;0;0,000000;0;;1,000000;-1,000000;0,200000;-18172,111808;-0,060574;-1,000000;13412,545329;0,044708;1,000000
