episode,step,epsilon,action_solar#0,power_solar#0,potential_solar#0,idx_solar#0,action_wind#0,power_wind#0,potential_wind#0,idx_wind#0,action_battery#0,power_battery#0,potential_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,action_grid#0,power_grid#0,potential_grid#0,idx_grid#0,action_load#0,power_load#0,potential_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
1014,-1,0.0,,0.0,,0,,0.0,,1,,0.0,,0,0.12187386652572585,0,,0.0,,0,,0.0,,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0
1014,0,0.009303487186951186,0.0,0.0,0.0,0,1.0,79764.495071,79764.495071,2,0.0,0.0,0.0,0,0.12187386652572585,0,1.0,49725.66436880002,49725.66436880002,1,0.0,-62745.07971990001,66745.07971990001,0,46.9637509798,79764.495071,2,79764.495071,2,129490.15943980002,4,129490.15943980002,4,0.0,0,surplus,-0.0,0.0,0.22,-0.0,0.0
1014,1,0.009303487186951186,1.0,0.0,0.0,0,1.0,54009.4263358,54009.4263358,1,0.0,0.0,0.0,0,0.12187386652572585,0,1.0,84846.9883652,84846.9883652,2,0.0,-67428.2073505,71428.2073505,0,34.956410076,54009.4263358,1,54009.4263358,1,138856.414701,4,138856.414701,4,0.0,0,surplus,-0.2777777777777778,-0.2777777777777778,0.22,0.5555555555555556,0.0
1014,2,0.009303487186951186,0.0,0.0,0.0,0,1.0,56323.1755479,56323.1755479,1,0.0,0.0,0.0,0,0.12187386652572585,0,1.0,73908.75999349999,73908.75999349999,2,0.0,-63115.967770699994,67115.9677707,0,49.8297713615,56323.1755479,1,56323.1755479,1,130231.93554139999,4,130231.93554139999,4,0.0,0,surplus,0.2777777777777778,-0.2777777777777778,0.22,0.5555555555555556,0.0
1014,3,0.009303487186951186,0.0,0.0,0.0,0,1.0,49778.1490245,49778.1490245,1,0.0,0.0,0.0,0,0.12187386652572585,0,1.0,89211.96679349999,89211.96679349999,3,0.0,-67495.057909,71495.057909,0,39.9319866304,49778.1490245,1,49778.1490245,1,138990.115818,4,138990.115818,4,0.0,0,surplus,-0.0,0.0,0.22,-0.0,0.0
1014,4,0.009303487186951186,1.0,0.0,0.0,0,1.0,72154.79792150001,72154.79792150001,2,0.0,0.0,0.0,0,0.12187386652572585,0,1.0,28918.36904369999,28918.36904369999,1,0.0,-48536.5834826,52536.5834826,0,36.5662271275,72154.79792150001,2,72154.79792150001,2,101073.1669652,3,101073.1669652,3,0.0,0,surplus,1.0,1.0,0.22,-0.044444444444444446,0.0
1014,5,0.009303487186951186,1.0,0.0,0.0,0,1.0,84336.58684799999,84336.58684799999,2,0.0,0.0,0.0,0,0.12187386652572585,0,0.0,0.0,20608.039537400007,0,1.0,-52472.3131927,52472.3131927,0,29.3852332388,84336.58684799999,2,84336.58684799999,2,84336.58684799999,2,104944.6263854,3,-20608.039537400007,0,deficit,1.0,1.0,0.22,0.25,-0.0
1014,6,0.009303487186951186,1.0,12635.8904977,12635.8904977,0,1.0,62979.8261137,62979.8261137,2,0.0,0.0,0.0,0,0.12187386652572585,0,0.0,0.0,36675.747235,0,1.0,-56145.7319232,56145.7319232,0,37.9042754402,75615.7166114,2,75615.7166114,2,75615.7166114,2,112291.4638464,3,-36675.747235,0,deficit,1.0,1.0,0.22,0.25,-0.0
1014,7,0.009303487186951186,1.0,18614.680057499998,18614.680057499998,0,1.0,34664.7517571,34664.7517571,1,0.0,0.0,0.0,0,0.12187386652572585,0,0.0,0.0,14563.425362000009,0,0.0,-31921.428588300005,35921.428588300005,0,30.6956871301,53279.4318146,1,53279.4318146,1,53279.4318146,1,67842.85717660001,2,-14563.425362000009,0,deficit,0.0,0.0,0.22,0.25,0.0
1014,8,0.009303487186951186,1.0,28806.1992454,28806.1992454,0,1.0,34274.2734183,34274.2734183,1,0.0,0.0,0.0,0,0.12187386652572585,0,1.0,10578.2544739,10578.2544739,0,0.0,-34829.3635688,38829.3635688,0,36.7503498695,63080.4726637,2,63080.4726637,2,73658.7271376,2,73658.7271376,2,0.0,0,surplus,1.0,1.0,0.22,-0.044444444444444446,0.0
