time,epsilon,solar_potential,solar_discrete,solar,solar_state,wind_potential,wind_discrete,wind,wind_state,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,load_state,load_comfort_idx,renewable_potential,renewable_potential_discrete,renewable_power,renewable_power_discrete,total,demand,dif,dif_idx,total_discrete,demand_discrete,price,reward_solar,reward_wind,reward_bat,reward_grid,reward_demand
2019-11-05 00:00:00,0.582791395697849,0.0,0,0.0,0,5.1550318254,2,5.1550318254,1,8.217098268757614,0.5847401565809749,2,2,0.0,0,0,0,expensive,5.1550318254,2,5.1550318254,2,-1.6278699058423864,-1.6278699058423864,0.0,1,0,0,14.0,1.0,11.998910451151142,27.997457719352663,10.0,-6.0
2019-11-05 01:00:00,0.582791395697849,0.0,0,0.0,0,3.4028805283,1,0.0,0,0.0,0.5847401565809749,2,0,0.0,0,0,1,expensive,3.4028805283,1,0.0,0,0.0,12.800911651760126,-12.800911651760126,0,0,5,9.99,1.0,-40.0,-38.4,10.0,12.0
2019-11-05 02:00:00,0.582791395697849,0.0,0,0.0,0,3.3939623178,1,0.0,0,12.227352150172482,0.4998279888714438,2,2,0.0,0,0,1,expensive,3.3939623178,1,0.0,0,12.227352150172482,12.227352150172482,0.0,1,5,5,9.1,1.0,-16.969811589,-7.0,12.0,6.0
2019-11-05 02:00:00,0.582791395697849,0.0,0,0.0,0,3.3939623178,1,3.3939623178,1,-9.008969271634005,0.5623902754800132,1,1,0.0,0,0,0,expensive,3.3939623178,1,3.3939623178,1,-20.615006953834005,-2.5970684105659956,-18.01793854326801,0,0,0,9.1,1.0,11.991951596868805,-32.0,10.0,-12.0
2019-11-05 03:00:00,0.582791395697849,0.0,0,0.0,1,5.7690780195,2,0.0,0,0.0,0.5623902754800132,2,0,0.0,0,0,0,expensive,5.7690780195,2,0.0,0,-15.0,-2.954079937064426,-12.045920062935574,0,0,0,8.45,-24.141568686511505,-32.0,-19.2,10.0,-12.0
2019-11-05 04:00:00,0.582791395697849,0.0,0,0.0,0,5.7386709934,2,0.0,0,12.02133894143896,0.47890875505335373,2,2,0.0,0,0,1,expensive,5.7386709934,2,0.0,0,12.02133894143896,12.02133894143896,0.0,1,4,4,13.62,1.0,-38.324042628499996,-7.0,12.0,18.0
2019-11-05 05:00:00,0.582791395697849,0.0,0,0.0,0,7.6648085257,3,7.6648085257,1,0.0,0.47890875505335373,1,0,0.0,0,0,0,expensive,7.6648085257,3,7.6648085257,3,-7.3351914743,-2.8791660429795094,-4.456025431320491,0,0,0,19.99,-40.0,11.998910451151142,-8.8,5.0,-12.0
2019-11-05 06:00:00,0.582791395697849,0.024763502,0,0.0,0,10.9809439196,4,10.9809439196,1,0.0,0.47890875505335373,1,0,1.3459032461540126,1,0,1,expensive,11.0057074216,4,10.9809439196,4,12.326847165754012,12.326847165754012,0.0,1,5,5,30.0,-6.74388128,34.5800076369,-8.0,-9.0,30.0
2019-11-05 07:00:00,0.582791395697849,1.348776256,0,0.0,0,11.5266692123,4,0.0,0,0.0,0.47890875505335373,1,0,12.840709657992736,1,5,1,expensive,12.8754454683,5,0.0,0,12.840709657992736,12.840709657992736,0.0,1,5,5,35.0,-21.3409552735,-68.242939737,-8.0,-9.0,30.0
2019-11-05 08:00:00,0.582791395697849,4.2681910547,1,4.2681910547,1,13.6485879474,5,13.6485879474,1,4.544648907942387,0.4473486931926427,1,2,0.0,0,0,0,expensive,17.9167790021,5,17.9167790021,5,7.461427910042389,-1.6278699058423864,9.089297815884775,1,3,0,35.01,11.568330960909803,11.568330960909803,13.496386121061438,5.0,-15.0
