episode,step,epsilon,action_solar#0,power_solar#0,potential_solar#0,idx_solar#0,action_wind#0,power_wind#0,potential_wind#0,idx_wind#0,action_battery#0,power_battery#0,potential_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,action_grid#0,power_grid#0,potential_grid#0,idx_grid#0,action_load#0,power_load#0,potential_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
882,-1,0.0,,0.0,,0,,0.0,,0,,0.0,,2,0.6986570940134729,2,,0.0,,0,,0.0,,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0
882,0,0.41160773849232823,0.0,0.0,0.0,0,1.0,79764.495071,79764.495071,2,1.0,0.0,0.0,2,0.6986570940134729,2,1.0,6774.66102,6774.66102,0,0.0,-42269.5780455,44269.5780455,0,54.3804868865,79764.495071,2,79764.495071,2,86539.156091,2,86539.156091,2,0.0,0,surplus,1.0,2.0,6.31,-0.3,1.0
882,1,0.41160773849232823,0.0,0.0,0.0,0,1.0,54009.4263358,54009.4263358,1,2.0,15000.0,28897.1065254,1,0.3435434576498365,1,0.0,0.0,13897.106525399999,0,0.0,-40453.2664306,42453.2664306,0,46.3209261852,54009.4263358,1,54009.4263358,1,69009.4263358,2,82906.5328612,2,-13897.106525399999,0,deficit,1.0,1.0,-4.414,0.15,-1.0
882,2,0.41160773849232823,0.0,0.0,0.0,0,1.0,56323.1755479,56323.1755479,1,0.0,0.0,0.0,1,0.3435434576498365,1,0.0,0.0,21320.134521700005,0,0.0,-37821.6550348,39821.6550348,0,48.0168753188,56323.1755479,1,56323.1755479,1,56323.1755479,1,77643.3100696,2,-21320.134521700005,0,deficit,1.0,1.0,-0.0,0.15,1.0
882,3,0.41160773849232823,0.0,0.0,0.0,0,1.0,49778.1490245,49778.1490245,1,1.0,0.0,0.0,1,0.3435434576498365,1,0.0,0.0,21749.12179830001,0,0.0,-34763.635411400006,36763.635411400006,0,45.6394833962,49778.1490245,1,49778.1490245,1,49778.1490245,1,71527.27082280001,2,-21749.12179830001,0,deficit,1.0,1.0,-0.0,0.15,1.0
882,4,0.41160773849232823,1.0,0.0,0.0,0,1.0,72154.79792150001,72154.79792150001,2,1.0,-843.9384527000075,843.9384527000075,1,0.3635230611701965,1,0.0,0.0,0.0,0,1.0,-35655.4297344,35655.4297344,0,48.7551951799,72154.79792150001,2,72154.79792150001,2,72154.79792150001,2,72154.79792150001,2,0.0,0,surplus,-1.0,2.0,9.465,0.15,-1.0
882,5,0.41160773849232823,0.0,0.0,0.0,0,1.0,84336.58684799999,84336.58684799999,2,1.0,-10056.091592399986,10056.091592399986,2,0.6015934113690599,2,0.0,0.0,0.0,0,1.0,-37140.2476278,37140.2476278,0,36.9065178746,84336.58684799999,2,84336.58684799999,2,84336.58684799999,2,84336.58684799999,2,0.0,0,surplus,1.0,2.0,9.465,0.15,1.0
882,6,0.41160773849232823,0.0,0.0,12635.8904977,0,1.0,62979.8261137,62979.8261137,2,1.0,0.0,0.0,2,0.6015934113690599,2,0.0,0.0,6629.474292699997,0,1.0,-34804.6502032,34804.6502032,0,46.9175138624,75615.7166114,2,62979.8261137,2,62979.8261137,2,69609.3004064,2,-6629.474292699997,0,deficit,1.0,2.0,6.31,0.15,1.0
882,7,0.41160773849232823,1.0,18614.680057499998,18614.680057499998,0,1.0,34664.7517571,34664.7517571,1,2.0,15000.0,87597.03306559999,0,0.24647977500542353,0,1.0,25000.0,72597.03306559999,0,1.0,-70438.2324401,70438.2324401,0,90.2314557972,53279.4318146,1,53279.4318146,1,93279.4318146,3,140876.4648802,4,-47597.033065599986,0,deficit,-1.0,1.0,9.94,-0.3,1.0
882,8,0.41160773849232823,0.0,0.0,28806.1992454,0,1.0,34274.2734183,34274.2734183,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,109566.7724827,0,0.0,-70920.5229505,72920.5229505,0,88.1275207107,63080.4726637,2,34274.2734183,1,59274.2734183,2,143841.045901,4,-84566.7724827,0,deficit,1.0,1.0,1.086,1.0,1.0
882,9,0.41160773849232823,1.0,41994.7922604,41994.7922604,1,0.0,0.0,13718.030711500001,0,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,98917.34106620002,0,1.0,-70456.06666330001,70456.06666330001,0,82.3487150586,55712.8229719,1,41994.7922604,1,66994.79226039999,2,140912.13332660001,4,-73917.34106620002,0,deficit,1.0,1.0,1.086,1.0,-1.0
882,10,0.41160773849232823,1.0,47165.5310772,47165.5310772,1,1.0,40288.6667068,40288.6667068,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,57010.7720134,0,0.0,-71232.4848987,73232.4848987,0,96.7611161198,87454.197784,3,87454.197784,3,112454.197784,3,144464.9697974,5,-32010.772013399997,0,deficit,1.0,1.0,1.086,-0.3,1.0
882,11,0.41160773849232823,0.0,0.0,56892.5664656,0,0.0,0.0,35101.107974900006,0,1.0,0.0,0.0,0,0.24647977500542353,0,0.0,0.0,90730.666979,0,1.0,-45365.3334895,45365.3334895,0,56.2802486928,91993.6744405,3,0.0,0,0.0,0,90730.666979,3,-90730.666979,0,deficit,-1.0,-1.0,-2.89,-1.5,1.0
882,12,0.41160773849232823,1.0,73998.4457888,73998.4457888,2,1.0,37598.803925500004,37598.803925500004,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,0.0,0.0,0,0.0,-44734.7458657,46734.7458657,0,56.1671156828,111597.24971430001,3,111597.24971430001,3,111597.24971430001,3,91469.4917314,3,20127.757982900002,0,surplus,2.0,1.0,1.086,-0.3,1.0
882,13,0.41160773849232823,1.0,74229.1674355,74229.1674355,2,0.0,0.0,32574.855602900003,0,1.0,0.0,0.0,0,0.24647977500542353,0,1.0,4832.280999299997,4832.280999299997,0,1.0,-39530.7242174,39530.7242174,0,41.4826387921,106804.0230384,3,74229.1674355,2,79061.4484348,2,79061.4484348,2,0.0,0,surplus,2.0,1.0,12.62,-0.3,1.0
882,14,0.41160773849232823,0.0,0.0,67308.8595025,0,1.0,35814.031051,35814.031051,1,1.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,27444.463999600004,0,0.0,-30629.2475253,32629.2475253,0,31.6633983947,103122.8905535,3,35814.031051,1,60814.031051,2,63258.4950506,2,-2444.463999600004,0,deficit,-1.0,1.0,-0.0,-0.3,-1.0
882,15,0.41160773849232823,1.0,68549.9384787,68549.9384787,2,1.0,35550.8591829,35550.8591829,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,0.0,0.0,0,0.0,-34702.4275183,36702.4275183,0,36.3389670651,104100.7976616,3,104100.7976616,3,104100.7976616,3,71404.8550366,2,32695.942624999996,1,surplus,2.0,1.0,1.086,-0.3,1.0
882,16,0.41160773849232823,1.0,55829.0971069,55829.0971069,1,0.0,0.0,49742.0596181,0,1.0,0.0,0.0,0,0.24647977500542353,0,0.0,0.0,17513.737474100002,0,1.0,-36671.4172905,36671.4172905,0,24.5687282494,105571.15672500001,3,55829.0971069,1,55829.0971069,1,73342.834581,2,-17513.737474100002,0,deficit,1.0,-1.0,-0.0,0.15,1.0
882,17,0.41160773849232823,1.0,46275.056638099995,46275.056638099995,1,1.0,35870.463527500004,35870.463527500004,1,2.0,0.0,0.0,0,0.24647977500542353,0,1.0,0.0,0.0,0,0.0,-33930.2460038,35930.2460038,0,32.4094268417,82145.5201656,2,82145.5201656,2,82145.5201656,2,69860.4920076,2,12285.028158000001,0,surplus,1.0,1.0,-4.414,-0.3,0.0
882,18,0.41160773849232823,0.0,0.0,38158.3769031,0,0.0,0.0,60252.2438142,0,1.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,64594.988866600004,0,1.0,-32297.494433300002,32297.494433300002,0,18.8249283089,98410.6207173,3,0.0,0,25000.0,0,64594.988866600004,2,-39594.988866600004,0,deficit,-3.0,-3.0,-2.89,1.0,1.0
882,19,0.41160773849232823,0.0,0.0,23195.191895800002,0,1.0,56430.304640199996,56430.304640199996,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,128577.414555,0,0.0,-91503.85959759999,93503.85959759999,0,60.6362975912,79625.49653599999,2,56430.304640199996,1,81430.30464019999,2,185007.71919519998,6,-103577.414555,0,deficit,1.0,1.0,1.086,1.0,1.0
882,20,0.41160773849232823,0.0,0.0,16225.4485962,0,1.0,34696.1929518,34696.1929518,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,164082.153557,0,0.0,-98389.17325440001,100389.17325440001,0,77.7947332685,50921.641548,1,34696.1929518,1,59696.1929518,2,198778.34650880002,6,-139082.153557,0,deficit,1.0,1.0,1.086,1.0,1.0
882,21,0.41160773849232823,1.0,0.0,0.0,0,1.0,49305.821624,49305.821624,1,0.0,0.0,0.0,0,0.24647977500542353,0,1.0,25000.0,129592.74482359999,0,0.0,-88449.2832238,90449.2832238,0,56.8150108949,49305.821624,1,49305.821624,1,74305.821624,2,178898.5664476,6,-104592.74482359999,0,deficit,-1.0,1.0,1.086,1.0,1.0
882,22,0.41160773849232823,1.0,0.0,0.0,0,0.0,0.0,42643.389711300006,0,0.0,0.0,0.0,0,0.24647977500542353,0,0.0,0.0,191849.7746142,0,0.0,-94924.8873071,96924.8873071,0,70.8741409184,42643.389711300006,1,0.0,0,0.0,0,191849.7746142,6,-191849.7746142,0,deficit,-1.0,-2.0,1.086,-1.5,1.0
882,23,0.41160773849232823,0.0,0.0,0.0,0,0.0,0.0,22995.872508800003,0,0.0,0.0,0.0,0,0.24647977500542353,0,0.0,0.0,120337.56798960001,0,0.0,-59168.783994800004,61168.783994800004,0,49.855054728,22995.872508800003,0,0.0,0,0.0,0,120337.56798960001,4,-120337.56798960001,0,deficit,1.0,1.0,1.086,-1.5,1.0
