episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,potential_load#0,action_load#0,power_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
684,0,0.5436957971981321,0.0,0,0.0,0,5155.0318254,1,5155.0318254,2,4413.168174599999,2,4413.168174599999,1,0.4900461742300636,1,0.0,1,0.0,0,9568.199999999999,0,0.0,0,62.0,5155.0318254,2,5155.0318254,2,9568.199999999999,3,9568.199999999999,3,0.0,0,surplus,1.0,2.0,9.94,1.0,1.014
684,1,0.5436957971981321,0.0,0,0.0,0,3402.8805282999997,1,3402.8805282999997,1,16112.719471699998,2,15000.0,0,0.1349325378664272,0,1112.7194716999984,0,0.0,0,9757.8,1,-9757.8,0,60.84,3402.8805282999997,1,3402.8805282999997,1,18402.8805283,7,19515.6,8,-1112.7194716999984,0,deficit,1.0,1.0,14.91,0.15,4.083
684,2,0.5436957971981321,0.0,0,0.0,0,3393.9623177999997,0,0.0,0,0.0,0,0.0,0,0.1349325378664272,0,20440.8,1,15000.0,6,10220.4,1,-10220.4,0,62.92,3393.9623177999997,1,0.0,0,15000.0,6,20440.8,8,-5440.799999999999,0,deficit,1.0,-4.0,1.086,1.0,1.014
684,3,0.5436957971981321,0.0,0,0.0,0,3393.9623177999997,1,3393.9623177999997,1,0.0,1,0.0,0,0.1349325378664272,0,7631.0376822,1,7631.0376822,3,11025.0,0,0.0,0,60.79,3393.9623177999997,1,3393.9623177999997,1,11025.0,4,11025.0,4,0.0,0,surplus,1.0,1.0,-8.67,1.0,1.014
684,4,0.5436957971981321,0.0,0,0.0,0,5769.078019500001,0,0.0,0,0.0,0,0.0,0,0.1349325378664272,0,11436.0,1,11436.0,4,11436.0,0,0.0,0,66.92,5769.078019500001,2,0.0,0,11436.0,4,11436.0,4,0.0,0,surplus,1.0,-4.0,1.086,1.0,1.014
684,5,0.5436957971981321,0.0,0,0.0,0,5738.6709934,1,5738.6709934,2,0.0,0,0.0,0,0.1349325378664272,0,5704.529006599999,0,0.0,0,11443.199999999999,0,0.0,0,69.12,5738.6709934,2,5738.6709934,2,5738.6709934,2,11443.199999999999,4,-5704.529006599999,0,deficit,1.0,2.0,1.086,-1.5,1.014
684,6,0.5436957971981321,0.0,0,0.0,0,7664.8085257,1,7664.8085257,3,0.0,0,0.0,0,0.1349325378664272,0,15196.3914743,1,15000.0,6,11430.6,1,-11430.6,0,68.25,7664.8085257,3,7664.8085257,3,22664.8085257,9,22861.2,9,-196.3914743000023,0,deficit,1.0,3.0,1.086,1.0,1.014
684,7,0.5436957971981321,24.763502,0,0.0,0,10980.9439196,1,10980.9439196,4,0.0,1,0.0,0,0.1349325378664272,0,446.0560803999997,1,446.0560803999997,0,11427.0,0,0.0,0,67.67,11005.7074216,4,10980.9439196,4,11427.0,4,11427.0,4,0.0,0,surplus,1.0,4.0,-0.0,-0.3,1.014
684,8,0.5436957971981321,1348.776256,1,1348.776256,0,11526.6692123,0,0.0,0,0.0,0,0.0,0,0.1349325378664272,0,21393.623744,1,15000.0,6,11371.2,1,-11371.2,0,64.0,12875.4454683,5,1348.776256,0,16348.776256000001,6,22742.4,9,-6393.623744,0,deficit,-1.0,-4.0,1.086,1.0,1.014
684,9,0.5436957971981321,4268.1910547,1,4268.1910547,1,13648.5879474,1,13648.5879474,5,0.0,2,0.0,0,0.1349325378664272,0,0.0,1,0.0,0,11273.4,0,0.0,0,61.57,17916.7790021,7,17916.7790021,7,17916.7790021,7,11273.4,4,6643.3790021,2,surplus,1.0,5.0,-4.414,-0.3,1.014
684,10,0.5436957971981321,5546.5282627,0,0.0,0,14363.0152901,1,14363.0152901,5,0.0,0,0.0,0,0.1349325378664272,0,8105.784709900003,1,8105.784709900003,3,11234.400000000001,1,-11234.400000000001,0,59.4,19909.5435528,8,14363.0152901,5,22468.800000000003,9,22468.800000000003,9,0.0,0,surplus,1.0,5.0,1.086,-0.3,12.249
684,11,0.5436957971981321,5058.0241673,1,5058.0241673,2,14533.737944,1,14533.737944,6,0.0,1,0.0,0,0.1349325378664272,0,2723.437888700002,0,0.0,0,11157.6,1,-11157.6,0,58.31,19591.7621113,8,19591.7621113,8,19591.7621113,8,22315.2,9,-2723.437888700002,0,deficit,2.0,6.0,50.48,0.15,4.083
684,12,0.5436957971981321,5741.360492,1,5741.360492,2,14587.032900600001,0,0.0,0,0.0,1,0.0,0,0.1349325378664272,0,16456.239508000002,1,15000.0,6,11098.800000000001,1,-11098.800000000001,0,67.2,20328.393392600003,8,5741.360492,2,20741.360492,8,22197.600000000002,9,-1456.2395080000024,0,deficit,2.0,-2.0,-5.78,1.0,16.332
684,13,0.5436957971981321,4437.6841107,0,0.0,0,14495.5393472,1,14495.5393472,6,0.0,1,0.0,0,0.1349325378664272,0,7864.060652799999,1,7864.060652799999,3,11179.8,1,-11179.8,0,69.0,18933.2234579,7,14495.5393472,6,22359.6,9,22359.6,9,0.0,0,surplus,2.0,6.0,25.24,-0.3,1.014
684,14,0.5436957971981321,4142.181658,0,0.0,0,14371.1803665,1,14371.1803665,5,2827.780366500001,1,-2827.780366500001,0,0.20187809578546131,0,0.0,0,0.0,0,11543.4,0,0.0,0,68.71,18513.362024500002,7,14371.1803665,5,14371.1803665,5,14371.1803665,5,0.0,0,surplus,1.0,5.0,12.62,0.15,-9.862
684,15,0.5436957971981321,2780.3721066999997,0,0.0,0,14106.337374300001,0,0.0,0,23396.4,2,4303.330765977886,0,0.1,0,19093.069234022114,1,15000.0,6,11698.2,1,-11698.2,0,68.07,16886.709481,7,0.0,0,19303.330765977887,8,23396.4,9,-4093.069234022114,0,deficit,-4.0,-4.0,-4.414,1.0,4.083
684,16,0.5436957971981321,1156.9933987000002,0,0.0,0,13354.4768149,1,13354.4768149,5,0.0,0,0.0,0,0.1,0,9830.723185099998,1,9830.723185099998,4,11592.599999999999,1,-11592.599999999999,0,65.38,14511.4702136,6,13354.4768149,5,23185.199999999997,9,23185.199999999997,9,0.0,0,surplus,1.0,5.0,1.086,-0.3,1.014
684,17,0.5436957971981321,182.63474129999997,1,182.63474129999997,0,12187.458708099999,0,0.0,0,0.0,1,0.0,0,0.1,0,22874.1652587,1,15000.0,6,11528.4,1,-11528.4,0,65.76,12370.0934494,5,182.63474129999997,0,15182.6347413,6,23056.8,9,-7874.165258699999,0,deficit,-1.0,-4.0,-11.56,1.0,4.083
684,18,0.5436957971981321,0.0,0,0.0,0,10988.5609838,0,0.0,0,22527.6,2,0.0,0,0.1,0,22527.6,1,15000.0,6,11263.8,1,-11263.8,0,62.8,10988.5609838,4,0.0,0,15000.0,6,22527.6,9,-7527.5999999999985,0,deficit,1.0,-4.0,-4.414,1.0,1.014
684,19,0.5436957971981321,0.0,0,0.0,0,9586.2588694,0,0.0,0,10738.2,2,0.0,0,0.1,0,10738.2,1,10738.2,4,10738.2,0,0.0,0,63.75,9586.2588694,3,0.0,0,10738.2,4,10738.2,4,0.0,0,surplus,1.0,-4.0,-4.414,1.0,1.014
684,20,0.5436957971981321,0.0,0,0.0,0,8098.007616100001,0,0.0,0,0.0,1,0.0,0,0.1,0,20719.2,1,15000.0,6,10359.6,1,-10359.6,0,54.7,8098.007616100001,3,0.0,0,15000.0,6,20719.2,8,-5719.200000000001,0,deficit,1.0,-4.0,-11.56,1.0,1.014
684,21,0.5436957971981321,0.0,0,0.0,0,6758.4942347999995,1,6758.4942347999995,2,0.0,0,0.0,0,0.1,0,3352.705765200001,1,3352.705765200001,1,10111.2,0,0.0,0,54.05,6758.4942347999995,2,6758.4942347999995,2,10111.2,4,10111.2,4,0.0,0,surplus,1.0,2.0,1.086,1.0,1.014
684,22,0.5436957971981321,0.0,1,0.0,0,5845.1170151,1,5845.1170151,2,0.0,0,0.0,0,0.1,0,14199.682984899999,1,14199.682984899999,5,10022.4,1,-10022.4,0,48.06,5845.1170151,2,5845.1170151,2,20044.8,8,20044.8,8,0.0,0,surplus,-1.0,2.0,1.086,1.0,1.014
