episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph_initial;env_delta_ph_final;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
1106;14;0,557423;38695,632802;0,000000;0,000000;1;55470,316899;2,000000;55470,316899;1;0,509055;1;0,000000;0,000000;0,000000;0;51,106523;0;38695,632802;0;0,000000;0;55470,316899;1;55470,316899;1;0,000000;0;0,000000;0;;1,000000;0,094125;1,000000;-16774,684096;-16774,684096;-0,055916;-1,000000;-55470,316899;-0,184901;-1,000000
1106;15;0,557423;40964,977515;0,000000;0,000000;1;0,000000;1,000000;0,000000;1;0,509055;1;52313,130535;0,000000;0,000000;0;50,553226;0;40964,977515;0;0,000000;0;0,000000;0;52313,130535;1;0,000000;0;-52313,130535;0;;1,000000;-1,000000;1,000000;-11348,153020;-11348,153020;-0,037827;-1,000000;-52313,130535;-0,174377;-1,000000
1106;16;0,557423;12959,879603;0,000000;0,000000;1;39798,993849;2,000000;39798,993849;1;0,507397;1;0,000000;1,000000;0,000000;0;31,645284;0;12959,879603;0;0,000000;0;39798,993849;1;39798,993849;1;0,000000;0;0,000000;0;;1,000000;0,067313;-1,000000;-26839,114246;-26839,114246;-0,089464;-1,000000;-39798,993849;-0,132663;-1,000000
1106;17;0,557423;66788,649509;1,000000;66788,649509;1;0,000000;0,000000;0,000000;1;0,507397;1;0,000000;0,000000;0,000000;0;24,416090;0;0,000000;0;66788,649509;1;66788,649509;1;28029,800447;1;0,000000;0;38758,849062;1;;-1,000000;-1,000000;1,000000;38758,849062;-28029,800447;-0,093433;-1,000000;38758,849062;0,129196;1,000000
1106;18;0,557423;36490,962848;0,000000;0,000000;1;0,000000;1,000000;0,000000;1;0,507397;1;25950,639128;1,000000;25950,639128;1;28,942516;0;36490,962848;0;0,000000;0;25950,639128;1;25950,639128;1;25950,639128;1;0,000000;0;;-1,000000;-1,000000;-1,000000;10540,323721;10540,323721;0,035134;1,000000;-25950,639128;-0,086502;-1,000000
1106;19;0,557423;53061,813013;1,000000;53061,813013;1;0,000000;2,000000;0,000000;1;0,507397;1;0,000000;1,000000;0,000000;0;31,896515;0;0,000000;0;53061,813013;1;53061,813013;1;31881,411424;1;0,000000;0;21180,401589;1;;-1,000000;-1,000000;-1,000000;21180,401589;-31881,411424;-0,106271;-1,000000;21180,401589;0,070601;1,000000
1106;20;0,557423;46084,981173;1,000000;46084,981173;1;19122,201529;1,000000;-19122,201529;1;0,508194;1;0,000000;0,000000;0,000000;0;29,856296;0;0,000000;0;46084,981173;1;46084,981173;1;46084,981173;1;0,000000;0;0,000000;0;;-1,000000;0,491806;1,000000;19122,201529;-26962,779644;-0,089876;-1,000000;19122,201529;0,063741;1,000000
1106;21;0,557423;61916,373796;1,000000;61916,373796;1;0,000000;2,000000;0,000000;1;0,508194;1;0,000000;0,000000;0,000000;0;27,628438;0;0,000000;0;61916,373796;1;61916,373796;1;32229,824359;1;0,000000;0;29686,549437;1;;-1,000000;-1,000000;1,000000;29686,549437;-32229,824359;-0,107433;-1,000000;29686,549437;0,098955;1,000000
1106;22;0,557423;51887,939182;1,000000;51887,939182;1;0,000000;0,000000;0,000000;1;0,508194;1;14953,622171;0,000000;0,000000;0;37,042420;0;9205,787043;0;51887,939182;1;51887,939182;1;66841,561353;1;0,000000;0;-14953,622171;0;;-1,000000;-1,000000;-1,000000;-5747,835128;-57635,774310;-0,192119;-1,000000;-14953,622171;-0,049845;-1,000000
1106;23;0,557423;26603,658463;1,000000;26603,658463;1;42185,349768;2,000000;42185,349768;1;0,506436;1;0,000000;1,000000;0,000000;0;46,092668;0;11315,660196;0;26603,658463;1;68789,008231;1;68789,008231;1;0,000000;0;0,000000;0;;-1,000000;0,071214;-1,000000;-30869,689572;-57473,348035;-0,191578;-1,000000;-42185,349768;-0,140618;-1,000000
