episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
534;17;0,492192;55628,502563;1,000000;55628,502563;1;34831,725842;1,000000;-0,000000;2;1,000000;2;0,000000;1,000000;0,000000;0;27,120796;0;105896,960070;1;55628,502563;1;55628,502563;1;20796,776721;1;0,000000;0;34831,725842;1;;1,000000;0,000000;-1,000000;85100,183349;0,283667;1,000000
534;18;0,492192;30932,200666;1,000000;30932,200666;1;0,000000;1,000000;0,000000;2;1,000000;2;13968,480798;1,000000;13968,480798;1;57,917250;0;69294,794522;1;30932,200666;1;44900,681464;1;44900,681464;1;13968,480798;1;0,000000;0;;1,000000;0,000000;-1,000000;24394,113058;0,081314;1,000000
534;19;0,492192;55524,732635;1,000000;55524,732635;1;11650,884054;1,000000;-0,000000;2;1,000000;2;0,000000;1,000000;0,000000;0;63,572019;0;87514,395047;1;55524,732635;1;55524,732635;1;43873,848581;1;0,000000;0;11650,884054;1;;1,000000;0,000000;-1,000000;43640,546467;0,145468;1,000000
534;20;0,492192;60906,360018;1,000000;60906,360018;1;12378,953314;1,000000;-0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;70,031357;0;80286,284364;1;60906,360018;1;60906,360018;1;48527,406704;1;0,000000;0;12378,953314;1;;1,000000;0,000000;1,000000;31758,877660;0,105863;1,000000
534;21;0,492192;59284,417164;0,000000;0,000000;1;0,000000;1,000000;0,000000;2;1,000000;2;47765,108590;0,000000;0,000000;0;70,279917;0;59284,417164;1;0,000000;0;0,000000;0;47765,108590;1;0,000000;0;-47765,108590;0;;-1,000000;0,000000;1,000000;11519,308573;0,038398;1,000000
534;22;0,492192;41834,111519;1,000000;41834,111519;1;17343,621686;1,000000;-0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;45,003174;0;41834,111519;1;41834,111519;1;41834,111519;1;24490,489833;1;0,000000;0;17343,621686;1;;-1,000000;0,000000;1,000000;17343,621686;0,057812;1,000000
534;23;0,492192;21459,786711;1,000000;21459,786711;1;2968,727440;2,000000;2968,727440;1;0,929718;1;0,000000;0,000000;0,000000;0;40,965095;0;21459,786711;1;21459,786711;1;24428,514150;1;24428,514150;1;0,000000;0;0,000000;0;;1,000000;-1,000000;1,000000;-2968,727440;-0,009896;0,000000
534;24;0,492192;63868,931748;1,000000;63868,931748;1;0,000000;2,000000;0,000000;1;0,929718;1;0,000000;0,000000;0,000000;0;18,722882;0;63868,931748;1;63868,931748;1;63868,931748;1;34286,316414;1;0,000000;0;29582,615334;1;;-1,000000;-1,000000;1,000000;29582,615334;0,098609;1,000000
534;25;0,492192;56530,476163;1,000000;56530,476163;1;24806,093483;1,000000;-2968,727439;2;1,000000;2;0,000000;0,000000;0,000000;0;23,170186;0;56530,476163;1;56530,476163;1;56530,476163;1;34693,110120;1;0,000000;0;21837,366043;1;;-1,000000;0,000000;1,000000;24806,093483;0,082687;1,000000
534;26;0,492192;50445,153990;1,000000;50445,153990;1;17032,404782;1,000000;-0,000000;2;1,000000;2;0,000000;0,000000;0,000000;0;28,774271;0;50445,153990;1;50445,153990;1;50445,153990;1;33412,749209;1;0,000000;0;17032,404782;1;;-1,000000;0,000000;1,000000;17032,404782;0,056775;1,000000
