episode,step,epsilon,action_solar#0,power_solar#0,potential_solar#0,idx_solar#0,action_wind#0,power_wind#0,potential_wind#0,idx_wind#0,action_battery#0,power_battery#0,potential_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,action_grid#0,power_grid#0,potential_grid#0,idx_grid#0,action_load#0,power_load#0,potential_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
1133,-1,0.0,,0.0,,0,,0.0,,1,,0.0,,1,0.3061642438542119,1,,0.0,,3,,0.0,,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0
1133,0,0.24416277518345575,0.0,0.0,0.0,0,0.0,0.0,79764.495071,0,2.0,129323.77660401912,155550.041012,0,0.0,0,1.0,26226.26440798088,26226.26440798088,0,0.0,-76775.020506,78775.020506,0,53.2514194525,79764.495071,2,0.0,0,155550.041012,5,155550.041012,5,0.0,0,surplus,-0.0,-0.04938271604938271,0.05555555555555555,0.6111111111111112,1.0
1133,1,0.24416277518345575,0.0,0.0,0.0,0,1.0,54009.4263358,54009.4263358,1,1.0,0.0,0.0,0,0.0,0,1.0,59643.9977278,59643.9977278,2,0.0,-55826.7120318,57826.7120318,0,47.6939945907,54009.4263358,1,54009.4263358,1,113653.4240636,3,113653.4240636,3,0.0,0,surplus,-0.0,0.012345679012345678,-0.06444444444444444,0.5555555555555556,1.0
1133,2,0.24416277518345575,0.0,0.0,0.0,0,1.0,56323.1755479,56323.1755479,1,0.0,0.0,0.0,0,0.0,0,1.0,65998.5409415,65998.5409415,2,0.0,-60160.8582447,62160.8582447,0,48.4173487693,56323.1755479,1,56323.1755479,1,122321.7164894,4,122321.7164894,4,0.0,0,surplus,-0.0,0.012345679012345678,0.22,0.5555555555555556,1.0
1133,3,0.24416277518345575,0.0,0.0,0.0,0,1.0,49778.1490245,49778.1490245,1,0.0,0.0,0.0,0,0.0,0,1.0,79182.98226549999,79182.98226549999,2,0.0,-63480.565644999995,65480.565644999995,0,49.0703558306,49778.1490245,1,49778.1490245,1,128961.13128999999,4,128961.13128999999,4,0.0,0,surplus,0.0,-0.0,0.22,-0.0,1.0
1133,4,0.24416277518345575,0.0,0.0,0.0,0,1.0,72154.79792150001,72154.79792150001,2,1.0,0.0,0.0,0,0.0,0,1.0,17533.721553899988,17533.721553899988,0,0.0,-43844.2597377,45844.2597377,0,29.4043727997,72154.79792150001,2,72154.79792150001,2,89688.5194754,3,89688.5194754,3,0.0,0,surplus,0.0,-0.024691358024691357,0.06999999999999999,-0.016666666666666666,1.0
1133,5,0.24416277518345575,0.0,0.0,0.0,0,1.0,84336.58684799999,84336.58684799999,2,2.0,0.0,10802.453292999999,0,0.0,0,1.0,10802.453292999999,10802.453292999999,0,1.0,-47569.520070499995,47569.520070499995,0,39.2600791651,84336.58684799999,2,84336.58684799999,2,95139.04014099999,3,95139.04014099999,3,0.0,0,surplus,0.0,-0.024691358024691357,-0.09888888888888889,-0.016666666666666666,1.0
1133,6,0.24416277518345575,0.0,0.0,12635.8904977,0,1.0,62979.8261137,62979.8261137,2,2.0,0.0,30753.389032900006,0,0.0,0,1.0,30753.389032900006,30753.389032900006,1,1.0,-46866.6075733,46866.6075733,0,43.717559249,75615.7166114,2,62979.8261137,2,93733.2151466,3,93733.2151466,3,0.0,0,surplus,0.0,-0.024691358024691357,-0.09888888888888889,-0.016666666666666666,1.0
1133,7,0.24416277518345575,0.0,0.0,18614.680057499998,0,1.0,34664.7517571,34664.7517571,1,2.0,0.0,43857.3943827,0,0.0,0,1.0,43857.3943827,43857.3943827,1,1.0,-39261.0730699,39261.0730699,0,30.949373232,53279.4318146,1,34664.7517571,1,78522.1461398,2,78522.1461398,2,0.0,0,surplus,0.0,-0.0,-0.0,-0.0,1.0
1133,8,0.24416277518345575,0.0,0.0,28806.1992454,0,1.0,34274.2734183,34274.2734183,1,0.0,0.0,0.0,0,0.0,0,1.0,67315.6966011,67315.6966011,2,1.0,-50794.9850097,50794.9850097,0,48.079560777,63080.4726637,2,34274.2734183,1,101589.9700194,3,101589.9700194,3,0.0,0,surplus,-0.0,0.024691358024691357,0.22,0.6111111111111112,-1.0
