episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,potential_load#0,action_load#0,power_load#0,idx_load#0,env_price,env_price_idx,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_grid_power,env_grid_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0,env_delta_ph,env_delta_ph_norm,env_delta_ph_idx
617,-1,0.0,,,0.0,1,,,0.0,1,,,0.0,1,0.642086369778176,1,,,0.0,1,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0,,,
617,0,0.3885585585585585,72370.6430524,1.0,72370.6430524,1,38177.799607700006,1.0,38177.799607700006,1,0.0,0.0,0.0,1,0.642086369778176,1,0.0,0.0,0.0,0,53890.2621497,1.0,-53890.2621497,0,40.2634154447,1,110548.4426601,1,110548.4426601,1,110548.4426601,1,107780.5242994,1,0.0,0,2767.9183607000014,1,,0.23718164128266664,0.23718164128266664,-0.3,0.4,0.15,2767.9183607000014,0.009226394535666671,0.0
617,1,0.3885585585585585,81825.4673814,1.0,81825.4673814,1,55003.4303211,1.0,55003.4303211,1,0.0,2.0,0.0,1,0.642086369778176,1,0.0,0.0,0.0,0,65674.4053177,1.0,-65674.4053177,0,49.3038585697,1,136828.8977025,1,136828.8977025,1,136828.8977025,1,131348.8106354,1,0.0,0,5480.087067099987,1,,0.38085151923099997,0.38085151923099997,-0.38085151923099997,0.4,0.15,5480.087067099987,0.018266956890333287,1.0
617,2,0.3885585585585585,101030.3613217,1.0,101030.3613217,1,53558.0484825,1.0,53558.0484825,1,114255.4557693,1.0,-114255.4557693,1,0.6691354833599232,1,0.0,0.0,0.0,0,40332.9540349,0.0,-36332.9540349,0,23.9119195779,0,154588.4098042,1,154588.4098042,1,154588.4098042,1,190921.3638391,1,0.0,0,-36332.9540349,0,,0.29410934277199996,0.29410934277199996,0.09731034553558843,0.4,-0.3,-36332.9540349,-0.121109846783,-1.0
617,3,0.3885585585585585,88130.10191099999,0.0,0.0,1,49339.9050855,1.0,49339.9050855,1,102.70092060000025,1.0,-102.70092060000025,1,0.669159797024838,1,0.0,0.0,0.0,0,49237.2041649,0.0,-45237.2041649,0,28.2433644229,1,137470.0069965,1,49339.9050855,1,49339.9050855,1,94577.10925040001,1,0.0,0,-45237.20416490001,0,,-0.29734695630100005,0.29734695630100005,0.0983743273766695,0.4,-0.3,42892.897746099974,0.14297632582033323,1.0
617,4,0.3885585585585585,88038.9523947,1.0,88038.9523947,1,41257.6610063,1.0,41257.6610063,1,89204.08689030001,1.0,-89204.08689030001,1,0.6902781888075794,1,1.4551915228366852e-11,0.0,0.0,0,40092.526510699994,0.0,-36092.526510699994,0,37.2522768834,1,129296.613401,1,129296.613401,1,129296.613401,1,165389.1399117,1,0.0,0,-36092.526510700016,0,,0.23468216906699996,0.23468216906699996,0.07268618645799708,0.4,-0.3,-36092.526510700016,-0.12030842170233338,-1.0
617,5,0.3885585585585585,76236.2781544,0.0,0.0,1,39159.7990179,1.0,39159.7990179,1,0.0,1.0,0.0,1,0.6902781888075794,1,5831.627434300004,0.0,0.0,0,44991.4264522,0.0,-40991.4264522,0,29.466798225,1,115396.07717229999,1,39159.7990179,1,39159.7990179,1,85982.8529044,1,0.0,0,-46823.053886500005,0,,-0.2250881265846667,0.2250881265846667,0.0697147022437118,0.4,-0.3,29413.22426789999,0.09804408089299997,1.0
617,6,0.3885585585585585,51843.729582500004,1.0,51843.729582500004,1,61953.274863,1.0,61953.274863,1,67526.43797540001,1.0,-67526.43797540001,1,0.7062645614343313,1,0.0,0.0,0.0,0,46270.5664701,1.0,-46270.5664701,0,31.0581242901,1,113797.0044455,1,113797.0044455,1,113797.0044455,1,160067.5709156,1,0.0,0,-46270.56647009999,0,,0.00535512846466668,0.00535512846466668,0.0015729910081443636,0.4,0.15,-46270.56647009999,-0.15423522156699998,-1.0
617,7,0.3885585585585585,51663.0248163,1.0,51663.0248163,1,48144.002129,0.0,0.0,1,0.0,0.0,0.0,1,0.7062645614343313,1,49750.5406684,0.0,0.0,0,101413.5654847,1.0,-101413.5654847,0,85.7882248595,1,99807.0269453,1,51663.0248163,1,51663.0248163,1,202827.1309694,1,0.0,0,-151164.1061531,0,,0.3,0.3,0.3,0.4,0.15,-103020.1040241,-0.343400346747,-1.0
617,8,0.3885585585585585,36222.6705848,0.0,0.0,1,27958.878420099998,0.0,0.0,1,0.0,1.0,0.0,1,0.7062645614343313,1,91752.70219920001,0.0,0.0,0,91752.70219920001,1.0,-91752.70219920001,0,69.9124353342,1,64181.54900489999,1,0.0,0,0.0,0,183505.40439840002,1,0.0,0,-183505.40439840002,0,,0.08366563270066665,0.08366563270066665,-0.08366563270066665,-0.08366563270066665,0.15,-119323.85539350002,-0.39774618464500006,-1.0
617,9,0.3885585585585585,25468.8669944,0.0,0.0,1,49016.6198321,1.0,49016.6198321,1,50568.5568046,2.0,50568.5568046,1,0.6942928387059695,1,0.0,1.0,0.0,0,99585.1766367,1.0,-99585.1766367,0,72.5071131556,1,74485.4868265,1,49016.6198321,1,99585.1766367,1,199170.3532734,1,0.0,0,-99585.1766367,0,,0.16796369150333332,-0.16796369150333332,0.11661598817338302,0.16796369150333332,0.15,-124684.86644689999,-0.41561622148966665,-1.0
617,10,0.3885585585585585,0.0,0.0,0.0,0,46295.345221200005,0.0,0.0,1,0.0,1.0,0.0,1,0.6942928387059695,1,96684.4526722,0.0,0.0,0,96684.4526722,1.0,-96684.4526722,0,81.6457235086,1,46295.345221200005,1,0.0,0,0.0,0,193368.9053444,1,0.0,0,-193368.9053444,0,,0.02265156230099999,0.02265156230099999,-0.02265156230099999,-0.02265156230099999,0.15,-147073.5601232,-0.49024520041066666,-1.0
617,11,0.3885585585585585,0.0,1.0,0.0,0,50892.073298100004,1.0,50892.073298100004,1,0.0,1.0,0.0,1,0.6942928387059695,1,6795.4686902999965,0.0,0.0,0,57687.5419884,0.0,-53687.5419884,0,46.1158585355,1,50892.073298100004,1,50892.073298100004,1,50892.073298100004,1,111375.0839768,1,0.0,0,-60483.0106787,0,,-0.021545673550333353,-0.021545673550333353,-0.021545673550333353,-0.021545673550333353,-0.3,-60483.0106787,-0.20161003559566665,-1.0
