episode,step,epsilon,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_grid#0
635,0,0.5763842561707806,7709.477727,0,0.0,0,27.8948542021,0.0,0,0.0,0,0.0,0,7709.477727,7,-7709.477727,0,deficit,-1.12
635,1,0.5763842561707806,7704.716025799999,0,0.0,0,27.9791383089,0.0,0,0.0,0,0.0,0,7704.716025799999,7,-7704.716025799999,0,deficit,-0.96
635,2,0.5763842561707806,6519.4366889,0,0.0,0,19.7008973769,0.0,0,0.0,0,0.0,0,6519.4366889,6,-6519.4366889,0,deficit,-1.12
635,3,0.5763842561707806,7517.3822377999995,0,0.0,0,21.9864367486,0.0,0,0.0,0,0.0,0,7517.3822377999995,7,-7517.3822377999995,0,deficit,-1.12
635,4,0.5763842561707806,7917.7840249,0,0.0,0,17.3884594861,0.0,0,0.0,0,0.0,0,7917.7840249,7,-7917.7840249,0,deficit,-1.28
635,5,0.5763842561707806,8618.1378516,0,0.0,0,28.9474613136,0.0,0,0.0,0,0.0,0,8618.1378516,8,-8618.1378516,0,deficit,-1.44
635,6,0.5763842561707806,10383.4196052,1,10383.4196052,9,35.1917380772,0.0,0,0.0,0,10383.4196052,9,10383.4196052,9,0.0,0,surplus,0.03705703750935849
635,7,0.5763842561707806,10248.064720600001,1,10248.064720600001,9,32.2745713199,0.0,0,0.0,0,10248.064720600001,9,10248.064720600001,9,0.0,0,surplus,0.032717509728962056
635,8,0.5763842561707806,10215.7299052,1,10215.7299052,9,36.555349411,0.0,0,0.0,0,10215.7299052,9,10215.7299052,9,0.0,0,surplus,0.03431640343550197
635,9,0.5763842561707806,10420.925456100002,1,10420.925456100002,9,34.8521371783,0.0,0,0.0,0,10420.925456100002,9,10420.925456100002,9,0.0,0,surplus,0.03754521431519724
635,10,0.5763842561707806,9931.132618,1,9931.132618,9,31.8549253697,0.0,0,0.0,0,9931.132618,9,9931.132618,9,0.0,0,surplus,0.04519852442742893
635,11,0.5763842561707806,8775.2739891,1,8775.2739891,8,26.4610408227,0.0,0,0.0,0,8775.2739891,8,8775.2739891,8,0.0,0,surplus,0.06259562017440759
635,12,0.5763842561707806,6706.0066503,1,6706.0066503,6,19.10676812,0.0,0,0.0,0,6706.0066503,6,6706.0066503,6,0.0,0,surplus,0.048465186287756624
635,13,0.5763842561707806,7760.6754581,1,7760.6754581,7,24.6775075391,0.0,0,0.0,0,7760.6754581,7,7760.6754581,7,0.0,0,surplus,0.08395024753931621
635,14,0.5763842561707806,7396.110457,1,7396.110457,7,14.2465333344,0.0,0,0.0,0,7396.110457,7,7396.110457,7,0.0,0,surplus,0.04787330676262617
635,15,0.5763842561707806,7846.2232103,1,7846.2232103,7,24.9826068195,0.0,0,0.0,0,7846.2232103,7,7846.2232103,7,0.0,0,surplus,0.055804124902605355
635,16,0.5763842561707806,8794.5689667,1,8794.5689667,8,21.4321074309,0.0,0,0.0,0,8794.5689667,8,8794.5689667,8,0.0,0,surplus,0.04564227030706183
635,17,0.5763842561707806,9042.5946563,1,9042.5946563,8,26.2037797847,0.0,0,0.0,0,9042.5946563,8,9042.5946563,8,0.0,0,surplus,0.039628223892108905
635,18,0.5763842561707806,9705.055387299999,1,9705.055387299999,9,30.1805098118,0.0,0,0.0,0,9705.055387299999,9,9705.055387299999,9,0.0,0,surplus,0.03855528895114968
635,19,0.5763842561707806,9804.4476592,0,0.0,0,31.0203874108,0.0,0,0.0,0,0.0,0,9804.4476592,9,-9804.4476592,0,deficit,-1.44
635,20,0.5763842561707806,10417.2322472,1,10417.2322472,9,30.26660854,0.0,0,0.0,0,10417.2322472,9,10417.2322472,9,0.0,0,surplus,0.04021201434828198
635,21,0.5763842561707806,10908.587061100001,1,10908.587061100001,9,29.7423548505,0.0,0,0.0,0,10908.587061100001,9,10908.587061100001,9,0.0,0,surplus,0.038925407685636314
635,22,0.5763842561707806,9244.2992154,0,0.0,0,30.7254328499,0.0,0,0.0,0,0.0,0,9244.2992154,8,-9244.2992154,0,deficit,-1.12
