episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0
466,0,0.06613226452905818,0.0,0,0.0,0,0.0,0,0.0,0,157.8786965756831,2,157.8786965756831,0,0.19677623110334602,0,0.0,1,0.0,0,2,0.0,0,0.0,0,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,39.76,0.598
466,1,0.06613226452905818,0.0,0,0.0,0,20.8404465948,1,20.8404465948,1,0.0,0,0.0,0,0.19677623110334602,0,137.0382499808831,1,137.0382499808831,8,2,20.8404465948,1,20.8404465948,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,2,0.06613226452905818,0.0,0,0.0,0,18.7831351362,1,18.7831351362,1,0.0,0,0.0,0,0.19677623110334602,0,139.0955614394831,1,139.0955614394831,8,2,18.7831351362,1,18.7831351362,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,3,0.06613226452905818,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.19677623110334602,0,157.8786965756831,1,157.8786965756831,9,2,0.0,0,0.0,0,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,4,0.06613226452905818,0.0,0,0.0,0,16.8229963523,1,16.8229963523,1,0.0,0,0.0,0,0.19677623110334602,0,141.0557002233831,1,141.0557002233831,8,2,16.8229963523,1,16.8229963523,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,5,0.06613226452905818,0.0,0,0.0,0,18.0161016791,1,18.0161016791,1,0.0,0,0.0,0,0.19677623110334602,0,139.86259489658312,1,139.86259489658312,8,2,18.0161016791,1,18.0161016791,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,6,0.06613226452905818,0.0,0,0.0,0,20.3916276245,1,20.3916276245,1,0.0,0,0.0,0,0.19677623110334602,0,137.48706895118312,0,0.0,0,2,20.3916276245,1,20.3916276245,1,20.3916276245,1,157.8786965756831,9,-137.48706895118312,0,deficit,1.0,1.0,1.086,-1.28
466,7,0.06613226452905818,5.96658046,0,0.0,0,23.6608421485,1,23.6608421485,1,0.0,0,0.0,0,0.19677623110334602,0,134.2178544271831,1,134.2178544271831,7,2,29.627422608499998,1,23.6608421485,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,8,0.06613226452905818,32.1457762933,1,32.1457762933,1,29.4931313908,1,29.4931313908,1,0.0,0,0.0,0,0.19677623110334602,0,96.2397888915831,1,96.2397888915831,5,2,61.638907684100005,3,61.638907684100005,3,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,9,0.06613226452905818,47.5150206467,1,47.5150206467,2,37.5446253193,1,37.5446253193,2,0.0,1,0.0,0,0.19677623110334602,0,72.8190506096831,0,0.0,0,2,85.059645966,5,85.059645966,5,85.059645966,5,157.8786965756831,9,-72.8190506096831,0,deficit,2.0,2.0,12.62,-0.64
466,10,0.06613226452905818,62.4906406933,1,62.4906406933,3,47.639500786,1,47.639500786,2,0.0,1,0.0,0,0.19677623110334602,0,47.748555096383114,0,0.0,0,2,110.1301414793,6,110.1301414793,6,110.1301414793,6,157.8786965756831,9,-47.748555096383114,0,deficit,3.0,2.0,25.24,-0.48
466,11,0.06613226452905818,63.5027865133,1,63.5027865133,3,54.662384908,1,54.662384908,3,39.713525154383106,2,39.713525154383106,0,0.11403972036504788,0,0.0,0,0.0,0,2,118.1651714213,7,118.1651714213,7,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,3.0,3.0,-4.414,-0.32
466,12,0.06613226452905818,85.7896011,1,85.7896011,5,61.3767289493,1,61.3767289493,3,0.0,1,0.0,0,0.11403972036504788,0,10.712366526383107,0,0.0,0,2,147.1663300493,8,147.1663300493,8,147.1663300493,8,157.8786965756831,9,-10.712366526383107,0,deficit,5.0,3.0,50.48,-0.16
466,13,0.06613226452905818,85.6420220933,1,85.6420220933,5,65.5385605194,1,65.5385605194,3,0.0,1,0.0,0,0.11403972036504788,0,6.698113962983115,0,0.0,0,2,151.1805826127,9,151.1805826127,9,151.1805826127,9,157.8786965756831,9,-6.698113962983115,0,deficit,5.0,3.0,63.099999999999994,-0.16
466,14,0.06613226452905818,73.2580792067,0,0.0,0,64.3409241417,1,64.3409241417,3,0.0,1,0.0,0,0.11403972036504788,0,93.53777243398311,0,0.0,0,2,137.5990033484,8,64.3409241417,3,64.3409241417,3,157.8786965756831,9,-93.53777243398311,0,deficit,-6.0,3.0,-2.89,-0.96
466,15,0.06613226452905818,36.8728568867,1,36.8728568867,2,50.8533936265,1,50.8533936265,3,0.0,1,0.0,0,0.11403972036504788,0,70.15244606248311,0,0.0,0,2,87.7262505132,5,87.7262505132,5,87.7262505132,5,157.8786965756831,9,-70.15244606248311,0,deficit,2.0,3.0,12.62,-0.64
466,16,0.06613226452905818,0.0,0,0.0,0,36.6001461083,1,36.6001461083,2,0.0,1,0.0,0,0.11403972036504788,0,121.2785504673831,0,0.0,0,2,36.6001461083,2,36.6001461083,2,36.6001461083,2,157.8786965756831,9,-121.2785504673831,0,deficit,1.0,2.0,-5.78,-1.12
466,17,0.06613226452905818,0.0,0,0.0,0,37.5441048607,1,37.5441048607,2,0.0,0,0.0,0,0.11403972036504788,0,120.3345917149831,1,120.3345917149831,7,2,37.5441048607,2,37.5441048607,2,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,2.0,1.086,0.598
466,18,0.06613226452905818,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.11403972036504788,0,157.8786965756831,1,157.8786965756831,9,2,0.0,0,0.0,0,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,19,0.06613226452905818,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.11403972036504788,0,157.8786965756831,1,157.8786965756831,9,2,0.0,0,0.0,0,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,20,0.06613226452905818,0.0,0,0.0,0,33.645900859,1,33.645900859,2,0.0,0,0.0,0,0.11403972036504788,0,124.23279571668311,1,124.23279571668311,7,2,33.645900859,2,33.645900859,2,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,2.0,1.086,0.598
466,21,0.06613226452905818,0.0,0,0.0,0,29.6432683779,1,29.6432683779,1,0.0,0,0.0,0,0.11403972036504788,0,128.2354281977831,1,128.2354281977831,7,2,29.6432683779,1,29.6432683779,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
466,22,0.06613226452905818,0.0,0,0.0,0,26.8287203292,1,26.8287203292,1,0.0,0,0.0,0,0.11403972036504788,0,131.0499762464831,1,131.0499762464831,7,2,26.8287203292,1,26.8287203292,1,157.8786965756831,9,157.8786965756831,9,0.0,0,surplus,1.0,1.0,1.086,0.598
