time,epsilon,solar_potential,solar_discrete,solar,solar_state,wind_potential,wind_discrete,wind,wind_state,bat,bat_soc,bat_soc_discrete,bat_state,grid,grid_state,grid_discrete,load_state,load_comfort_idx,renewable_potential,renewable_potential_discrete,renewable_power,renewable_power_discrete,total,demand,dif,dif_idx,total_discrete,demand_discrete,price,reward_solar,reward_wind,reward_bat,reward_grid,reward_demand
2019-11-05 00:00:00,0.6623311655827914,0.0,0,0.0,0,5.1550318254,2,0.0,0,-2.020507501481175,0.30878433079123774,1,1,0.0,0,0,1,expensive,5.1550318254,2,0.0,0,-2.020507501481175,2.020507501481175,-4.04101500296235,0,0,0,14.0,1.0,-17.0144026415,12.0,12,6
2019-11-05 01:00:00,0.6623311655827914,0.0,0,0.0,1,3.4028805283,1,3.4028805283,1,-1.4686832212098275,0.31898351982741713,1,1,0.0,0,0,1,expensive,3.4028805283,1,3.4028805283,1,1.9341973070901723,1.9341973070901723,0.0,1,0,0,9.99,-0.0,10.1818869534,12.0,12,6
2019-11-05 02:00:00,0.6623311655827914,0.0,0,0.0,0,3.3939623178,1,3.3939623178,1,-1.5464289354057112,0.3297226096566235,1,1,0.0,0,0,0,expensive,3.3939623178,1,3.3939623178,1,-13.152466617605711,-13.152466617605711,0.0,1,0,0,9.1,1.0,10.1818869534,12.0,12,-3
2019-11-05 02:00:00,0.6623311655827914,0.0,0,0.0,1,3.3939623178,1,0.0,0,-1.8740631552603753,0.3427369371237094,1,1,0.0,0,0,0,expensive,3.3939623178,1,0.0,0,-16.874063155260377,-13.125936844739625,-3.7481263105207514,0,0,0,9.1,-0.0,-28.8453900975,24.0,12,-6
2019-11-05 03:00:00,0.6623311655827914,0.0,0,0.0,0,5.7690780195,2,5.7690780195,1,-3.9489587357340015,0.3701602616774177,1,1,0.0,1,0,0,expensive,5.7690780195,2,5.7690780195,2,-13.179880716234,-13.179880716234,0.0,1,0,0,8.45,1.0,17.216012980200002,24.0,-9,-6
2019-11-05 04:00:00,0.6623311655827914,0.0,0,0.0,1,5.7386709934,2,0.0,0,-1.8164051155647467,0.38277418609106184,1,1,3.6328102311294934,1,1,0,expensive,5.7386709934,2,0.0,0,-13.183594884435253,-13.183594884435253,0.0,1,0,0,13.62,-0.0,-38.324042628499996,36.0,-9,-9
2019-11-05 05:00:00,0.6623311655827914,0.0,0,0.0,0,7.6648085257,3,0.0,0,0.0,0.38277418609106184,1,0,0.0,0,0,1,expensive,7.6648085257,3,0.0,0,0.0,1.8314386535221958,-1.8314386535221958,0,0,0,19.99,-0.12381750999999999,-54.904719598,-40.0,12,24
2019-11-05 06:00:00,0.6623311655827914,0.024763502,0,0.0,0,10.9809439196,4,0.0,0,-1.8625669203517379,0.3957086785935045,1,1,3.7251338407034758,1,1,0,expensive,11.0057074216,4,0.0,0,-13.137433079648261,-13.137433079648263,1.7763568394002505e-15,1,0,0,30.0,-6.74388128,-57.6333460615,60.0,-9,-15
2019-11-05 07:00:00,0.6623311655827914,1.348776256,0,0.0,0,11.5266692123,4,11.5266692123,1,-9.586458490026848,0.4622813069964687,1,1,0.0,0,0,1,expensive,12.8754454683,5,11.5266692123,4,1.940210722273152,1.940210722273152,0.0,1,0,0,35.0,-21.3409552735,40.945763842199995,60.0,12,30
2019-11-05 08:00:00,0.6623311655827914,4.2681910547,1,4.2681910547,1,13.6485879474,5,13.6485879474,1,0.0,0.4622813069964687,1,0,0.0,0,0,0,expensive,17.9167790021,5,17.9167790021,5,2.9167790021,-12.979492498518825,15.896271500618825,1,1,0,35.01,16.6395847881,43.0890458703,-48.0,12,-15
