episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,potential_load#0,action_load#0,power_load#0,idx_load#0,env_price,env_price_idx,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_grid_power,env_grid_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0,env_delta_ph,env_delta_ph_norm,env_delta_ph_idx
188,-1,0.0,,,0.0,1,,,0.0,1,,,0.0,0,0.08551625202409596,0,,,0.0,0,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0,,,
188,0,0.6270140280561123,63357.4134761,1.0,63357.4134761,1,38358.7091437,0.0,0.0,1,0.0,1.0,0.0,0,0.08551625202409596,0,30194.3838063,0.0,0.0,0,93551.7972824,1.0,-93551.7972824,0,68.0747826983,1,101716.12261980001,1,63357.4134761,1,63357.4134761,1,187103.5945648,1,0.0,0,-123746.1810887,0,,1.0,-1.0,0.12397975712964,1.0,0.5,-85387.471945,-0.28462490648333333,-1.0
188,1,0.6270140280561123,41003.6975978,0.0,0.0,1,16571.9338961,1.0,16571.9338961,1,0.0,1.0,0.0,0,0.08551625202409596,0,81675.7458668,0.0,0.0,0,98247.6797629,1.0,-98247.6797629,0,84.5431211455,1,57575.6314939,1,16571.9338961,1,16571.9338961,1,196495.3595258,1,0.0,0,-179923.4256297,0,,1.0,-1.0,-0.06912047466999997,-0.06912047466999997,0.5,-138919.7280319,-0.4630657601063334,-1.0
188,2,0.6270140280561123,28880.8744014,0.0,0.0,1,85934.0974873,1.0,85934.0974873,1,8144.732000400007,2.0,8144.732000400007,0,0.08358804842551641,0,0.0,0.0,0.0,0,94078.8294877,0.0,-90078.8294877,0,59.8795958567,1,114814.97188869999,1,85934.0974873,1,94078.8294877,1,184157.6589754,1,0.0,0,-90078.8294877,0,,-1.0,1.0,-0.04509159234866665,1.0,-1.0,-69342.68708670001,-0.23114229028900005,-1.0
188,3,0.6270140280561123,0.0,0.0,0.0,0,75824.7834553,0.0,0.0,1,0.0,1.0,0.0,0,0.08358804842551641,0,89352.2611599,0.0,0.0,0,89352.2611599,1.0,-89352.2611599,0,60.258173076,1,75824.7834553,1,0.0,0,0.0,0,178704.5223198,1,0.0,0,-178704.5223198,0,,1.0,1.0,-0.03257161796133339,-0.03257161796133339,0.5,-102879.73886449999,-0.3429324628816666,-1.0
188,4,0.6270140280561123,0.0,0.0,0.0,0,72624.11512920001,1.0,72624.11512920001,1,0.0,2.0,0.0,0,0.08358804842551641,0,0.0,0.0,0.0,0,62852.629740799995,0.0,-58852.629740799995,0,57.0750075767,1,72624.11512920001,1,72624.11512920001,1,72624.11512920001,1,121705.25948159999,1,0.0,0,-49081.14435239998,0,,-1.0,-1.0,-0.009317967206333343,1.0,-1.0,-49081.14435239998,-0.16360381450799993,-1.0
188,5,0.6270140280561123,0.0,0.0,0.0,0,54499.3192039,0.0,0.0,1,0.0,1.0,0.0,0,0.08358804842551641,0,57294.7093658,0.0,0.0,0,57294.7093658,1.0,-57294.7093658,0,39.4294019304,1,54499.3192039,1,0.0,0,0.0,0,114589.4187316,1,0.0,0,-114589.4187316,0,,1.0,1.0,-1.0,1.0,0.5,-60090.099527700004,-0.200300331759,-1.0
188,6,0.6270140280561123,0.0,0.0,0.0,0,78478.4606623,0.0,0.0,1,17759.8502483,2.0,17759.8502483,0,0.07938353842355145,0,0.0,1.0,0.0,0,17759.8502483,1.0,-17759.8502483,0,10.7374342129,0,78478.4606623,1,0.0,0,17759.8502483,1,35519.7004966,1,0.0,0,-17759.8502483,0,,-1.0,-1.0,-0.13164684737266666,-0.13164684737266666,0.5,42958.7601657,0.143195867219,1.0
188,7,0.6270140280561123,0.0,1.0,0.0,0,58413.642645800006,0.0,0.0,1,0.0,1.0,0.0,0,0.07938353842355145,0,18919.588434,0.0,0.0,0,18919.588434,1.0,-18919.588434,0,23.497613199,0,58413.642645800006,1,0.0,0,0.0,0,37839.176868,1,0.0,0,-37839.176868,0,,-1.0,-1.0,0.16802047504795514,1.0,0.5,20574.465777800004,0.06858155259266668,1.0
188,8,0.6270140280561123,0.0,0.0,0.0,0,74529.0917319,0.0,0.0,1,19776.4942951,2.0,19776.4942951,0,0.07470160322111301,0,0.0,0.0,0.0,0,19776.4942951,1.0,-19776.4942951,0,22.3701193895,0,74529.0917319,1,0.0,0,19776.4942951,1,39552.9885902,1,0.0,0,-19776.4942951,0,,-1.0,-1.0,-0.13193731586766666,1.0,0.5,34976.1031417,0.11658701047233333,1.0
