episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph_initial;env_delta_ph_final;env_delta_ph_norm;env_delta_ph_idx;env_real_balance;env_real_balance_norm;env_real_balance_idx
407;-1;0,000000;;;0,000000;1;;;0,000000;1;0,957011;1;;;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;0,000000;0;surplus;0,000000;0,000000;0,000000;;;;;;;
407;0;0,728486;53156,573609;0,000000;0,000000;1;80348,709935;2,000000;80348,709935;1;0,953663;1;0,000000;0,000000;0,000000;0;47,427041;0;119715,826874;0;0,000000;0;80348,709935;1;80348,709935;1;0,000000;0;0,000000;0;;-1,000000;0,255419;1,000000;39367,116939;39367,116939;0,131224;1,000000;-80348,709935;-0,267829;-1,000000
407;1;0,728486;43085,408125;0,000000;0,000000;1;81484,617213;2,000000;81484,617213;1;0,950268;1;0,000000;1,000000;0,000000;0;57,474305;0;117939,003061;0;0,000000;0;81484,617213;1;81484,617213;1;0,000000;0;0,000000;0;;-1,000000;0,258107;-1,000000;36454,385848;36454,385848;0,121515;1,000000;-81484,617213;-0,271615;-1,000000
407;2;0,728486;74949,234841;1,000000;74949,234841;1;0,000000;0,000000;0,000000;1;0,950268;1;0,000000;0,000000;0,000000;0;36,008262;0;115650,819807;0;74949,234841;1;74949,234841;1;58337,122064;1;0,000000;0;16612,112777;1;;1,000000;-1,000000;1,000000;132262,932583;57313,697742;0,191046;1,000000;16612,112777;0,055374;1,000000
407;3;0,728486;64594,655118;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,950268;1;60270,835945;0,000000;0,000000;0;24,012599;0;185379,933831;0;0,000000;0;0,000000;0;60270,835945;1;0,000000;0;-60270,835945;0;;-1,000000;-1,000000;-1,000000;125109,097886;125109,097886;0,417030;1,000000;-60270,835945;-0,200903;-1,000000
407;4;0,728486;60955,554779;1,000000;60955,554779;1;0,000000;0,000000;0,000000;1;0,950268;1;0,000000;1,000000;0,000000;0;24,207291;0;139607,353744;0;60955,554779;1;60955,554779;1;50300,208762;1;0,000000;0;10655,346017;1;;1,000000;-1,000000;-1,000000;150262,699761;89307,144982;0,297690;1,000000;10655,346017;0,035518;1,000000
407;5;0,728486;82369,670859;1,000000;82369,670859;1;0,000000;2,000000;0,000000;1;0,950268;1;0,000000;0,000000;0,000000;0;21,150882;0;150000,000000;0;82369,670859;1;82369,670859;1;39835,621134;1;0,000000;0;42534,049725;1;;1,000000;-1,000000;1,000000;192534,049725;110164,378866;0,367215;1,000000;42534,049725;0,141780;1,000000
407;6;0,728486;31147,645258;1,000000;31147,645258;1;16190,251275;2,000000;16190,251275;1;0,949593;1;0,000000;0,000000;0,000000;0;21,038801;0;150000,000000;0;31147,645258;1;47337,896534;1;47337,896534;1;0,000000;0;0,000000;0;;1,000000;0,051247;1,000000;133809,748725;102662,103466;0,342207;1,000000;-16190,251275;-0,053968;-1,000000
407;7;0,728486;72178,669308;0,000000;0,000000;1;38971,572187;2,000000;38971,572187;1;0,947969;1;0,000000;0,000000;0,000000;0;33,126663;0;210523,081334;0;0,000000;0;38971,572187;1;38971,572187;1;0,000000;0;0,000000;0;;-1,000000;0,123146;1,000000;171551,509147;171551,509147;0,571838;1,000000;-38971,572187;-0,129905;-1,000000
407;8;0,728486;42307,796898;1,000000;42307,796898;1;1392,546144;2,000000;1392,546144;1;0,947911;1;0,000000;1,000000;0,000000;0;27,511082;0;119354,592710;0;42307,796898;1;43700,343042;1;43700,343042;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;117962,046566;75654,249668;0,252181;1,000000;-1392,546144;-0,004642;0,000000
407;9;0,728486;62812,185167;0,000000;0,000000;1;0,000000;1,000000;0,000000;1;0,947911;1;48477,379914;0,000000;0,000000;0;24,779915;0;164475,566790;0;0,000000;0;0,000000;0;48477,379914;1;0,000000;0;-48477,379914;0;;-1,000000;-1,000000;1,000000;115998,186876;115998,186876;0,386661;1,000000;-48477,379914;-0,161591;-1,000000
407;10;0,728486;58022,675172;0,000000;0,000000;1;100124,210842;2,000000;100124,210842;1;0,943740;1;0,000000;0,000000;0,000000;0;64,835472;0;139704,247076;0;0,000000;0;100124,210842;1;100124,210842;1;0,000000;0;0,000000;0;;-1,000000;0,314971;1,000000;39580,036235;39580,036235;0,131933;1,000000;-100124,210842;-0,333747;-1,000000
407;11;0,728486;94289,776314;0,000000;0,000000;1;92620,062254;2,000000;92620,062254;1;0,939880;1;0,000000;0,000000;0,000000;0;70,781868;0;156625,066524;0;0,000000;0;92620,062254;1;92620,062254;1;0,000000;0;0,000000;0;;-1,000000;0,290173;1,000000;64005,004270;64005,004270;0,213350;1,000000;-92620,062254;-0,308734;-1,000000
407;12;0,728486;85520,668983;1,000000;85520,668983;1;5318,614368;2,000000;5318,614368;1;0,939659;1;0,000000;0,000000;0,000000;0;62,630346;0;40004,389257;0;85520,668983;1;90839,283352;1;90839,283352;1;0,000000;0;0,000000;0;;1,000000;0,016659;1,000000;34685,774889;-50834,894094;-0,169450;-1,000000;-5318,614368;-0,017729;-1,000000
407;13;0,728486;108112,050210;0,000000;0,000000;1;95206,109977;2,000000;95206,109977;1;0,935692;1;0,000000;1,000000;0,000000;0;73,101321;0;108112,050210;0;0,000000;0;95206,109977;1;95206,109977;1;0,000000;0;0,000000;0;;-1,000000;0,296945;-1,000000;12905,940233;12905,940233;0,043020;1,000000;-95206,109977;-0,317354;-1,000000
407;14;0,728486;68731,115301;1,000000;68731,115301;1;0,000000;2,000000;0,000000;1;0,935692;1;0,000000;0,000000;0,000000;0;36,877377;0;0,000000;0;68731,115301;1;68731,115301;1;49927,474113;1;0,000000;0;18803,641188;1;;-1,000000;-1,000000;1,000000;18803,641188;-49927,474113;-0,166425;-1,000000;18803,641188;0,062679;1,000000
407;15;0,728486;95248,054402;1,000000;95248,054402;1;0,000000;2,000000;0,000000;1;0,935692;1;0,000000;0,000000;0,000000;0;37,392797;0;0,000000;0;95248,054402;1;95248,054402;1;53978,665691;1;0,000000;0;41269,388711;1;;-1,000000;-1,000000;1,000000;41269,388711;-53978,665691;-0,179929;-1,000000;41269,388711;0,137565;1,000000
407;16;0,728486;93489,586676;1,000000;93489,586676;1;0,000000;0,000000;0,000000;1;0,935692;1;0,000000;0,000000;0,000000;0;17,575309;0;0,000000;0;93489,586676;1;93489,586676;1;29963,999783;1;0,000000;0;63525,586894;1;;-1,000000;-1,000000;1,000000;63525,586894;-29963,999783;-0,099880;-1,000000;63525,586894;0,211752;1,000000
