episode,step,epsilon,action_solar#0,power_solar#0,potential_solar#0,idx_solar#0,action_wind#0,power_wind#0,potential_wind#0,idx_wind#0,action_battery#0,power_battery#0,potential_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,action_grid#0,power_grid#0,potential_grid#0,idx_grid#0,action_load#0,power_load#0,potential_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
470,-1,0.0,,0.0,,0,,0.0,,1,,0.0,,0,0.25667669341465116,0,,0.0,,0,,0.0,,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0
470,0,0.6864576384256171,1.0,0.0,0.0,0,1.0,79764.495071,79764.495071,2,2.0,6618.023529834864,11917.4416796,0,0.10000000000000002,0,1.0,5299.41814976513,5299.41814976513,0,1.0,-45840.9683753,45840.9683753,0,45.3353846128,79764.495071,2,79764.495071,2,91681.9367506,3,91681.9367506,3,0.0,0,surplus,-0.0,-0.024691358024691357,-0.89,-0.3,-1.0
470,1,0.6864576384256171,0.0,0.0,0.0,0,1.0,54009.4263358,54009.4263358,1,0.0,0.0,0.0,0,0.10000000000000002,0,0.0,0.0,37296.56238939999,0,1.0,-45652.994362599995,45652.994362599995,0,32.3959432349,54009.4263358,1,54009.4263358,1,54009.4263358,1,91305.98872519999,3,-37296.56238939999,0,deficit,0.0,-0.0,0.22,0.15,1.0
470,2,0.6864576384256171,0.0,0.0,0.0,0,1.0,56323.1755479,56323.1755479,1,0.0,0.0,0.0,0,0.10000000000000002,0,0.0,0.0,54464.3309647,0,0.0,-54393.7532563,56393.7532563,0,26.4726985963,56323.1755479,1,56323.1755479,1,56323.1755479,1,110787.5065126,3,-54464.3309647,0,deficit,-0.0,0.024691358024691357,0.22,-1.5,1.0
470,3,0.6864576384256171,1.0,0.0,0.0,0,1.0,49778.1490245,49778.1490245,1,0.0,0.0,0.0,0,0.10000000000000002,0,0.0,0.0,170112.08284510003,0,0.0,-108945.11593480001,110945.11593480001,0,89.8029004312,49778.1490245,1,49778.1490245,1,49778.1490245,1,219890.23186960001,7,-170112.08284510003,0,deficit,0.0,0.024691358024691357,0.22,-1.5,1.0
470,4,0.6864576384256171,1.0,0.0,0.0,0,0.0,0.0,72154.79792150001,0,1.0,0.0,0.0,0,0.10000000000000002,0,1.0,25000.0,210713.849393,0,1.0,-105356.9246965,105356.9246965,0,79.5538998816,72154.79792150001,2,0.0,0,25000.0,0,210713.849393,7,-185713.849393,0,deficit,0.0,-0.07407407407407407,-0.1933333333333333,1.0,-1.0
470,5,0.6864576384256171,0.0,0.0,0.0,0,1.0,84336.58684799999,84336.58684799999,2,0.0,0.0,0.0,0,0.10000000000000002,0,1.0,25000.0,124663.6560336,0,0.0,-103500.1214408,105500.1214408,0,83.9244214238,84336.58684799999,2,84336.58684799999,2,109336.58684799999,3,209000.2428816,7,-99663.6560336,0,deficit,-0.0,0.024691358024691357,0.22,1.0,1.0
470,6,0.6864576384256171,1.0,12635.8904977,12635.8904977,0,1.0,62979.8261137,62979.8261137,2,0.0,0.0,0.0,0,0.10000000000000002,0,1.0,25000.0,121110.86872719998,0,0.0,-97363.29266929999,99363.29266929999,0,81.8714351251,75615.7166114,2,75615.7166114,2,100615.7166114,3,196726.58533859998,6,-96110.86872719998,0,deficit,-0.0,-0.0,0.22,-0.3,1.0
470,7,0.6864576384256171,1.0,18614.680057499998,18614.680057499998,0,1.0,34664.7517571,34664.7517571,1,0.0,0.0,0.0,0,0.10000000000000002,0,1.0,25000.0,83616.3927862,0,1.0,-68447.9123004,68447.9123004,0,44.7146866807,53279.4318146,1,53279.4318146,1,78279.4318146,2,136895.8246008,4,-58616.3927862,0,deficit,0.0,0.012345679012345678,0.22,1.0,-1.0
470,8,0.6864576384256171,1.0,28806.1992454,28806.1992454,0,0.0,0.0,34274.2734183,0,1.0,0.0,0.0,0,0.10000000000000002,0,1.0,25000.0,92972.9352624,0,1.0,-60889.5672539,60889.5672539,0,43.6499983038,63080.4726637,2,28806.1992454,0,53806.1992454,1,121779.1345078,4,-67972.9352624,0,deficit,0.0,-0.012345679012345678,-0.1288888888888889,1.0,-1.0
470,9,0.6864576384256171,0.0,0.0,41994.7922604,0,1.0,13718.030711500001,13718.030711500001,0,0.0,0.0,0.0,0,0.10000000000000002,0,1.0,25000.0,53959.96166850001,0,1.0,-33838.996190000005,33838.996190000005,0,23.3822524847,55712.8229719,1,13718.030711500001,0,38718.0307115,1,67677.99238000001,2,-28959.961668500007,0,deficit,-0.012345679012345678,0.0,0.22,1.0,-1.0
470,10,0.6864576384256171,0.0,0.0,47165.5310772,0,1.0,40288.6667068,40288.6667068,1,1.0,0.0,0.0,0,0.10000000000000002,0,1.0,16761.608844199996,16761.608844199996,0,0.0,-27525.1377755,29525.1377755,0,31.3852065386,87454.197784,3,40288.6667068,1,57050.275551,1,57050.275551,1,0.0,0,surplus,0.012345679012345678,-0.012345679012345678,-0.0,-0.3,1.0
470,11,0.6864576384256171,1.0,56892.5664656,56892.5664656,1,0.0,0.0,35101.107974900006,0,0.0,0.0,0.0,0,0.10000000000000002,0,1.0,0.0,0.0,0,0.0,-26793.853357,28793.853357,0,29.5849277958,91993.6744405,3,56892.5664656,1,56892.5664656,1,55587.706714,1,1304.859751600001,0,surplus,-0.0,0.0,0.22,-0.3,-1.0
470,12,0.6864576384256171,0.0,0.0,73998.4457888,0,1.0,37598.803925500004,37598.803925500004,1,2.0,5.861977570020827e-13,35368.5764109,0,0.1,0,1.0,25000.0,35368.5764109,0,0.0,-35483.6901682,37483.6901682,0,18.5300523119,111597.24971430001,3,37598.803925500004,1,62598.803925500004,2,72967.3803364,2,-10368.576410900001,0,deficit,0.0,-0.0,-0.89,-0.3,1.0
470,13,0.6864576384256171,0.0,0.0,74229.1674355,0,1.0,32574.855602900003,32574.855602900003,1,1.0,0.0,0.0,0,0.1,0,1.0,25000.0,30282.657514700004,0,0.0,-30428.756558800003,32428.756558800003,0,32.2062443671,106804.0230384,3,32574.855602900003,1,57574.8556029,1,62857.51311760001,2,-5282.657514700004,0,deficit,0.0,-0.0,-0.0,-0.3,1.0
470,14,0.6864576384256171,0.0,0.0,67308.8595025,0,1.0,35814.031051,35814.031051,1,1.0,0.0,0.0,0,0.1,0,1.0,25000.0,37248.34809860001,0,1.0,-36531.1895748,36531.1895748,0,28.3867400731,103122.8905535,3,35814.031051,1,60814.031051,2,73062.3791496,2,-12248.348098600007,0,deficit,-0.024691358024691357,0.012345679012345678,-0.0,1.0,-1.0
470,15,0.6864576384256171,0.0,0.0,68549.9384787,0,0.0,0.0,35550.8591829,0,0.0,0.0,0.0,0,0.1,0,1.0,25000.0,162385.04157720003,0,0.0,-80192.52078860001,82192.52078860001,0,45.5136852843,104100.7976616,3,0.0,0,25000.0,0,162385.04157720003,5,-137385.04157720003,0,deficit,-0.04938271604938271,-0.024691358024691357,0.22,1.0,1.0
470,16,0.6864576384256171,1.0,55829.0971069,55829.0971069,1,1.0,49742.0596181,49742.0596181,1,1.0,0.0,0.0,0,0.1,0,1.0,25000.0,48880.63247859999,0,1.0,-77225.8946018,77225.8946018,0,53.0568105003,105571.15672500001,3,105571.15672500001,3,130571.15672500001,4,154451.7892036,5,-23880.63247859999,0,deficit,-0.012345679012345678,-0.012345679012345678,0.063,-0.3,-1.0
470,17,0.6864576384256171,1.0,46275.056638099995,46275.056638099995,1,0.0,0.0,35870.463527500004,0,1.0,0.0,0.0,0,0.1,0,1.0,25000.0,110561.9449975,0,1.0,-78418.5008178,78418.5008178,0,58.9297679365,82145.5201656,2,46275.056638099995,1,71275.0566381,2,156837.0016356,5,-85561.9449975,0,deficit,0.012345679012345678,-0.012345679012345678,-0.06444444444444444,1.0,1.0
470,18,0.6864576384256171,0.0,0.0,38158.3769031,0,1.0,60252.2438142,60252.2438142,2,1.0,0.0,0.0,0,0.1,0,1.0,25000.0,102761.53139940002,0,1.0,-81506.88760680001,81506.88760680001,0,47.46372421,98410.6207173,3,60252.2438142,2,85252.2438142,2,163013.77521360002,5,-77761.53139940002,0,deficit,0.012345679012345678,-0.024691358024691357,-0.0,-0.3,-1.0
470,19,0.6864576384256171,1.0,23195.191895800002,23195.191895800002,0,0.0,0.0,56430.304640199996,0,2.0,0.0,88856.6221834,0,0.1,0,0.0,0.0,88856.6221834,0,0.0,-55025.9070396,57025.9070396,0,48.1841834611,79625.49653599999,2,23195.191895800002,0,23195.191895800002,0,112051.8140792,3,-88856.6221834,0,deficit,0.0,-0.012345679012345678,-0.89,-1.5,-1.0
470,20,0.6864576384256171,1.0,16225.4485962,16225.4485962,0,1.0,34696.1929518,34696.1929518,1,0.0,0.0,0.0,0,0.1,0,0.0,0.0,56801.521798,0,0.0,-52861.581673,54861.581673,0,29.9564278774,50921.641548,1,50921.641548,1,50921.641548,1,107723.163346,3,-56801.521798,0,deficit,0.0,0.012345679012345678,0.22,-1.5,1.0
470,21,0.6864576384256171,0.0,0.0,0.0,0,1.0,49305.821624,49305.821624,1,0.0,0.0,0.0,0,0.1,0,1.0,25000.0,81197.24768559998,0,1.0,-65251.534654799994,65251.534654799994,0,38.2462099433,49305.821624,1,49305.821624,1,74305.821624,2,130503.06930959999,4,-56197.247685599985,0,deficit,0.0,-0.0,0.22,-0.3,-1.0
470,22,0.6864576384256171,0.0,0.0,0.0,0,1.0,42643.389711300006,42643.389711300006,1,0.0,0.0,0.0,0,0.1,0,0.0,0.0,50944.709670899996,0,1.0,-46794.0496911,46794.0496911,0,26.84772437,42643.389711300006,1,42643.389711300006,1,42643.389711300006,1,93588.0993822,3,-50944.709670899996,0,deficit,0.0,-0.0,0.22,0.15,-1.0
