episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,env_price,env_price_idx,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_grid_power,env_grid_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_battery#0,reward_grid#0,env_delta_ph,env_delta_ph_norm,env_delta_ph_idx
3,15,0.9800671140939597,424264.0687119286,1.0,424264.0687119286,1,0.0,2.0,0.0,1,0.9122829669119802,1,0.0,1.0,0.0,0,1.0,0,424264.0687119286,1,424264.0687119286,1,424264.0687119286,1,250000.0,1,0.0,0,174264.06871192862,1,,1.0,-1.0,-1.0,174264.06871192862,0.5808802290397621,1.0
3,16,0.9800671140939597,299999.99999999994,1.0,299999.99999999994,1,0.0,0.0,0.0,1,0.9122829669119802,1,0.0,1.0,0.0,0,1.0,0,299999.99999999994,1,299999.99999999994,1,299999.99999999994,1,250000.0,1,0.0,0,49999.99999999994,1,,1.0,-1.0,-1.0,49999.99999999994,0.16666666666666646,1.0
3,17,0.9800671140939597,155291.42706151263,0.0,0.0,1,0.0,1.0,0.0,1,0.9122829669119802,1,250000.0,0.0,0.0,0,1.0,0,155291.42706151263,1,0.0,0,0.0,0,250000.0,1,0.0,0,-250000.0,0,,1.0,-1.0,1.0,-94708.57293848737,-0.3156952431282912,-1.0
3,18,0.9800671140939597,7.34788079488412e-11,0.0,0.0,1,0.0,1.0,0.0,1,0.9122829669119802,1,250000.0,0.0,0.0,0,1.0,0,7.34788079488412e-11,0,0.0,0,0.0,0,250000.0,1,0.0,0,-250000.0,0,,1.0,-1.0,1.0,-249999.9999999999,-0.833333333333333,-1.0
3,19,0.9800671140939597,0.0,1.0,0.0,0,0.0,0.0,0.0,1,0.9122829669119802,1,250000.0,1.0,250000.0,1,1.0,0,0.0,0,0.0,0,250000.0,1,250000.0,1,250000.0,1,0.0,0,,-1.0,-1.0,1.0,-250000.0,-0.8333333333333334,-1.0
3,20,0.9800671140939597,0.0,0.0,0.0,0,0.0,1.0,0.0,1,0.9122829669119802,1,250000.0,1.0,250000.0,1,1.0,0,0.0,0,0.0,0,250000.0,1,250000.0,1,250000.0,1,0.0,0,,1.0,-1.0,-1.0,-250000.0,-0.8333333333333334,-1.0
3,21,0.9800671140939597,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.9122829669119802,1,250000.0,0.0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0,250000.0,1,0.0,0,-250000.0,0,,1.0,-1.0,-1.0,-250000.0,-0.8333333333333334,-1.0
3,22,0.9800671140939597,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.9122829669119802,1,250000.0,1.0,250000.0,1,1.0,0,0.0,0,0.0,0,250000.0,1,250000.0,1,250000.0,1,0.0,0,,1.0,-1.0,1.0,-250000.0,-0.8333333333333334,-1.0
3,23,0.9800671140939597,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0.9122829669119802,1,250000.0,1.0,250000.0,1,1.0,0,0.0,0,0.0,0,250000.0,1,250000.0,1,250000.0,1,0.0,0,,1.0,-1.0,1.0,-250000.0,-0.8333333333333334,-1.0
3,24,0.9800671140939597,0.0,0.0,0.0,0,0.0,1.0,0.0,1,0.9122829669119802,1,250000.0,1.0,250000.0,1,1.5,0,0.0,0,0.0,0,250000.0,1,250000.0,1,250000.0,1,0.0,0,,1.0,-1.0,-1.0,-250000.0,-0.8333333333333334,-1.0
3,25,0.9800671140939597,0.0,1.0,0.0,0,250000.0,2.0,250000.0,1,0.892250915629929,1,0.0,0.0,0.0,0,1.5,0,0.0,0,0.0,0,250000.0,1,250000.0,1,0.0,0,0.0,0,,-1.0,0.7435424296916076,1.0,-250000.0,-0.8333333333333334,-1.0
3,26,0.9800671140939597,0.0,0.0,0.0,0,0.0,1.0,0.0,1,0.892250915629929,1,250000.0,0.0,0.0,0,1.5,0,0.0,0,0.0,0,0.0,0,250000.0,1,0.0,0,-250000.0,0,,1.0,-1.0,1.0,-250000.0,-0.8333333333333334,-1.0
3,27,0.9800671140939597,0.0,1.0,0.0,0,0.0,0.0,0.0,1,0.892250915629929,1,250000.0,0.0,0.0,0,1.5,0,0.0,0,0.0,0,0.0,0,250000.0,1,0.0,0,-250000.0,0,,-1.0,-1.0,-1.0,-250000.0,-0.8333333333333334,-1.0
3,28,0.9800671140939597,0.0,1.0,0.0,0,0.0,0.0,0.0,1,0.892250915629929,1,250000.0,0.0,0.0,0,1.5,0,0.0,0,0.0,0,0.0,0,250000.0,1,0.0,0,-250000.0,0,,-1.0,-1.0,-1.0,-250000.0,-0.8333333333333334,-1.0
