episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,potential_load#0,action_load#0,power_load#0,idx_load#0,env_price,env_price_idx,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_grid_power,env_grid_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0,env_delta_ph,env_delta_ph_norm,env_delta_ph_idx
287,-1,0.0,,,0.0,0,,,0.0,1,,,0.0,1,0.9312327755733433,1,,,0.0,0,,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,surplus,0.0,0.0,0.0,0.0,0.0,,,
287,0,0.4306012024048096,0.0,1.0,0.0,0,76013.84052109999,0.0,0.0,1,0.0,1.0,0.0,1,0.9312327755733433,1,27081.9900598,0.0,0.0,0,27081.9900598,1.0,-27081.9900598,0,24.8983895044,0,76013.84052109999,1,0.0,0,0.0,0,54163.9801196,1,0.0,0,-54163.9801196,0,,-1.0,-1.0,0.0068368765995243715,1.0,0.5,21849.860401499995,0.07283286800499998,1.0
287,1,0.4306012024048096,0.0,1.0,0.0,0,54628.3304863,0.0,0.0,1,0.0,1.0,0.0,1,0.9312327755733433,1,24802.1597057,0.0,0.0,0,24802.1597057,1.0,-24802.1597057,0,20.8213309054,0,54628.3304863,1,0.0,0,0.0,0,49604.3194114,1,0.0,0,-49604.3194114,0,,-1.0,-1.0,0.02336601650421948,1.0,0.5,5024.011074900001,0.016746703583000004,1.0
287,2,0.4306012024048096,0.0,0.0,0.0,0,131766.3361188,0.0,0.0,1,0.0,0.0,0.0,1,0.9312327755733433,1,29831.075393799998,1.0,29831.075393799998,1,29831.075393799998,1.0,-29831.075393799998,0,21.5926028353,0,131766.3361188,1,0.0,0,29831.075393799998,1,59662.150787599996,1,29831.075393799998,1,-29831.075393799998,0,,-1.0,-1.0,-1.0,-0.10487957919766668,0.5,72104.18533120002,0.24034728443733339,1.0
287,3,0.4306012024048096,0.0,1.0,0.0,0,59980.0295444,1.0,59980.0295444,1,0.0,2.0,0.0,1,0.9312327755733433,1,0.0,0.0,0.0,0,28516.1557851,1.0,-28516.1557851,0,22.3361470744,0,59980.0295444,1,59980.0295444,1,59980.0295444,1,57032.3115702,1,0.0,0,2947.7179742000008,1,,-1.0,-1.0,-0.128336843141,1.0,0.5,2947.7179742000008,0.00982572658066667,0.0
287,4,0.4306012024048096,24977.4982342,0.0,0.0,1,89809.9885809,1.0,89809.9885809,1,13523.554708099997,1.0,-13523.554708099997,1,0.9344343746993139,1,0.0,0.0,0.0,0,76286.4338728,0.0,-72286.4338728,0,40.248588936,1,114787.4868151,1,89809.9885809,1,89809.9885809,1,162096.42245369998,1,0.0,0,-72286.43387279999,0,,-1.0,1.0,0.0005256446223756618,1.0,-1.0,-47308.935638599985,-0.15769645212866662,-1.0
287,5,0.4306012024048096,36661.2132075,0.0,0.0,1,28848.5461549,1.0,28848.5461549,1,0.0,0.0,0.0,1,0.9344343746993139,1,39066.3361052,0.0,0.0,0,67914.8822601,1.0,-67914.8822601,0,48.5684166141,1,65509.7593624,1,28848.5461549,1,28848.5461549,1,135829.7645202,1,0.0,0,-106981.2183653,0,,1.0,1.0,1.0,1.0,0.5,-70320.0051578,-0.23440001719266665,-1.0
287,6,0.4306012024048096,53527.0987269,0.0,0.0,1,45979.5545658,1.0,45979.5545658,1,0.0,1.0,0.0,1,0.9344343746993139,1,31362.288881599998,0.0,0.0,0,77341.8434474,0.0,-73341.8434474,0,48.4322544499,1,99506.65329270001,1,45979.5545658,1,45979.5545658,1,150683.6868948,1,0.0,0,-104704.13232899999,0,,-1.0,1.0,0.011700456285943293,1.0,-1.0,-51177.03360209998,-0.17059011200699994,-1.0
287,7,0.4306012024048096,75914.3735448,1.0,75914.3735448,1,56463.2434289,1.0,56463.2434289,1,53536.2374672,1.0,-53536.2374672,1,0.9471086733421169,1,0.0,0.0,0.0,0,78841.3795065,1.0,-78841.3795065,0,49.0454721894,1,132377.6169737,1,132377.6169737,1,132377.6169737,1,211218.9964802,1,0.0,0,-78841.3795065,0,,1.0,1.0,0.014024940550446834,1.0,0.5,-78841.3795065,-0.26280459835500003,-1.0
287,8,0.4306012024048096,92631.6912286,1.0,92631.6912286,1,40544.3424653,0.0,0.0,1,39005.2251292,1.0,-39005.2251292,1,0.9563428648973252,1,0.0,0.0,0.0,0,53626.4660994,0.0,-49626.4660994,0,30.8457129541,1,133176.03369389998,1,92631.6912286,1,92631.6912286,1,142258.157328,1,0.0,0,-49626.4660994,0,,1.0,-1.0,0.019092286949845393,1.0,-1.0,-9082.123634100019,-0.030273745447000063,-1.0
