episode,step,epsilon,potential_solar#0,action_solar#0,power_solar#0,idx_solar#0,potential_wind#0,action_wind#0,power_wind#0,idx_wind#0,potential_battery#0,action_battery#0,power_battery#0,idx_battery#0,soc_battery#0,soc_idx_battery#0,potential_grid#0,action_grid#0,power_grid#0,idx_grid#0,potential_load#0,action_load#0,power_load#0,idx_load#0,env_price,env_renewable_potential,env_renewable_potential_idx,env_total_renewable,env_total_renewable_idx,env_total_power,env_total_power_idx,env_demand_power,env_demand_power_idx,env_energy_balance,env_energy_balance_idx,env_delta_power_idx,reward_solar#0,reward_wind#0,reward_battery#0,reward_grid#0,reward_load#0
651,0,0.5657104736490994,0.0,0,0.0,0,5155.0318254,0,0.0,0,0.0,1,0.0,3,0.8606908498003282,3,22359.6,1,15000.0,6,11179.8,1,-11179.8,0,69.0,5155.0318254,2,0.0,0,15000.0,6,22359.6,9,-7359.5999999999985,0,deficit,1.0,-4.0,-11.56,1.0,1.014
651,1,0.5657104736490994,0.0,0,0.0,0,3402.8805282999997,0,0.0,0,11543.4,2,11543.4,2,0.5874095998003281,2,0.0,0,0.0,0,11543.4,0,0.0,0,68.71,3402.8805282999997,1,0.0,0,11543.4,4,11543.4,4,0.0,0,surplus,1.0,-4.0,59.64,0.15,-14.793
651,2,0.5657104736490994,0.0,0,0.0,0,3393.9623177999997,0,0.0,0,23396.4,2,15000.0,0,0.23229596343669173,0,8396.400000000001,1,8396.400000000001,3,11698.2,1,-11698.2,0,68.07,3393.9623177999997,1,0.0,0,23396.4,9,23396.4,9,0.0,0,surplus,1.0,-4.0,39.76,-0.3,8.166
651,3,0.5657104736490994,0.0,1,0.0,0,3393.9623177999997,1,3393.9623177999997,1,0.0,0,0.0,0,0.23229596343669173,0,8198.637682199998,0,0.0,0,11592.599999999999,0,0.0,0,65.38,3393.9623177999997,1,3393.9623177999997,1,3393.9623177999997,1,11592.599999999999,4,-8198.637682199998,0,deficit,-1.0,1.0,1.086,-1.5,1.014
651,4,0.5657104736490994,0.0,0,0.0,0,5769.078019500001,0,0.0,0,0.0,0,0.0,0,0.23229596343669173,0,11528.4,1,11528.4,4,11528.4,0,0.0,0,65.76,5769.078019500001,2,0.0,0,11528.4,4,11528.4,4,0.0,0,surplus,1.0,-4.0,1.086,1.0,1.014
651,5,0.5657104736490994,0.0,1,0.0,0,5738.6709934,1,5738.6709934,2,5525.129006599999,2,5525.129006599999,0,0.10149271990922965,0,0.0,1,0.0,0,11263.8,0,0.0,0,62.8,5738.6709934,2,5738.6709934,2,11263.8,4,11263.8,4,0.0,0,surplus,-1.0,2.0,-4.414,1.0,1.014
651,6,0.5657104736490994,0.0,0,0.0,0,7664.8085257,1,7664.8085257,3,0.0,0,0.0,0,0.10149271990922965,0,13811.591474300001,1,13811.591474300001,5,10738.2,1,-10738.2,0,63.75,7664.8085257,3,7664.8085257,3,21476.4,8,21476.4,8,0.0,0,surplus,1.0,3.0,1.086,1.0,1.014
651,7,0.5657104736490994,24.763502,0,0.0,0,10980.9439196,1,10980.9439196,4,0.0,0,0.0,0,0.10149271990922965,0,0.0,0,0.0,0,10359.6,0,0.0,0,54.7,11005.7074216,4,10980.9439196,4,10980.9439196,4,10359.6,4,621.3439195999999,0,surplus,1.0,4.0,1.086,0.15,1.014
651,8,0.5657104736490994,1348.776256,0,0.0,0,11526.6692123,1,11526.6692123,4,0.0,0,0.0,0,0.10149271990922965,0,8695.730787700002,0,0.0,0,10111.2,1,-10111.2,0,54.05,12875.4454683,5,11526.6692123,4,11526.6692123,4,20222.4,8,-8695.730787700002,0,deficit,1.0,4.0,1.086,0.15,1.014
651,9,0.5657104736490994,4268.1910547,1,4268.1910547,1,13648.5879474,1,13648.5879474,5,0.0,0,0.0,0,0.10149271990922965,0,2128.020997899999,0,0.0,0,10022.4,1,-10022.4,0,48.06,17916.7790021,7,17916.7790021,7,17916.7790021,7,20044.8,8,-2128.020997899999,0,deficit,1.0,5.0,1.086,0.15,1.014
