episode;mean_demand_power;mean_energy_balance;mean_renewable_power;mean_total_power;total_reward_wind;total_reward_battery;total_reward_grid;wind_activation_rate;battery_charge_rate;battery_discharge_rate;grid_import_rate
1040;58244,200335;-13236,374309;38980,130498;45007,826025;79,000000;-31,643642;59,000000;0,604167;0,677083;0,177083;0,156250
1041;61987,074066;-42284,001412;9223,276352;19703,072653;81,000000;-74,301601;55,000000;0,208333;0,729167;0,072917;0,125000
1042;67002,994718;-41576,209624;3567,591916;25426,785095;71,000000;-90,144150;37,000000;0,156250;0,541667;0,187500;0,145833
1043;72327,210528;-19579,877140;46875,578304;52747,333388;79,000000;-12,548728;53,000000;0,572917;0,750000;0,114583;0,166667
1044;52439,189500;-1488,568127;26320,880371;50950,621373;59,000000;-40,674317;63,000000;0,458333;0,177083;0,708333;0,125000
1045;71122,953304;-2969,932500;11385,922404;68153,020804;55,000000;-8,461336;55,000000;0,302083;0,052083;0,885417;0,177083
1046;72626,753447;-36072,435323;17541,595633;36554,318124;59,000000;-71,087538;61,000000;0,364583;0,739583;0,104167;0,187500
1047;58522,030097;-16909,515568;34338,133373;41612,514529;71,000000;-44,368193;53,000000;0,541667;0,687500;0,177083;0,166667
1048;64897,502956;-44664,068853;2955,596326;20233,434104;79,000000;-91,939250;25,000000;0,114583;0,552083;0,177083;0,156250
1049;60000,159286;3150,321475;45231,315889;63150,480761;67,000000;-31,117658;45,750000;0,583333;0,333333;0,552083;0,229167
105;68310,679879;-17486,213371;11328,176966;50824,466508;21,000000;-55,502808;15,750000;0,458333;0,270833;0,364583;0,447917
1050;66464,865588;-34853,419830;2464,884442;31611,445758;69,000000;-93,183257;25,000000;0,135417;0,375000;0,343750;0,177083
1051;71554,810463;-21851,913338;35008,509594;49702,897126;73,000000;-25,240073;55,000000;0,468750;0,729167;0,208333;0,187500
1052;63724,358938;-13398,673541;5947,179358;50325,685398;55,000000;-29,702316;55,000000;0,260417;0,145833;0,718750;0,166667
1053;64712,158886;-13430,493663;6843,994009;51281,665223;75,000000;-25,689278;51,000000;0,208333;0,177083;0,718750;0,135417
1054;58821,303401;-8824,359919;3994,807494;49996,943481;83,000000;-12,279355;53,000000;0,125000;0,145833;0,770833;0,145833
1055;70360,026060;-30842,857735;4361,471881;39517,168324;73,000000;-95,000000;27,000000;0,166667;0,291667;0,447917;0,197917
1056;63242,624254;-7246,241423;24321,432152;55996,382831;71,000000;-54,562958;35,750000;0,364583;0,072917;0,614583;0,177083
1057;55102,445764;-7334,304426;36234,632570;47768,141338;65,000000;-93,000000;11,750000;0,531250;0,083333;0,145833;0,239583
1058;67609,277959;-10018,167425;50665,035941;57591,110534;77,000000;-28,507125;53,750000;0,656250;0,614583;0,145833;0,156250
1059;64139,419830;-23073,292878;28455,027678;41066,126951;67,000000;-66,114024;24,500000;0,437500;0,312500;0,229167;0,114583
106;57040,451430;-14597,328211;20355,576633;42443,123220;5,000000;-86,345633;-18,250000;0,479167;0,364583;0,250000;0,479167
1060;68491,672941;-27627,389835;25243,943518;40864,283105;79,000000;-59,711753;57,000000;0,375000;0,468750;0,229167;0,104167
1061;72386,460134;-25765,285323;36379,095716;46621,174811;61,000000;-30,635829;53,000000;0,489583;0,760417;0,072917;0,177083
1062;68371,726671;-19782,962627;41787,164279;48588,764043;73,000000;-32,792299;45,000000;0,562500;0,635417;0,156250;0,156250
1063;61558,994677;-40219,175322;6799,665973;21339,819356;71,000000;-79,883895;51,000000;0,197917;0,729167;0,145833;0,135417
1064;71654,493282;-11852,347163;52612,454018;59802,146119;75,000000;-8,848110;49,000000;0,625000;0,625000;0,145833;0,135417
1065;68283,927248;-19814,494428;7891,507755;48469,432820;75,000000;-30,100119;61,000000;0,239583;0,197917;0,645833;0,125000
1066;63797,911427;-34368,194407;12051,288059;29429,717020;73,000000;-65,532291;49,000000;0,302083;0,708333;0,197917;0,197917
1067;65763,669438;-42633,510935;4899,406816;23130,158503;65,000000;-88,575013;47,000000;0,197917;0,593750;0,187500;0,156250
1068;63516,949052;-14312,900048;4457,668033;49204,049004;63,000000;-17,331951;51,000000;0,197917;0,187500;0,729167;0,177083
1069;65591,232508;-11880,338731;5294,750536;53710,893777;57,000000;-11,965845;45,000000;0,208333;0,093750;0,760417;0,177083
107;57985,551291;-2589,583586;32757,015622;55395,967705;9,000000;-77,351806;13,000000;0,458333;0,354167;0,281250;0,468750
1070;64080,749475;-14239,305728;39150,778828;49841,443747;71,000000;-36,520994;45,000000;0,562500;0,635417;0,145833;0,229167
1071;68374,651515;-28000,384557;32959,456449;40374,266958;65,000000;-39,848170;71,000000;0,468750;0,760417;0,104167;0,156250
1072;65435,766740;-7438,096837;43064,487165;57997,669903;63,000000;-44,855811;51,000000;0,572917;0,406250;0,479167;0,156250
1073;64040,613365;-6094,732699;49083,424445;57945,880665;73,000000;-20,292723;63,000000;0,677083;0,687500;0,187500;0,135417
1074;64896,173647;-15088,994365;3105,416475;49807,179283;69,000000;-19,231705;53,000000;0,156250;0,177083;0,708333;0,156250
1075;66636,218715;-48581,961118;3621,513214;18054,257597;75,000000;-93,382644;53,000000;0,125000;0,625000;0,208333;0,083333
1076;64045,891789;-43124,401249;6669,010458;20921,490540;67,000000;-85,304722;57,000000;0,187500;0,562500;0,218750;0,093750
1077;58044,385889;-35464,409912;13922,508895;22579,975977;67,000000;-62,941805;59,000000;0,333333;0,750000;0,125000;0,156250
1078;58798,320390;-33298,584136;11077,385276;25499,736254;75,000000;-73,672671;59,000000;0,239583;0,729167;0,166667;0,166667
1079;63892,447759;-14566,154877;35490,586829;49326,292883;73,000000;-34,263120;61,000000;0,510417;0,687500;0,197917;0,208333
108;61078,484935;-22142,737760;20421,322949;38935,747175;3,000000;-82,615636;2,500000;0,552083;0,385417;0,250000;0,343750
1080;65246,466949;-27385,740406;29897,571621;37860,726544;71,000000;-40,851746;61,000000;0,437500;0,802083;0,104167;0,104167
1081;64940,135000;-41343,090144;12229,212877;23597,044857;69,000000;-70,401356;51,000000;0,260417;0,791667;0,062500;0,145833
1082;68589,668076;-44128,783436;10701,692025;24460,884640;71,000000;-77,850570;53,000000;0,291667;0,739583;0,072917;0,145833
1083;56281,640811;-26587,171558;14572,031174;29694,469253;83,000000;-55,823260;57,000000;0,333333;0,604167;0,270833;0,125000
1084;68087,097796;-23294,315956;3260,154441;44792,781839;79,000000;-27,180696;45,000000;0,125000;0,229167;0,625000;0,125000
1085;71158,622810;-38128,232786;21770,291218;33030,390023;75,000000;-58,206418;67,000000;0,364583;0,739583;0,156250;0,083333
1086;64838,379006;-821,176449;22191,868900;64017,202557;69,000000;-27,426241;51,000000;0,385417;0,083333;0,843750;0,166667
1087;60333,806169;-12709,582913;11171,894436;47624,223256;75,000000;-30,847816;61,000000;0,281250;0,270833;0,656250;0,125000
1088;61858,401774;9204,749286;35900,632136;71063,151060;67,000000;-28,728936;63,000000;0,489583;0,093750;0,854167;0,156250
1089;69661,282265;-11492,759376;50348,712792;58168,522889;73,000000;-30,440995;61,000000;0,614583;0,645833;0,197917;0,145833
109;56070,982861;-2342,834945;26568,532512;53728,147916;29,000000;-59,718586;15,000000;0,406250;0,302083;0,416667;0,458333
1090;64561,997359;-50698,717111;5712,675793;13863,280248;69,000000;-82,113072;51,000000;0,208333;0,770833;0,062500;0,114583
1091;59164,544816;-13603,164597;30329,070937;45561,380220;61,000000;-45,449718;53,000000;0,489583;0,447917;0,416667;0,135417
1092;69785,136918;-34104,264225;18254,608358;35680,872693;77,000000;-68,971916;63,000000;0,322917;0,614583;0,197917;0,125000
1093;56390,844702;-18842,097170;22832,930594;37548,747531;69,000000;-42,041939;57,750000;0,437500;0,583333;0,354167;0,145833
1094;63214,560025;-23744,835017;5876,235838;39469,725008;73,000000;-36,634000;61,000000;0,197917;0,364583;0,541667;0,104167
1095;57232,512968;10766,247520;44634,923417;67998,760487;77,000000;-47,530711;61,000000;0,614583;0,156250;0,802083;0,166667
1096;63700,620560;-44592,427991;6503,617376;19108,192569;77,000000;-85,371426;45,000000;0,208333;0,593750;0,145833;0,104167
1097;51970,480906;3930,393636;21221,950122;55900,874542;63,000000;-22,750903;67,000000;0,385417;0,125000;0,843750;0,145833
1098;70967,721332;-29307,312923;33177,808980;41660,408408;71,000000;-47,314677;67,000000;0,447917;0,781250;0,062500;0,125000
1099;72431,905670;-49062,914936;6304,437877;23368,990733;69,000000;-82,613919;53,000000;0,197917;0,760417;0,135417;0,125000
11;55989,323760;-5829,402122;25234,374603;50159,921638;7,000000;-58,913786;-1,250000;0,447917;0,270833;0,250000;0,500000
110;71855,085391;-22931,546582;9300,542810;48923,538809;9,000000;-55,116756;1,000000;0,489583;0,333333;0,375000;0,489583
