episode;step;epsilon;potential_solar#0;action_solar#0;power_solar#0;idx_solar#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_solar#0;reward_battery#0;env_delta_ph;env_delta_ph_norm;env_delta_ph_idx
157;19;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;277,500000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-22,500000;-0,000075;0,000000
157;20;0,211055;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;187,500000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-112,500000;-0,000375;0,000000
157;21;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;119,868000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-180,132000;-0,000600;0,000000
157;22;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;188,355000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;-111,645000;-0,000372;0,000000
157;23;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;150,264000;1;0,000000;0;0,000000;0;283,350000;1;0,000000;0;-283,350000;0;;1,000000;1,000000;-133,086000;-0,000444;0,000000
157;24;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;139,407000;1;0,000000;0;0,000000;0;226,650000;1;0,000000;0;-226,650000;0;;1,000000;1,000000;-87,243000;-0,000291;0,000000
157;25;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;193,749000;1;0,000000;0;0,000000;0;222,420000;1;0,000000;0;-222,420000;0;;1,000000;1,000000;-28,671000;-0,000096;0,000000
157;26;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;240,591000;1;0,000000;0;0,000000;0;208,170000;1;0,000000;0;-208,170000;0;;1,000000;1,000000;32,421000;0,000108;0,000000
157;27;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,988746;1;1,000000;0;287,499000;1;0,000000;0;0,000000;0;224,000000;1;0,000000;0;-224,000000;0;;1,000000;1,000000;63,499000;0,000212;0,000000
157;28;0,211055;0,000000;0,000000;0,000000;0;223,030000;2,000000;223,030000;1;0,983465;1;1,000000;0;108,552000;1;0,000000;0;223,030000;1;223,030000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-114,478000;-0,000382;0,000000
157;29;0,211055;103,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,983465;1;1,000000;0;349,092000;1;0,000000;0;0,000000;0;240,570000;1;0,000000;0;-240,570000;0;;1,000000;1,000000;108,522000;0,000362;0,000000
157;30;0,211055;175,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,983465;1;1,000000;0;269,250000;1;0,000000;0;0,000000;0;244,000000;1;0,000000;0;-244,000000;0;;1,000000;1,000000;25,250000;0,000084;0,000000
157;31;0,211055;225,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,983465;1;1,000000;0;537,501000;1;0,000000;0;0,000000;0;240,000000;1;0,000000;0;-240,000000;0;;1,000000;1,000000;297,501000;0,000992;0,000000
157;32;0,211055;328,500000;0,000000;0,000000;1;238,360000;2,000000;238,360000;1;0,977822;1;1,000000;0;702,579000;1;0,000000;0;238,360000;1;238,360000;1;0,000000;0;0,000000;0;;1,000000;-1,000000;464,219000;0,001547;0,000000
157;33;0,211055;450,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;825,000000;1;0,000000;0;0,000000;0;258,720000;1;0,000000;0;-258,720000;0;;1,000000;1,000000;566,280000;0,001888;0,000000
157;34;0,211055;450,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;829,737000;1;0,000000;0;0,000000;0;284,000000;1;0,000000;0;-284,000000;0;;1,000000;1,000000;545,737000;0,001819;0,000000
157;35;0,211055;450,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;812,172000;1;0,000000;0;0,000000;0;278,630000;1;0,000000;0;-278,630000;0;;1,000000;1,000000;533,542000;0,001778;0,000000
157;36;0,211055;450,000000;0,000000;0,000000;1;0,000000;1,000000;0,000000;1;0,977822;1;1,000000;0;800,001000;1;0,000000;0;0,000000;0;284,000000;1;0,000000;0;-284,000000;0;;1,000000;-1,000000;516,001000;0,001720;0,000000
157;37;0,211055;409,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;753,249000;1;0,000000;0;0,000000;0;284,000000;1;0,000000;0;-284,000000;0;;1,000000;1,000000;469,249000;0,001564;0,000000
157;38;0,211055;310,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;645,501000;1;0,000000;0;0,000000;0;277,600000;1;0,000000;0;-277,600000;0;;1,000000;1,000000;367,901000;0,001226;0,000000
157;39;0,211055;225,000000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;404,475000;1;0,000000;0;0,000000;0;264,000000;1;0,000000;0;-264,000000;0;;1,000000;1,000000;140,475000;0,000468;0,000000
157;40;0,211055;157,500000;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;607,500000;1;0,000000;0;0,000000;0;276,420000;1;0,000000;0;-276,420000;0;;1,000000;1,000000;331,080000;0,001104;0,000000
157;41;0,211055;0,000000;1,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;409,473000;1;0,000000;0;0,000000;0;280,990000;1;0,000000;0;-280,990000;0;;1,000000;1,000000;128,483000;0,000428;0,000000
157;42;0,211055;0,000000;0,000000;0,000000;0;0,000000;0,000000;0,000000;1;0,977822;1;1,000000;0;381,249000;1;0,000000;0;0,000000;0;300,000000;1;0,000000;0;-300,000000;0;;1,000000;1,000000;81,249000;0,000271;0,000000
