episode;step;epsilon;potential_wind#0;action_wind#0;power_wind#0;idx_wind#0;potential_battery#0;action_battery#0;power_battery#0;idx_battery#0;soc_battery#0;soc_idx_battery#0;potential_grid#0;action_grid#0;power_grid#0;idx_grid#0;env_price;env_price_idx;env_renewable_potential;env_renewable_potential_idx;env_total_renewable;env_total_renewable_idx;env_total_power;env_total_power_idx;env_demand_power;env_demand_power_idx;env_grid_power;env_grid_power_idx;env_energy_balance;env_energy_balance_idx;env_delta_power_idx;reward_wind#0;reward_battery#0;reward_grid#0;env_delta_ph_initial;env_delta_ph_final;env_delta_ph_norm;env_delta_ph_idx
0;16;1,000000;13772,597557;0,000000;0,000000;1;0,000000;0,000000;0,000000;1;0,565818;1;50882,957257;1,000000;50882,957257;1;37,032039;0;58543,916013;0;0,000000;0;50882,957257;1;50882,957257;1;50882,957257;1;0,000000;0;;-1,000000;-1,000000;-1,000000;7660,958756;7660,958756;0,025537;1,000000
0;17;1,000000;28974,749988;0,000000;0,000000;1;0,000000;1,000000;0,000000;1;0,565818;1;57732,168703;1,000000;57732,168703;1;37,461563;0;90813,720682;0;0,000000;0;57732,168703;1;57732,168703;1;57732,168703;1;0,000000;0;;-1,000000;0,434182;-1,000000;33081,551979;33081,551979;0,110272;1,000000
0;18;1,000000;37090,139134;0,000000;0,000000;1;37375,123439;2,000000;37375,123439;1;0,526886;1;0,000000;1,000000;0,000000;0;29,971171;0;96539,188270;0;0,000000;0;37375,123439;1;37375,123439;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;59164,064831;59164,064831;0,197214;1,000000
0;19;1,000000;35400,897667;0,000000;0,000000;1;32975,552404;2,000000;32975,552404;0;0,492536;0;0,000000;0,000000;0,000000;0;19,796239;0;87219,913540;0;0,000000;0;32975,552404;1;32975,552404;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;1,000000;54244,361136;54244,361136;0,180815;1,000000
0;20;1,000000;34572,497722;1,000000;34572,497722;1;9233,736514;2,000000;9233,736514;0;0,482918;0;0,000000;0,000000;0,000000;0;26,287374;0;56633,753537;0;34572,497722;1;43806,234236;1;43806,234236;1;0,000000;0;0,000000;0;;1,000000;-1,000000;1,000000;47400,017023;12827,519302;0,042758;1,000000
0;21;1,000000;36257,747918;1,000000;36257,747918;1;0,000000;0,000000;0,000000;0;0,482918;0;5003,840989;0,000000;0,000000;0;33,547663;0;43782,375968;0;36257,747918;1;36257,747918;1;41261,588908;1;0,000000;0;-5003,840989;0;;1,000000;1,000000;-0,250000;38778,534979;2520,787061;0,008403;0,000000
0;22;1,000000;45044,540910;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,482918;0;38563,281254;0,000000;0,000000;0;37,016940;0;86889,763420;0;0,000000;0;0,000000;0;38563,281254;1;0,000000;0;-38563,281254;0;;-1,000000;0,517082;1,000000;48326,482166;48326,482166;0,161088;1,000000
0;23;1,000000;34163,850004;1,000000;34163,850004;1;0,000000;1,000000;0,000000;0;0,482918;0;56037,299354;0,000000;0,000000;0;70,584086;0;33500,293103;0;34163,850004;1;34163,850004;1;90201,149358;1;0,000000;0;-56037,299354;0;;-1,000000;-1,000000;1,000000;-22537,006251;-56700,856255;-0,189003;-1,000000
0;24;1,000000;39501,542403;1,000000;39501,542403;1;0,000000;0,000000;0,000000;0;0,482918;0;51541,759038;1,000000;51541,759038;1;74,880822;0;20957,670437;0;39501,542403;1;91043,301441;1;91043,301441;1;51541,759038;1;0,000000;0;;-1,000000;-1,000000;1,000000;-30584,088601;-70085,631005;-0,233619;-1,000000
0;25;1,000000;42879,398776;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,482918;0;77329,537201;0,000000;0,000000;0;67,342814;0;59483,641883;0;0,000000;0;0,000000;0;77329,537201;1;0,000000;0;-77329,537201;0;;1,000000;-1,000000;1,000000;-17845,895318;-17845,895318;-0,059486;-1,000000
0;26;1,000000;52800,823219;1,000000;52800,823219;1;31529,274479;2,000000;31529,274479;0;0,450075;0;0,000000;1,000000;0,000000;0;72,979030;0;0,000000;0;52800,823219;1;84330,097698;1;84330,097698;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;-31529,274479;-84330,097698;-0,281100;-1,000000
0;27;1,000000;62401,798654;1,000000;62401,798654;1;0,000000;0,000000;0,000000;0;0,450075;0;0,000000;1,000000;0,000000;0;46,145972;0;0,000000;0;62401,798654;1;62401,798654;1;61288,896014;1;0,000000;0;1112,902640;1;;1,000000;-1,000000;1,000000;1112,902640;-61288,896014;-0,204296;-1,000000
0;28;1,000000;38878,205929;0,000000;0,000000;1;53485,395095;2,000000;53485,395095;0;0,394361;0;0,000000;1,000000;0,000000;0;35,793500;0;38878,205929;0;0,000000;0;53485,395095;1;53485,395095;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-14607,189166;-14607,189166;-0,048691;-1,000000
0;29;1,000000;51973,252087;1,000000;51973,252087;1;0,000000;0,000000;0,000000;0;0,394361;0;0,000000;1,000000;0,000000;0;21,262390;0;0,000000;0;51973,252087;1;51973,252087;1;33042,466372;1;0,000000;0;18930,785715;1;;-1,000000;-1,000000;1,000000;18930,785715;-33042,466372;-0,110142;-1,000000
0;30;1,000000;55009,072283;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,394361;0;35278,024254;1,000000;35278,024254;1;37,910271;0;55009,072283;0;0,000000;0;35278,024254;1;35278,024254;1;35278,024254;1;0,000000;0;;-1,000000;0,605639;-1,000000;19731,048029;19731,048029;0,065770;1,000000
0;31;1,000000;38133,209637;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,394361;0;30076,809713;0,000000;0,000000;0;27,799570;0;38133,209637;0;0,000000;0;0,000000;0;30076,809713;1;0,000000;0;-30076,809713;0;;-1,000000;-1,000000;1,000000;8056,399923;8056,399923;0,026855;1,000000
0;32;1,000000;50977,684877;1,000000;50977,684877;1;0,000000;2,000000;0,000000;0;0,394361;0;0,000000;0,000000;0,000000;0;28,513773;0;0,000000;0;50977,684877;1;50977,684877;1;33585,078720;1;0,000000;0;17392,606156;1;;-1,000000;-1,000000;1,000000;17392,606156;-33585,078720;-0,111950;-1,000000
0;33;1,000000;32134,496024;1,000000;32134,496024;1;1096,783173;2,000000;1096,783173;0;0,393218;0;0,000000;1,000000;0,000000;0;28,884984;0;0,000000;0;32134,496024;1;33231,279197;1;33231,279197;1;0,000000;0;0,000000;0;;1,000000;-1,000000;-1,000000;-1096,783173;-33231,279197;-0,110771;-1,000000
0;34;1,000000;28287,773597;1,000000;28287,773597;1;4137,913138;2,000000;4137,913138;0;0,388908;0;0,000000;1,000000;0,000000;0;18,590817;0;0,000000;0;28287,773597;1;32425,686735;1;32425,686735;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;-4137,913138;-32425,686735;-0,108086;-1,000000
0;35;1,000000;55369,035864;1,000000;55369,035864;1;0,000000;0,000000;0,000000;0;0,388908;0;12432,939216;1,000000;12432,939216;1;58,268386;0;10058,771620;0;55369,035864;1;67801,975079;1;67801,975079;1;12432,939216;1;0,000000;0;;1,000000;-1,000000;1,000000;-2374,167596;-57743,203459;-0,192477;-1,000000
0;36;1,000000;27510,830779;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,388908;0;70025,294098;0,000000;0,000000;0;52,205802;0;43583,958330;0;0,000000;0;0,000000;0;70025,294098;1;0,000000;0;-70025,294098;0;;1,000000;-1,000000;-1,000000;-26441,335768;-26441,335768;-0,088138;-1,000000
0;37;1,000000;31970,193759;1,000000;31970,193759;1;34633,208148;2,000000;34633,208148;0;0,352832;0;0,000000;0,000000;0,000000;0;50,857977;0;25272,906528;0;31970,193759;1;66603,401908;1;66603,401908;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;1,000000;-9360,301620;-41330,495380;-0,137768;-1,000000
0;38;1,000000;30295,139021;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,352832;0;69308,693318;0,000000;0,000000;0;37,265094;0;59699,112217;0;0,000000;0;0,000000;0;69308,693318;1;0,000000;0;-69308,693318;0;;1,000000;-1,000000;-1,000000;-9609,581100;-9609,581100;-0,032032;-1,000000
0;39;1,000000;23003,004778;1,000000;23003,004778;1;0,000000;1,000000;0,000000;0;0,352832;0;22739,557918;1,000000;22739,557918;1;39,477580;0;36189,270507;0;23003,004778;1;45742,562696;1;45742,562696;1;22739,557918;1;0,000000;0;;1,000000;-1,000000;-1,000000;13449,712589;-9553,292189;-0,031844;-1,000000
0;40;1,000000;30086,994196;0,000000;0,000000;1;47442,963750;2,000000;47442,963750;0;0,303412;0;0,000000;1,000000;0,000000;0;32,670928;0;73234,994768;0;0,000000;0;47442,963750;1;47442,963750;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;-1,000000;25792,031018;25792,031018;0,085973;1,000000
0;41;1,000000;21050,067775;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,303412;0;49730,367522;0,000000;0,000000;0;28,341048;0;70253,534506;0;0,000000;0;0,000000;0;49730,367522;1;0,000000;0;-49730,367522;0;;-1,000000;0,696588;1,000000;20523,166984;20523,166984;0,068411;1,000000
0;42;1,000000;47849,139786;1,000000;47849,139786;1;0,000000;2,000000;0,000000;0;0,303412;0;0,000000;1,000000;0,000000;0;21,613242;0;55688,232977;0;47849,139786;1;47849,139786;1;37628,968650;1;0,000000;0;10220,171135;1;;1,000000;-1,000000;-1,000000;65908,404113;18059,264327;0,060198;1,000000
0;43;1,000000;23467,852581;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,303412;0;39603,065374;1,000000;39603,065374;1;22,343605;0;81030,994945;0;0,000000;0;39603,065374;1;39603,065374;1;39603,065374;1;0,000000;0;;-1,000000;0,696588;-1,000000;41427,929571;41427,929571;0,138093;1,000000
0;44;1,000000;33765,411925;0,000000;0,000000;1;0,000000;1,000000;0,000000;0;0,303412;0;41137,976196;0,000000;0,000000;0;22,659091;0;87569,526374;0;0,000000;0;0,000000;0;41137,976196;1;0,000000;0;-41137,976196;0;;-1,000000;0,696588;1,000000;46431,550178;46431,550178;0,154772;1,000000
0;45;1,000000;26252,176942;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,303412;0;43685,823643;0,000000;0,000000;0;32,914527;0;75779,934154;0;0,000000;0;0,000000;0;43685,823643;1;0,000000;0;-43685,823643;0;;-1,000000;-1,000000;1,000000;32094,110511;32094,110511;0,106980;1,000000
0;46;1,000000;40566,099598;0,000000;0,000000;1;46147,300950;2,000000;46147,300950;0;0,255342;0;0,000000;0,000000;0,000000;0;31,375638;0;79117,626845;0;0,000000;0;46147,300950;1;46147,300950;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;1,000000;32970,325895;32970,325895;0,109901;1,000000
0;47;1,000000;32561,445593;0,000000;0,000000;1;0,000000;0,000000;0,000000;0;0,255342;0;85414,256513;1,000000;85414,256513;1;69,663906;0;66041,848390;0;0,000000;0;85414,256513;1;85414,256513;1;85414,256513;1;0,000000;0;;1,000000;-1,000000;1,000000;-19372,408123;-19372,408123;-0,064575;-1,000000
0;48;1,000000;39728,036466;1,000000;39728,036466;1;53781,220496;2,000000;53781,220496;0;0,199320;0;0,000000;0,000000;0,000000;0;83,498830;0;21478,580998;0;39728,036466;1;93509,256961;1;93509,256961;1;0,000000;0;0,000000;0;;-1,000000;-1,000000;1,000000;-32302,639498;-72030,675963;-0,240102;-1,000000
0;49;1,000000;55383,427103;1,000000;55383,427103;1;0,000000;0,000000;0,000000;0;0,199320;0;36341,608934;1,000000;36341,608934;1;70,473271;0;18363,204896;0;55383,427103;1;91725,036038;1;91725,036038;1;36341,608934;1;0,000000;0;;-1,000000;-1,000000;1,000000;-17978,404038;-73361,831141;-0,244539;-1,000000
0;50;1,000000;45982,775158;1,000000;45982,775158;1;0,000000;1,000000;0,000000;0;0,199320;0;43786,933270;0,000000;0,000000;0;58,698515;0;0,000000;0;45982,775158;1;45982,775158;1;89769,708428;1;0,000000;0;-43786,933270;0;;-1,000000;-1,000000;1,000000;-43786,933270;-89769,708428;-0,299232;-1,000000
0;51;1,000000;51542,728259;1,000000;51542,728259;1;0,000000;0,000000;0,000000;0;0,199320;0;149,464533;1,000000;149,464533;1;44,886294;0;0,000000;0;51542,728259;1;51692,192792;1;51692,192792;1;149,464533;1;0,000000;0;;1,000000;-1,000000;1,000000;-149,464533;-51692,192792;-0,172307;-1,000000
0;52;1,000000;34448,294263;1,000000;34448,294263;1;0,000000;0,000000;0,000000;0;0,199320;0;17988,521235;0,000000;0,000000;0;47,328711;0;0,000000;0;34448,294263;1;34448,294263;1;52436,815499;1;0,000000;0;-17988,521235;0;;-1,000000;-1,000000;-1,000000;-17988,521235;-52436,815499;-0,174789;-1,000000
